,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T11:17:10.000Z,2021-01-08T02:47:09.000Z,1.1777566,1.2785245,1.10016658,1.21776742,487111.96657429,85134970.3228706,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:29:10.000Z,2021-01-09T23:58:10.000Z,1.21706767,1.27180459,1.15579566,1.1558896,193919.16042108,80809048.96141355,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:55:12.000Z,2021-01-10T20:33:16.000Z,1.15470083,1.2335057,1.0836169,1.15571185,228860.25610477,80796622.04838286,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:15.000Z,2021-01-11T16:48:12.000Z,1.15536485,1.15536485,0.97276981,1.12659631,283209.6227343,78761134.23465939,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:41:08.000Z,2021-01-12T14:39:10.000Z,1.12768504,1.1546619,1.03853095,1.06839008,374979.5925947,74691896.43032497,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:15.000Z,2021-01-13T01:02:08.000Z,1.06971472,1.17992626,1.02556239,1.16304395,295840.23657775,81309214.51381819,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T20:04:08.000Z,2021-01-14T04:12:13.000Z,1.16367114,1.32960958,1.15811231,1.30035517,536283.00777073,90908737.8793551,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:43:08.000Z,2021-01-15T16:13:08.000Z,1.30031521,1.31577561,1.13267953,1.19633031,445267.51824492,83636287.20537026,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:10:11.000Z,2021-01-16T05:43:08.000Z,1.19931036,1.26131538,1.15973099,1.18750455,307087.88608907,83019271.66306478,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:36:10.000Z,2021-01-17T10:06:10.000Z,1.18715368,1.22004747,1.13868158,1.19093934,511483.39642658,83259400.76315905,2021-01-17T23:59:59.999Z
