,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T08:21:09.000Z,2021-01-05T23:51:10.000Z,0.00446461,0.00491318,0.00245528,0.0024615,2.00067381,1627634.48590619,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:58:08.000Z,2021-01-06T00:26:08.000Z,0.00246216,0.00421889,0.00242752,0.00421889,83.87485626,2789679.12602862,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T05:42:08.000Z,2021-01-07T23:30:19.000Z,0.00421757,0.00445441,0.00338793,0.00341582,42.3506246,2258662.12939789,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T11:18:08.000Z,2021-01-08T19:16:08.000Z,0.00341432,0.00371521,0.00239548,0.00276579,1.16723351,1828838.44065604,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:02:08.000Z,2021-01-09T01:29:08.000Z,0.00276552,0.00370083,0.00273466,0.00367321,36.99383526,2428858.02344771,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:09.000Z,2021-01-10T21:32:08.000Z,0.00367316,0.00372578,0.00172994,0.00175278,0.14141441,1159000.53113888,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:10.000Z,2021-01-11T16:40:12.000Z,0.00175205,0.00175205,0.00120305,0.00156799,0.33622671,1036813.42374812,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T11:31:08.000Z,2021-01-12T14:02:08.000Z,0.0015699,0.00300384,0.00035728,0.00088842,0.44035986,587454.80974081,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T14:26:08.000Z,2021-01-13T00:24:09.000Z,0.00088939,0.00354248,0.00088017,0.00231578,43.19270033,1531279.84680382,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T20:47:08.000Z,2021-01-14T08:49:08.000Z,0.00231627,0.0036093,0.002,0.00234491,0.38691573,1550540.51539352,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T23:48:12.000Z,2021-01-15T20:13:08.000Z,0.00234497,0.00331187,0.00146152,0.0033016,1.28893703,2199643.65414033,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:09.000Z,2021-01-16T22:10:13.000Z,0.00330982,0.00340779,0.00320702,0.00329579,0.20760175,2195772.32405506,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T12:44:08.000Z,2021-01-17T23:59:08.000Z,0.00329481,0.00377072,0.00172774,0.00172774,3.18350233,1142444.57530586,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T22:19:08.000Z,2021-01-18T22:49:08.000Z,0.00172577,0.00783436,0.00152279,0.00155415,1.15297934,1027656.63722366,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T12:02:08.000Z,2021-01-19T00:12:10.000Z,0.00155339,0.00814978,0.00155091,0.00383787,12.05318151,2537736.10534226,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:29:08.000Z,2021-01-20T22:18:09.000Z,0.00383439,0.00386828,0.00320703,0.00327723,0.23349186,2388119.22314429,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:10.000Z,2021-01-21T22:43:08.000Z,0.00327093,0.00327093,0.00285047,0.00289964,0.0,1917345.86916758,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:10.000Z,2021-01-22T01:21:10.000Z,0.00289823,0.00408237,0.00276829,0.00402141,4.01398097,2659098.33252616,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T00:00:09.000Z,2021-01-23T14:25:11.000Z,0.00402231,0.00402231,0.00378219,0.00382991,13.01568322,2532473.70103623,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T11:33:10.000Z,2021-01-24T04:49:08.000Z,0.00382992,0.00391138,0.00197082,0.00388007,19.88334066,2565639.33808863,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T16:03:11.000Z,2021-01-25T22:34:08.000Z,0.00387958,0.00408098,0.00249243,0.00249415,12.5404825,1711575.27509676,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T00:48:09.000Z,2021-01-26T16:24:09.000Z,0.00249504,0.00264235,0.00217755,0.00235522,1.98645985,1616238.43886559,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T05:07:08.000Z,2021-01-27T04:56:08.000Z,0.00235522,0.00386966,0.00207449,0.00340178,4.395892,2249381.75360532,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:59:08.000Z,2021-01-28T16:32:08.000Z,0.00340212,0.00476459,0.00232901,0.00476459,48.49,3150520.32,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T00:35:09.000Z,2021-01-29T10:09:09.000Z,0.00413053,0.00592306,0.00281261,0.00321625,87.88,2223188.23,2021-01-29T23:59:59.999Z
