,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:13:03.000Z,2021-01-05T00:10:03.000Z,0.01982259,0.02839104,0.01965126,0.02515093,1655.72936697,475330.76029921,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T12:18:02.000Z,2021-01-06T07:40:03.000Z,0.0251544,0.03120676,0.02162191,0.02727838,2358.58396476,515594.14037257,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T00:05:03.000Z,2021-01-07T10:57:02.000Z,0.02725003,0.02736291,0.02297979,0.02520784,1193.98854819,476509.74845971,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:06:02.000Z,2021-01-08T16:21:03.000Z,0.02518605,0.03076794,0.02357439,0.02570249,1392.29701611,485912.96672426,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T09:25:03.000Z,2021-01-09T02:42:02.000Z,0.02571727,0.02898255,0.02205175,0.02697126,1403.1427935,509954.73576001,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:03.000Z,2021-01-10T20:32:03.000Z,0.02697055,0.02899413,0.0241097,0.0249432,592.01349023,471660.88993033,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:02.000Z,2021-01-11T21:30:03.000Z,0.02493169,0.02493169,0.01883795,0.02274068,375.4553328,430058.32586043,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:50:03.000Z,2021-01-12T03:24:02.000Z,0.02276266,0.02324384,0.0211402,0.02202262,177.36792872,416524.21638012,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:13:02.000Z,2021-01-13T02:35:03.000Z,0.02204992,0.02624956,0.02034916,0.02461552,821.47950958,465615.3988927,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T10:27:02.000Z,2021-01-14T23:35:03.000Z,0.0246288,0.02680931,0.02249627,0.02272935,1662.63710733,429983.70196884,2021-01-14T23:59:59.999Z
