,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T10:51:03.000Z,2021-01-08T02:48:02.000Z,1.06248503,1.2193686,0.99799533,1.14764159,113694.50056899,11003188.18375871,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T07:32:02.000Z,2021-01-09T04:39:02.000Z,1.14830155,1.79751451,1.02955557,1.60805581,153252.09706482,15419021.60243839,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:22:02.000Z,2021-01-10T20:42:02.000Z,1.6080131,2.00280131,1.29764729,1.40144426,101367.88087105,13439247.74634952,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:02.000Z,2021-01-11T06:42:02.000Z,1.40079734,1.40079734,1.05325206,1.28891324,71539.14926647,12361223.3616534,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:07:03.000Z,2021-01-12T03:16:03.000Z,1.29015883,1.59254957,1.16585345,1.23616062,44897.76572885,11855964.20395866,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T05:18:03.000Z,2021-01-13T00:31:03.000Z,1.23565456,1.48391399,1.20712618,1.43199941,54597.39934729,13735619.6390244,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:16:03.000Z,2021-01-14T08:20:03.000Z,1.43105699,1.45735509,1.21294012,1.35599708,75530.3578273,13007912.63942463,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T02:11:03.000Z,2021-01-15T14:51:03.000Z,1.35585762,1.41612013,1.14653023,1.31760421,48175.65703729,12640878.75788829,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T09:06:03.000Z,2021-01-16T05:42:03.000Z,1.32088635,1.55426385,1.18922666,1.26558528,84849.15957048,12143032.10195627,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:09:03.000Z,2021-01-17T10:06:03.000Z,1.26521134,1.42183281,1.21780869,1.27163803,15385.45635417,12202123.69800108,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:17:03.000Z,2021-01-18T05:33:03.000Z,1.27225136,1.50379095,1.23935324,1.3203295,17981.13454703,12670537.86927515,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T14:06:03.000Z,2021-01-19T07:21:03.000Z,1.31737504,1.47425416,1.29717637,1.32940253,13297.99190925,12758677.58672366,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T08:33:03.000Z,2021-01-20T10:12:03.000Z,1.3255232,1.3930134,1.27436483,1.33333234,10558.91866202,12797595.52201174,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T07:08:03.000Z,2021-01-21T22:43:03.000Z,1.33076941,1.38955542,1.15315858,1.19527524,18518.89951246,11473393.89299864,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T18:50:03.000Z,2021-01-22T01:23:03.000Z,1.19298797,1.33738783,0.99227811,1.29487004,54227.92030943,12430567.96999257,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:03:02.000Z,2021-01-23T04:05:03.000Z,1.29741567,1.32076113,1.18671825,1.25134626,23328.33285566,12013827.07272579,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T09:06:03.000Z,2021-01-24T00:09:03.000Z,1.25152758,1.56957104,1.23997102,1.26718101,43846.58680126,12166995.05363247,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T16:04:03.000Z,2021-01-25T00:09:03.000Z,1.26639203,1.47337533,1.26470575,1.27540068,22060.06329983,12246875.94963833,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T12:27:03.000Z,2021-01-26T14:41:03.000Z,1.27635284,1.52080179,1.25122127,1.30532819,31867.87140108,12535293.56475611,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T13:09:03.000Z,2021-01-27T12:05:03.000Z,1.30418795,1.38425004,1.23068885,1.26324246,14884.44496701,12132276.6116191,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:25:03.000Z,2021-01-28T00:27:03.000Z,1.2656273,1.43863963,1.24686378,1.32264815,9818.36,12704006.67,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T12:44:03.000Z,2021-01-29T06:37:03.000Z,1.32149203,1.57691395,1.21567025,1.28867486,50697.71,12378662.6,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T01:30:03.000Z,2021-01-30T16:26:03.000Z,1.29168762,1.44056538,1.20226479,1.37168594,50131.92,13177208.99,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T12:52:03.000Z,2021-01-31T02:39:03.000Z,1.36998234,1.45991199,1.22072179,1.31273171,33561.33,12612014.77,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T07:52:03.000Z,2021-02-01T00:32:03.000Z,1.31156777,1.68738954,1.28256425,1.44048843,52465.95,13840727.23,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T16:11:14.000Z,2021-02-02T16:57:02.000Z,1.44204735,1.53690831,1.36064427,1.38707366,22910.51,13328499.62,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T22:14:02.000Z,2021-02-03T22:45:03.000Z,1.38759015,1.65949115,1.25244697,1.49525796,59426.58,14369399.8,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T12:55:03.000Z,2021-02-04T15:23:03.000Z,1.4963317,1.59968213,1.37823667,1.39012143,48188.52,13360293.65,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T23:22:03.000Z,2021-02-05T14:22:03.000Z,1.51375597,1.65947804,1.40250962,1.44857476,66783.36,13923387.96,2021-02-05T23:59:59.999Z
29,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T09:55:03.000Z,2021-02-06T11:22:02.000Z,1.45147012,1.77336944,1.42145557,1.55949353,62085.35,14990687.49,2021-02-06T23:59:59.999Z
30,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T10:46:02.000Z,2021-02-07T01:27:03.000Z,1.56105028,1.78334237,1.45201809,1.52313196,69556.96,14642488.27,2021-02-07T23:59:59.999Z
31,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T13:04:02.000Z,2021-02-08T22:10:03.000Z,1.52300487,1.7816036,1.46914184,1.61782029,84636.24,15554224.98,2021-02-08T23:59:59.999Z
32,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T21:57:02.000Z,2021-02-09T00:00:03.000Z,1.61954747,2.31344687,1.61954747,1.90407978,116613.43,18308115.41,2021-02-09T23:59:59.999Z
33,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T11:28:02.000Z,2021-02-10T02:33:02.000Z,1.90430596,2.23257838,1.80833669,2.03000048,147435.96,19520699.9,2021-02-10T23:59:59.999Z
34,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T12:43:03.000Z,2021-02-11T10:40:03.000Z,2.02963056,2.66559976,1.94765781,2.40775325,219422.06,23154947.22,2021-02-11T23:59:59.999Z
35,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T05:37:02.000Z,2021-02-12T05:26:02.000Z,2.40898436,3.21174694,1.96739262,2.57467127,415332.62,24762491.33,2021-02-12T23:59:59.999Z
36,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T08:10:03.000Z,2021-02-13T11:19:02.000Z,2.57377144,2.98157956,2.16998956,2.62574154,366715.9,25256038.68,2021-02-13T23:59:59.999Z
37,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T10:20:03.000Z,2021-02-14T04:03:03.000Z,2.62542369,3.11551221,2.51475385,2.83567958,184540.94,27277913.11,2021-02-14T23:59:59.999Z
38,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T19:51:03.000Z,2021-02-15T02:31:02.000Z,2.83514712,2.94865345,1.68893102,2.57636452,318760.24,24785359.47,2021-02-15T23:59:59.999Z
39,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T11:04:03.000Z,2021-02-16T20:18:02.000Z,2.57545806,2.92054681,2.4651637,2.54745243,98178.8,24509332.24,2021-02-16T23:59:59.999Z
40,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T11:18:03.000Z,2021-02-17T06:25:03.000Z,2.54564393,2.78476653,2.34831088,2.52007199,109806.32,24248175.32,2021-02-17T23:59:59.999Z
41,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T03:55:03.000Z,2021-02-18T12:36:03.000Z,2.51969895,2.72274619,2.42590038,2.50331015,71175.97,24089150.96,2021-02-18T23:59:59.999Z
42,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T19:06:03.000Z,2021-02-19T01:57:03.000Z,2.50323792,2.7027858,2.33855066,2.45935455,91707.59,23667997.06,2021-02-19T23:59:59.999Z
43,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T10:51:03.000Z,2021-02-20T22:47:03.000Z,2.46251409,2.77193717,2.28113398,2.4296415,101638.57,23384165.78,2021-02-20T23:59:59.999Z
44,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T08:12:03.000Z,2021-02-21T22:24:03.000Z,2.42850076,2.59819665,2.21437096,2.44363018,107280.49,23520886.66,2021-02-21T23:59:59.999Z
45,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T00:00:03.000Z,2021-02-22T23:54:03.000Z,2.44547022,2.44547022,1.67663592,1.94711508,303750.94,18743432.84,2021-02-22T23:59:59.999Z
46,2021-02-23T00:00:00.000Z,2021-02-23T23:59:59.999Z,2021-02-23T01:07:03.000Z,2021-02-23T12:01:03.000Z,1.84507022,2.12796818,1.42883435,1.70283201,227729.51,16393135.73,2021-02-23T23:59:59.999Z
47,2021-02-24T00:00:00.000Z,2021-02-24T23:59:59.999Z,2021-02-24T04:55:03.000Z,2021-02-24T00:21:03.000Z,1.70861593,2.51692101,1.67256674,2.23839371,128353.23,21550929.21,2021-02-24T23:59:59.999Z
48,2021-02-25T00:00:00.000Z,2021-02-25T23:59:59.999Z,2021-02-25T00:47:03.000Z,2021-02-25T22:15:03.000Z,2.23846437,2.3601736,1.89844233,1.90757494,26911.07,18367482.45,2021-02-25T23:59:59.999Z
49,2021-02-26T00:00:00.000Z,2021-02-26T23:59:59.999Z,2021-02-26T04:08:03.000Z,2021-02-26T07:47:03.000Z,1.87242853,2.09691384,1.78050064,1.88697589,38899.61,18169962.2,2021-02-26T23:59:59.999Z
50,2021-02-27T00:00:00.000Z,2021-02-27T23:59:59.999Z,2021-02-27T06:48:03.000Z,2021-02-27T08:46:03.000Z,1.88730404,2.04196652,1.55749284,1.77493409,121576.76,17093157.55,2021-02-27T23:59:59.999Z
51,2021-02-28T00:00:00.000Z,2021-02-28T23:59:59.999Z,2021-02-28T01:27:03.000Z,2021-02-28T18:42:03.000Z,1.77420659,1.86593652,1.52573335,1.72799229,34063.76,16642576.49,2021-02-28T23:59:59.999Z
52,2021-03-01T00:00:00.000Z,2021-03-01T23:59:59.999Z,2021-03-01T22:45:03.000Z,2021-03-01T00:08:03.000Z,1.72799229,2.20503419,1.72744673,2.13585346,36446.04,20756450.51,2021-03-01T23:59:59.999Z
53,2021-03-02T00:00:00.000Z,2021-03-02T23:59:59.999Z,2021-03-02T00:00:03.000Z,2021-03-02T20:50:03.000Z,2.13663792,2.13663792,1.84450008,1.96200412,24481.25,19068622.09,2021-03-02T23:59:59.999Z
54,2021-03-03T00:00:00.000Z,2021-03-03T23:59:59.999Z,2021-03-03T13:09:03.000Z,2021-03-03T02:53:03.000Z,1.96219351,2.21862657,1.73462113,2.10544952,77208.81,20464279.42,2021-03-03T23:59:59.999Z
55,2021-03-04T00:00:00.000Z,2021-03-04T23:59:59.999Z,2021-03-04T01:38:03.000Z,2021-03-04T06:51:03.000Z,2.10491784,2.16713885,1.83866338,1.90279001,36713.12,18496153.47,2021-03-04T23:59:59.999Z
56,2021-03-05T00:00:00.000Z,2021-03-05T23:59:59.999Z,2021-03-05T14:36:03.000Z,2021-03-05T01:30:03.000Z,1.90264085,2.0911257,1.73052412,1.98844019,33757.79,19330442.5,2021-03-05T23:59:59.999Z
57,2021-03-06T00:00:00.000Z,2021-03-06T23:59:59.999Z,2021-03-06T08:37:03.000Z,2021-03-06T12:15:03.000Z,1.9881113,2.06316939,1.846942,1.92322441,34552.21,18698071.28,2021-03-06T23:59:59.999Z
58,2021-03-07T00:00:00.000Z,2021-03-07T23:59:59.999Z,2021-03-07T23:17:03.000Z,2021-03-07T00:00:03.000Z,1.92289438,2.28516996,1.92289438,2.06936008,47233.28,20120300.23,2021-03-07T23:59:59.999Z
59,2021-03-08T00:00:00.000Z,2021-03-08T23:59:59.999Z,2021-03-08T13:29:03.000Z,2021-03-08T08:21:03.000Z,2.06856263,2.65705775,2.00756369,2.52970256,265965.07,24598394.19,2021-03-08T23:59:59.999Z
60,2021-03-09T00:00:00.000Z,2021-03-09T23:59:59.999Z,2021-03-09T03:36:03.000Z,2021-03-09T22:41:03.000Z,2.52982066,2.638822,2.17815836,2.28844024,71323.83,22254394.48,2021-03-09T23:59:59.999Z
61,2021-03-10T00:00:00.000Z,2021-03-10T23:59:59.999Z,2021-03-10T15:01:03.000Z,2021-03-10T03:52:03.000Z,2.28904647,3.30533426,1.93567181,2.72404847,263758.62,26492927.14,2021-03-10T23:59:59.999Z
62,2021-03-11T00:00:00.000Z,2021-03-11T23:59:59.999Z,2021-03-11T00:33:03.000Z,2021-03-11T23:58:03.000Z,2.72166277,2.7406577,2.27124754,2.27196649,103898.15,22097775.69,2021-03-11T23:59:59.999Z
63,2021-03-12T00:00:00.000Z,2021-03-12T23:59:59.999Z,2021-03-12T04:26:03.000Z,2021-03-12T21:28:03.000Z,2.42214244,2.45078323,2.19962581,2.35682203,93197.58,22925157.81,2021-03-12T23:59:59.999Z
64,2021-03-13T00:00:00.000Z,2021-03-13T23:59:59.999Z,2021-03-13T12:30:03.000Z,2021-03-13T04:40:03.000Z,2.35762401,2.48230747,2.12332054,2.28085633,57626.13,22188204.15,2021-03-13T23:59:59.999Z
65,2021-03-14T00:00:00.000Z,2021-03-14T23:59:59.999Z,2021-03-14T00:30:03.000Z,2021-03-14T16:32:03.000Z,2.28029243,2.29539519,1.95448647,2.07110488,157916.05,20149522.56,2021-03-14T23:59:59.999Z
66,2021-03-15T00:00:00.000Z,2021-03-15T23:59:59.999Z,2021-03-15T06:01:03.000Z,2021-03-15T12:29:03.000Z,2.06712107,2.2654799,1.87037663,2.17285491,48534.07,21141329.3,2021-03-15T23:59:59.999Z
67,2021-03-16T00:00:00.000Z,2021-03-16T23:59:59.999Z,2021-03-16T00:46:03.000Z,2021-03-16T01:26:03.000Z,2.17292937,2.37586097,1.89877339,2.03509162,72728.48,19802364.23,2021-03-16T23:59:59.999Z
68,2021-03-17T00:00:00.000Z,2021-03-17T23:59:59.999Z,2021-03-17T23:59:03.000Z,2021-03-17T10:25:03.000Z,2.03578576,2.29911119,2.00662427,2.29911119,30046.13,22373386.4,2021-03-17T23:59:59.999Z
69,2021-03-18T00:00:00.000Z,2021-03-18T23:59:59.999Z,2021-03-18T11:08:03.000Z,2021-03-18T13:35:03.000Z,2.30007183,2.4538507,2.08813231,2.19269128,43389.01,21339691.08,2021-03-18T23:59:59.999Z
70,2021-03-19T00:00:00.000Z,2021-03-19T23:59:59.999Z,2021-03-19T06:02:03.000Z,2021-03-19T00:28:03.000Z,2.19545161,2.30636957,2.14657308,2.23247107,25179.15,21728557.77,2021-03-19T23:59:59.999Z
71,2021-03-20T00:00:00.000Z,2021-03-20T23:59:59.999Z,2021-03-20T13:26:03.000Z,2021-03-20T23:59:03.000Z,2.23292641,2.40965586,2.20767285,2.20767285,32691.09,21488756.75,2021-03-20T23:59:59.999Z
72,2021-03-21T00:00:00.000Z,2021-03-21T23:59:59.999Z,2021-03-21T23:59:03.000Z,2021-03-21T10:03:03.000Z,2.20717137,2.48183511,2.13549418,2.48183511,48069.18,24159524.14,2021-03-21T23:59:59.999Z
73,2021-03-22T00:00:00.000Z,2021-03-22T23:59:59.999Z,2021-03-22T05:04:03.000Z,2021-03-22T22:47:03.000Z,2.48217118,2.55978645,2.0813224,2.11731196,45034.53,20612903.74,2021-03-22T23:59:59.999Z
74,2021-03-23T00:00:00.000Z,2021-03-23T23:59:59.999Z,2021-03-23T23:56:05.000Z,2021-03-23T07:00:03.000Z,2.11702582,2.23873158,2.01365586,2.18487116,37120.44,21272502.39,2021-03-23T23:59:59.999Z
75,2021-03-24T00:00:00.000Z,2021-03-24T23:59:59.999Z,2021-03-24T00:07:03.000Z,2021-03-24T22:55:03.000Z,2.18390378,2.263006,1.92022647,2.00635363,132037.1,19535863.78,2021-03-24T23:59:59.999Z
76,2021-03-25T00:00:00.000Z,2021-03-25T23:59:59.999Z,2021-03-25T01:26:03.000Z,2021-03-25T12:41:03.000Z,2.00648467,2.06597692,1.86232574,1.87597809,26843.23,18268013.23,2021-03-25T23:59:59.999Z
77,2021-03-26T00:00:00.000Z,2021-03-26T23:59:59.999Z,2021-03-26T21:10:03.000Z,2021-03-26T02:47:03.000Z,1.87581225,2.09470037,1.7527304,2.04017795,79695.88,19868746.21,2021-03-26T23:59:59.999Z
