,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T00:49:03.000Z,2021-01-05T14:14:03.000Z,0.00063944,0.00065692,0.00031281,0.00033988,4.8e-07,10273.72875616,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:58:03.000Z,2021-01-06T00:26:03.000Z,0.00033992,0.0003688,0.00033514,0.00036863,1.6e-07,11142.75783061,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:03.000Z,2021-01-07T08:26:03.000Z,0.00036824,0.0004018,0.00036491,0.00039353,7e-08,11895.58632305,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:04.000Z,2021-01-08T02:47:03.000Z,0.00039371,0.00041942,0.00036839,0.00040821,0.0,12339.29019211,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:43:03.000Z,2021-01-09T07:05:03.000Z,0.00040798,0.00082365,0.00038981,0.00080511,4.8e-07,24336.73377738,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:03.000Z,2021-01-10T20:32:03.000Z,0.00080509,0.0008284,0.00071969,0.00076748,0.0,23199.28624828,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:49:03.000Z,0.00076713,0.00076713,0.00061099,0.00071182,0.0,21516.60440732,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:48:03.000Z,2021-01-12T23:30:04.000Z,0.00071065,0.00073137,0.0003351,0.00033881,1.3e-07,10241.44988674,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:04.000Z,2021-01-13T01:02:03.000Z,0.00033923,0.000376,0.00032585,0.00037296,2.6e-07,11273.8162604,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:03.000Z,2021-01-14T04:15:03.000Z,0.00037316,0.00039966,0.00036869,0.00039189,0.0,11845.81163464,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:03.000Z,2021-01-15T16:12:03.000Z,0.00039187,0.00039578,0.0003466,0.00036824,0.0,11131.14646373,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:03.000Z,2021-01-16T22:09:03.000Z,0.00036825,0.00037864,0.00035634,0.00036207,0.0,10944.4838925,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:03.000Z,2021-01-17T10:05:04.000Z,0.00036178,0.00036722,0.00034069,0.00035822,0.0,10828.10472797,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:03.000Z,2021-01-18T05:32:03.000Z,0.00035774,0.00037299,0.00034884,0.00036643,0.0,11076.21294427,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:03.000Z,2021-01-19T23:59:03.000Z,0.0003663,0.00037756,0.00036073,0.00036073,7e-08,10903.94580154,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:03.000Z,2021-01-20T16:08:03.000Z,0.0003607,0.00036378,0.0003357,0.00035554,0.0,10747.03846407,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:03:03.000Z,2021-01-21T22:42:03.000Z,0.00035548,0.00035553,0.00030251,0.00030819,0.0,9315.76906983,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:32:03.000Z,2021-01-22T01:20:03.000Z,0.00030826,0.00033812,0.00028953,0.00033005,0.0,9976.58526483,2021-01-22T23:59:59.999Z
