,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:16:03.000Z,2021-01-08T02:38:03.000Z,58.11398348,70.22876718,54.55039745,64.00500811,44154279.37080193,797671581.2638483,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T00:19:03.000Z,2021-01-09T16:31:03.000Z,63.99602937,66.46998717,59.30877148,60.15388635,23366808.99298748,749944721.4788624,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T07:34:03.000Z,2021-01-10T20:29:03.000Z,60.16708528,62.67938035,52.86642684,55.65889005,19264915.48803077,694111594.8912005,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T14:16:03.000Z,55.63386813,55.63386813,44.50740338,53.20768017,47507286.35034586,663733645.031083,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:32:03.000Z,2021-01-12T14:40:03.000Z,53.2166821,53.70699659,47.25310092,48.4210744,22461139.23579231,604227810.962996,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:59:03.000Z,2021-01-13T01:01:03.000Z,48.4528614,55.23359894,46.1289024,55.23359894,26420473.53212618,689426899.8473351,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T23:59:03.000Z,2021-01-14T05:59:03.000Z,55.24991917,58.58697897,53.64335453,58.58697897,23801168.59549208,731508401.674728,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T03:03:03.000Z,2021-01-15T16:10:03.000Z,58.57571682,60.86889103,52.21263411,57.65025107,24019144.52398122,720041773.270705,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T12:19:03.000Z,2021-01-16T22:10:03.000Z,57.63855767,60.50557925,56.55556098,57.13316476,18560037.00703909,713796090.2985089,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T03:28:03.000Z,2021-01-17T10:06:03.000Z,57.09295842,57.82483457,53.81395856,56.57549702,13026398.11948386,707033433.1551987,2021-01-17T23:59:59.999Z
