,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:10:03.000Z,2021-01-08T13:28:03.000Z,0.02219774,0.02351645,0.01914779,0.01943724,1196592.10880437,36658123.22095057,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:59:03.000Z,2021-01-09T03:13:03.000Z,0.01943779,0.01960461,0.01918464,0.01949276,1329006.12743192,36762837.92315341,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T04:00:03.000Z,2021-01-10T20:34:03.000Z,0.01949409,0.01961734,0.01916904,0.01944185,2135452.35546955,36666821.27040373,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T12:34:03.000Z,2021-01-11T16:17:03.000Z,0.01944182,0.02122658,0.01912169,0.01972759,2428274.0495103,37205725.99828674,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T00:55:03.000Z,2021-01-12T23:46:03.000Z,0.01972787,0.01978687,0.01672111,0.0168225,1093422.59889198,31726798.07515259,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T08:05:03.000Z,2021-01-13T23:42:03.000Z,0.01682159,0.01691094,0.01587462,0.01614714,764436.09897247,30453081.45758872,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T01:39:03.000Z,2021-01-14T06:42:03.000Z,0.01614672,0.01626575,0.01523807,0.01549104,741211.58749601,29215705.91048152,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:26:03.000Z,2021-01-15T20:43:03.000Z,0.01549076,0.01579521,0.01496049,0.01505063,1141880.14673387,28385105.9549478,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T18:49:03.000Z,2021-01-16T00:12:03.000Z,0.0150502,0.01540682,0.01496779,0.01531288,906683.32008854,28879699.75998823,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T00:35:03.000Z,2021-01-17T15:40:03.000Z,0.01531318,0.01537503,0.01449298,0.01490455,895598.54560273,28109600.33746908,2021-01-17T23:59:59.999Z
