,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:14:03.000Z,2021-01-08T21:12:03.000Z,0.00866163,0.00871411,0.00589049,0.007756,3150.80404489,231701.45309351,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:03:03.000Z,2021-01-09T05:09:03.000Z,0.00775155,0.00817351,0.00641784,0.00805941,769.91589446,240765.44084892,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T10:01:03.000Z,2021-01-10T07:49:03.000Z,0.00805112,0.00982281,0.00695659,0.00844485,2871.53305774,252279.92931701,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:50:04.000Z,0.00844231,0.00844231,0.00612644,0.00710646,741.47659085,212297.23339412,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T10:07:03.000Z,2021-01-12T04:56:03.000Z,0.00711333,0.00900357,0.00623719,0.00779262,3436.1116843,232795.32727271,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T07:56:03.000Z,2021-01-13T01:02:03.000Z,0.00780228,0.00877755,0.00749447,0.00857814,322.90634943,256261.73783803,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T08:17:03.000Z,2021-01-14T21:44:03.000Z,0.00858276,0.00890307,0.00766146,0.00783771,1039.30055317,234142.25497446,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:03.000Z,2021-01-15T16:13:03.000Z,0.00783747,0.00791554,0.00693192,0.00734655,112.25436103,219469.6101142,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T01:24:03.000Z,2021-01-16T22:10:04.000Z,0.00736485,0.00751918,0.00677038,0.00688131,272.52464574,205571.16855268,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:03.000Z,2021-01-17T14:12:03.000Z,0.00687928,0.00734447,0.0066143,0.00716435,786.92192409,214026.43704771,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T14:13:03.000Z,2021-01-18T10:01:03.000Z,0.0071548,0.0084914,0.00656291,0.00771219,793.33771918,230392.56838885,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:03.000Z,2021-01-19T23:59:03.000Z,0.00769493,0.00792874,0.00759742,0.00759742,133.41444194,226964.07781075,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T14:06:03.000Z,2021-01-20T11:27:03.000Z,0.00757525,0.00806628,0.00614443,0.00748062,679.61552978,223474.86331291,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:03.000Z,2021-01-21T19:10:04.000Z,0.00746625,0.00746625,0.00571033,0.00648431,208.87156724,193711.25198575,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T04:02:03.000Z,2021-01-22T09:15:03.000Z,0.00647191,0.00742077,0.00533757,0.00658799,1945.62452118,196808.53829154,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T14:52:03.000Z,2021-01-23T07:09:03.000Z,0.00660094,0.00766042,0.00624767,0.00737217,2003.23083781,220234.99430704,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T02:37:03.000Z,2021-01-24T00:10:03.000Z,0.00737324,0.00741744,0.00635481,0.00710895,270.81260911,212371.38243327,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:15:04.000Z,2021-01-25T17:01:03.000Z,0.00710452,0.0076566,0.00575427,0.00646879,1964.1982029,193247.5947711,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T01:52:03.000Z,2021-01-26T20:44:03.000Z,0.00647362,0.00655668,0.00575232,0.00586796,182.27806792,175298.50803305,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:03.000Z,2021-01-27T14:55:04.000Z,0.00586284,0.00586284,0.00528609,0.00546858,27.32766489,163367.45222179,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:21:03.000Z,2021-01-28T00:27:03.000Z,0.00547891,0.00812323,0.00540418,0.00734869,2058.79,219533.59,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:58:03.000Z,2021-01-29T00:00:03.000Z,0.00736106,0.09335497,0.00736106,0.0466732,610227.61,1394306.86,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T11:01:03.000Z,2021-01-30T01:56:03.000Z,0.04667029,0.08574231,0.03548935,0.06509043,695356.25,1944500.08,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T04:08:03.000Z,2021-01-31T19:50:04.000Z,0.06511209,0.06736119,0.02461659,0.03476371,181714.94,1038524.96,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T01:51:03.000Z,2021-02-01T02:54:03.000Z,0.03477008,0.03774933,0.0285651,0.03086035,59426.9,921916.66,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T17:49:03.000Z,2021-02-02T03:19:03.000Z,0.0308542,0.06269907,0.02556788,0.04902329,189770.82,1464512.95,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T15:32:03.000Z,2021-02-03T06:42:03.000Z,0.05184502,0.05882721,0.04221105,0.04494164,142129.99,1342578.62,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T13:12:03.000Z,2021-02-04T15:28:03.000Z,0.04496651,0.04875851,0.0392229,0.04172496,44886.74,1246484.02,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T14:00:04.000Z,2021-02-05T19:00:04.000Z,0.04172645,0.04317214,0.03745765,0.04269793,44598.91,1275550.46,2021-02-05T23:59:59.999Z
29,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T01:39:03.000Z,2021-02-06T21:33:03.000Z,0.04272162,0.04319209,0.0289142,0.03377392,36714.12,1008956.02,2021-02-06T23:59:59.999Z
30,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T18:05:04.000Z,2021-02-07T15:23:03.000Z,0.03376877,0.03753836,0.02638879,0.03267954,40926.62,976262.79,2021-02-07T23:59:59.999Z
31,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T16:15:04.000Z,2021-02-08T04:16:03.000Z,0.03267889,0.04102447,0.0314576,0.03650111,33988.87,1090427.57,2021-02-08T23:59:59.999Z
32,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T00:08:03.000Z,2021-02-09T14:34:03.000Z,0.03649521,0.03723376,0.03236742,0.03485909,18661.6,1041374.41,2021-02-09T23:59:59.999Z
33,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T03:19:03.000Z,2021-02-10T16:36:03.000Z,0.03485669,0.04147591,0.03246383,0.03860265,20186.0,1153208.81,2021-02-10T23:59:59.999Z
34,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T00:00:03.000Z,2021-02-11T21:36:03.000Z,0.03863668,0.03863668,0.03419103,0.03775188,5368.86,1127792.96,2021-02-11T23:59:59.999Z
35,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T09:16:03.000Z,2021-02-12T09:50:04.000Z,0.03782905,0.03921331,0.03121343,0.03375809,25103.08,1008483.27,2021-02-12T23:59:59.999Z
36,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T15:15:04.000Z,2021-02-13T00:34:03.000Z,0.03374014,0.04011058,0.0336097,0.03814774,17792.99,1139618.84,2021-02-13T23:59:59.999Z
