,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:04.000Z,2021-01-05T06:18:03.000Z,0.00063926,0.00068875,0.00060442,0.00068066,0.0,7146.94231163,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:10:03.000Z,2021-01-06T22:03:03.000Z,0.00067975,0.00072723,0.00035884,0.0003688,1.8e-07,3872.36684137,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:03.000Z,2021-01-07T08:27:03.000Z,0.00036863,0.00040133,0.00036491,0.00039353,0.0,4132.08418203,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:04.000Z,2021-01-08T02:47:03.000Z,0.00039371,0.00041942,0.00036839,0.00040821,0.0,4286.2104007,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:16:03.000Z,2021-01-09T07:05:04.000Z,0.00040821,0.00041436,0.00038981,0.00040256,0.0,4226.83800331,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:04.000Z,2021-01-10T20:32:03.000Z,0.00040255,0.0004142,0.00035985,0.00038374,0.0,4029.28452364,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:48:03.000Z,0.00038356,0.00038356,0.0003055,0.00035591,0.0,3737.03398504,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:48:03.000Z,2021-01-12T14:40:04.000Z,0.00035532,0.00036569,0.00032698,0.00033895,7e-08,3558.95566595,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:06:04.000Z,2021-01-13T01:03:03.000Z,0.00033881,0.000376,0.00032585,0.00037321,0.0,3918.68332418,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:39:04.000Z,2021-01-14T04:16:03.000Z,0.00037296,0.00039966,0.00036869,0.00039193,0.0,4115.21753596,2021-01-14T23:59:59.999Z
