,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:04.000Z,2021-01-08T02:47:03.000Z,0.01653584,0.01761546,0.01547223,0.01714485,0.0,50255.38877057,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:03.000Z,2021-01-09T07:05:04.000Z,0.017135,0.01740154,0.01637197,0.01690736,0.0,49559.25334293,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:03.000Z,2021-01-10T20:32:03.000Z,0.01690691,0.01739648,0.01511354,0.01611714,0.0,47242.95852798,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:49:03.000Z,0.0161097,0.0161097,0.01283083,0.01492357,0.0,43744.33506507,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:03.000Z,2021-01-12T14:39:03.000Z,0.014938,0.01535878,0.01373315,0.01423,0.0,41711.31707136,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:05.000Z,2021-01-13T01:02:03.000Z,0.01424764,0.01579198,0.01368556,0.01566442,0.0,45915.93278718,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:03.000Z,2021-01-14T04:15:04.000Z,0.01567287,0.01678589,0.0154848,0.01645918,0.0,48245.55219466,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:03.000Z,2021-01-15T16:13:04.000Z,0.01645868,0.01662264,0.01455703,0.01542776,0.0,45222.21984686,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:03.000Z,2021-01-16T22:10:05.000Z,0.01546619,0.01590303,0.01496609,0.01521133,0.0,44587.80408023,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:03.000Z,2021-01-17T10:06:04.000Z,0.01520683,0.01542339,0.01430912,0.01502509,0.0,44041.90212597,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:04.000Z,2021-01-18T05:33:03.000Z,0.01503234,0.0156657,0.01465121,0.01542438,0.0,45212.30534941,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:04.000Z,2021-01-19T23:59:03.000Z,0.01538986,0.01585747,0.01519485,0.01519485,0.0,44539.49735046,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:03.000Z,2021-01-20T16:09:04.000Z,0.01515051,0.0152789,0.0140996,0.01496125,0.0,43854.77287168,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:03.000Z,2021-01-21T22:43:03.000Z,0.01493249,0.01493249,0.00605015,0.00617554,8.3e-07,18101.8823977,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:03.000Z,2021-01-22T01:21:03.000Z,0.00616372,0.00676237,0.00579067,0.00658799,0.0,19310.88270519,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T19:54:03.000Z,2021-01-23T13:09:03.000Z,0.00660094,0.01786389,0.00629863,0.01762911,5.14e-06,51674.86742187,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:10:04.000Z,2021-01-24T19:36:03.000Z,0.01763166,0.0181192,0.01710868,0.01777236,0.0,52094.77814974,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:15:04.000Z,2021-01-25T22:34:03.000Z,0.0177613,0.01914151,0.01764828,0.01778918,0.0,52144.07660975,2021-01-25T23:59:59.999Z
