,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:04.000Z,2021-01-05T06:18:03.000Z,0.00223741,0.00241063,0.00211548,0.00238232,0.0,5146.09970661,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:03.000Z,2021-01-06T00:27:03.000Z,0.00237914,0.00258158,0.00234598,0.00258158,0.0,5576.53469054,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:19:03.000Z,2021-01-07T08:27:03.000Z,0.00258039,0.00281263,0.00255438,0.00275711,0.0,5955.69859921,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:11:04.000Z,2021-01-08T02:48:03.000Z,0.00275472,0.00293591,0.0025787,0.00285583,0.0,6168.95681662,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:03.000Z,2021-01-09T07:05:04.000Z,0.00285747,0.00290026,0.00272866,0.00281789,0.0,6087.00304563,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T22:27:03.000Z,2021-01-10T20:32:03.000Z,0.00281782,0.00311731,0.00251892,0.00306993,6.3e-07,6631.43929271,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:48:03.000Z,0.00306852,0.00306852,0.00244397,0.00284259,0.0,6140.34157519,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:03.000Z,2021-01-12T14:39:03.000Z,0.00284533,0.00292548,0.00261584,0.00271048,0.0,5854.96919745,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:04.000Z,2021-01-13T01:02:03.000Z,0.00271384,0.003008,0.00260677,0.0029837,0.0,6445.16622867,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:03.000Z,2021-01-14T04:15:04.000Z,0.00298531,0.00319731,0.00294949,0.00313508,3.2e-07,6772.17220283,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:03.000Z,2021-01-15T16:12:03.000Z,0.00313499,0.00316622,0.00277277,0.00294594,0.0,6363.60284901,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:03.000Z,2021-01-16T22:09:03.000Z,0.00294603,0.00302915,0.00285068,0.00289654,0.0,6256.88909096,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:03.000Z,2021-01-17T10:05:04.000Z,0.00289425,0.00293779,0.00272555,0.00286192,0.0,6182.11071839,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:03.000Z,2021-01-18T05:32:03.000Z,0.0028633,0.00298394,0.00279071,0.0029314,0.0,6332.19771902,2021-01-18T23:59:59.999Z
