,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T16:57:04.000Z,2021-01-08T02:47:04.000Z,0.00157484,0.00249651,0.00147355,0.00244926,0.07328907,26866.63493991,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:04.000Z,2021-01-09T07:05:04.000Z,0.00244786,0.00248593,0.00233885,0.00241534,0.0,26494.47949822,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:04.000Z,2021-01-10T20:32:04.000Z,0.00241527,0.00248521,0.00215908,0.00230245,0.0,25256.18349204,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:04.000Z,2021-01-11T16:49:03.000Z,0.00230139,0.00230139,0.00183298,0.00213545,0.0,23424.31155926,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:48:03.000Z,2021-01-12T14:39:04.000Z,0.00213194,0.00219411,0.00196188,0.00203286,0.0,22298.95651065,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:05.000Z,2021-01-13T01:02:04.000Z,0.00203538,0.002256,0.00195508,0.00223777,0.0,24546.75278205,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:04.000Z,2021-01-14T04:15:04.000Z,0.00223898,0.00239798,0.00221211,0.00235131,0.0,25792.17214312,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:04.000Z,2021-01-15T16:12:04.000Z,0.00235124,0.00237466,0.00207958,0.00220946,0.02199565,24236.11438343,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:04.000Z,2021-01-16T22:09:04.000Z,0.00220952,0.00227186,0.00213801,0.0021724,0.0,23829.68945275,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:04.000Z,2021-01-17T10:05:04.000Z,0.00217069,0.00220334,0.00204416,0.0021493,0.0,23576.2942836,2021-01-17T23:59:59.999Z
