,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T17:12:03.000Z,2021-01-05T17:49:03.000Z,0.01899851,0.01909719,0.003579,0.0190809,0.0,1172441.27852919,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T10:54:03.000Z,2021-01-06T22:04:03.000Z,0.01907786,0.01913747,0.01024272,0.01907697,0.0,1172200.03842645,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T00:13:03.000Z,2021-01-07T10:54:03.000Z,0.01907347,0.01908535,0.01023597,0.0189957,0.0,1167205.92285835,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T14:28:03.000Z,2021-01-08T02:21:03.000Z,0.01899598,0.01908387,0.01024678,0.01898957,0.0,1166829.122397,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T10:53:03.000Z,2021-01-09T00:00:03.000Z,0.01898957,0.0189973,0.01898957,0.01899168,0.0,1166958.91693196,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T22:21:07.000Z,2021-01-10T20:33:03.000Z,0.01899168,0.01900354,0.01021655,0.01892099,0.0,1162615.46196293,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T19:33:03.000Z,2021-01-11T16:21:05.000Z,0.01892096,0.01894878,0.01112976,0.01893248,0.0,1163321.39234836,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T23:59:03.000Z,2021-01-12T07:11:03.000Z,0.01893169,0.01913687,0.01145305,0.01913687,0.0,1175880.52850562,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T09:35:03.000Z,2021-01-13T17:21:05.000Z,0.01913669,0.01917861,0.01905898,0.01910702,0.0,1174046.21169217,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T17:58:03.000Z,2021-01-14T11:39:03.000Z,0.01910699,0.01918686,0.01145567,0.01915761,0.0,1177154.91666421,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:22:03.000Z,2021-01-15T16:12:03.000Z,0.01915761,0.01917656,0.0112389,0.01135004,0.0,697412.43470415,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:03.000Z,2021-01-16T22:09:03.000Z,0.01135322,0.01140517,0.01129363,0.01132229,0.0,695707.3672539,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:03.000Z,2021-01-17T10:05:04.000Z,0.01132086,0.01135779,0.01121542,0.01128993,0.0,693718.68395419,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T17:26:05.000Z,2021-01-18T05:32:03.000Z,0.0112914,0.01901815,0.01123829,0.01133848,0.0,696701.75320249,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:03.000Z,2021-01-19T05:56:03.000Z,0.0113389,0.01142283,0.01133602,0.01135412,0.0,697662.89863392,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:03.000Z,2021-01-20T16:08:03.000Z,0.01135373,0.01137114,0.01121666,0.01134528,0.0,697119.66157039,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:01:03.000Z,2021-01-21T22:42:03.000Z,0.01134397,0.01134398,0.01112607,0.01115081,0.0,685170.49718386,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:34:03.000Z,2021-01-22T01:20:03.000Z,0.01115089,0.01126696,0.01105166,0.01122974,0.0,690020.23784454,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:02:03.000Z,2021-01-23T13:08:03.000Z,0.0112274,0.01124516,0.01115177,0.01117999,0.0,686963.74245316,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:09:03.000Z,2021-01-24T19:35:04.000Z,0.0111805,0.01122432,0.00217747,0.00226053,4e-07,138900.01861793,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T13:30:04.000Z,2021-01-25T00:08:03.000Z,0.00226026,0.01079595,0.00225752,0.01070665,0.0,657878.50967509,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T16:32:03.000Z,2021-01-26T20:43:03.000Z,0.01070666,0.01922918,0.00223701,0.01075846,0.0,661062.19292721,2021-01-26T23:59:59.999Z
