,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:11:04.000Z,2021-01-08T02:48:03.000Z,3.935e-05,4.194e-05,3.684e-05,4.08e-05,0.0,1017788.52944746,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:03.000Z,2021-01-09T07:05:03.000Z,4.082e-05,0.00020716,3.898e-05,8.051e-05,13.32194026,2008534.68820655,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:03.000Z,2021-01-10T20:32:03.000Z,8.051e-05,8.284e-05,3.598e-05,3.837e-05,43.41328367,957330.00991217,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:48:03.000Z,3.836e-05,3.836e-05,3.055e-05,3.553e-05,0.18056383,886434.00051607,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:03.000Z,2021-01-12T14:39:03.000Z,3.557e-05,3.657e-05,3.27e-05,3.388e-05,0.08187008,845236.979895,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:03.000Z,2021-01-13T01:02:03.000Z,3.392e-05,3.76e-05,3.258e-05,3.73e-05,47.00802309,930439.19682689,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:03.000Z,2021-01-14T04:15:03.000Z,3.732e-05,7.993e-05,3.687e-05,7.838e-05,52.98094295,1955293.08067181,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:03.000Z,2021-01-15T16:12:03.000Z,7.837e-05,7.916e-05,6.932e-05,7.365e-05,0.0,1837329.03489262,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:03.000Z,2021-01-16T22:09:03.000Z,7.365e-05,7.573e-05,3.563e-05,3.621e-05,56.96594099,903259.07110643,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:03.000Z,2021-01-17T10:05:03.000Z,3.618e-05,3.672e-05,3.407e-05,3.577e-05,0.00358217,892463.89116224,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:03.000Z,2021-01-18T05:32:03.000Z,3.579e-05,3.73e-05,3.488e-05,3.664e-05,0.0,914130.79972463,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:03.000Z,2021-01-19T23:59:03.000Z,3.663e-05,3.776e-05,3.607e-05,3.607e-05,0.0,899913.42239935,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:03.000Z,2021-01-20T16:08:03.000Z,3.607e-05,3.638e-05,3.357e-05,3.555e-05,0.0,886963.70470692,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:03:03.000Z,2021-01-21T22:42:03.000Z,3.555e-05,3.555e-05,3.025e-05,3.082e-05,0.0,768839.62723909,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:32:03.000Z,2021-01-22T01:20:03.000Z,3.083e-05,3.381e-05,2.895e-05,3.3e-05,15.0551124,823377.4408088,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:02:03.000Z,2021-01-23T13:08:03.000Z,3.301e-05,3.336e-05,3.149e-05,3.206e-05,6.83538279,799748.59134317,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:09:03.000Z,2021-01-24T19:35:03.000Z,3.207e-05,3.294e-05,3.111e-05,3.229e-05,4.69468308,805628.63277468,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:14:03.000Z,2021-01-25T22:33:03.000Z,3.229e-05,3.48e-05,3.209e-05,3.237e-05,0.0,807495.80676776,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:05:04.000Z,2021-01-26T14:50:03.000Z,3.237e-05,6.559e-05,3.103e-05,6.514e-05,29.422765,1625130.51387276,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:03.000Z,2021-01-27T14:54:03.000Z,6.514e-05,6.514e-05,5.873e-05,6.088e-05,1.22645106,1518707.76048563,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T19:09:03.000Z,2021-01-28T20:49:03.000Z,6.087e-05,6.556e-05,3.266e-05,3.34e-05,11.52,833317.24,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:00:04.000Z,2021-01-29T00:00:03.000Z,3.346e-05,7.681e-05,3.346e-05,6.848e-05,0.73,1708312.73,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T01:30:03.000Z,2021-01-30T16:35:04.000Z,6.864e-05,6.967e-05,3.36e-05,3.43e-05,0.01,855709.1,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:09:03.000Z,2021-01-31T18:03:03.000Z,3.426e-05,3.429e-05,3.227e-05,3.314e-05,0.0,826694.31,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T09:09:03.000Z,2021-02-01T00:32:03.000Z,3.311e-05,6.928e-05,3.238e-05,6.702e-05,17.19,1671845.55,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T20:12:03.000Z,2021-02-02T00:04:03.000Z,6.709e-05,7.179e-05,6.698e-05,7.102e-05,0.0,1771799.24,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T23:43:03.000Z,2021-02-03T00:09:03.000Z,7.105e-05,7.496e-05,7.089e-05,7.485e-05,0.0,1867277.18,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T00:36:03.000Z,2021-02-04T15:29:03.000Z,7.49e-05,7.588e-05,3.632e-05,3.694e-05,1.85,921468.08,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T23:59:03.000Z,2021-02-05T00:13:03.000Z,3.692e-05,0.00019023,3.692e-05,0.00019023,379.46,4745631.42,2021-02-05T23:59:59.999Z
29,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T09:15:03.000Z,2021-02-06T23:45:04.000Z,0.00019062,0.00019884,7.828e-05,7.847e-05,2.2,1957503.44,2021-02-06T23:59:59.999Z
30,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T09:57:03.000Z,2021-02-07T16:21:03.000Z,7.854e-05,7.924e-05,3.745e-05,3.891e-05,1.65,970634.57,2021-02-07T23:59:59.999Z
31,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T23:59:03.000Z,2021-02-08T04:03:03.000Z,3.89e-05,4.615e-05,3.808e-05,4.615e-05,112.48,1151432.26,2021-02-08T23:59:59.999Z
32,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T07:03:03.000Z,2021-02-09T13:06:03.000Z,4.62e-05,4.8e-05,4.517e-05,4.648e-05,0.01,1159518.56,2021-02-09T23:59:59.999Z
33,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T23:39:03.000Z,2021-02-10T15:51:03.000Z,4.648e-05,9.054e-05,4.391e-05,8.977e-05,74.89,2239605.68,2021-02-10T23:59:59.999Z
34,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T20:35:04.000Z,2021-02-11T00:56:03.000Z,8.985e-05,0.00014539,8.838e-05,0.00014336,44.84,3576478.41,2021-02-11T23:59:59.999Z
35,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T00:24:03.000Z,2021-02-12T14:51:03.000Z,0.00014365,0.00014624,9.285e-05,0.00014264,0.1,3558472.95,2021-02-12T23:59:59.999Z
36,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T03:13:03.000Z,2021-02-13T11:56:03.000Z,0.00014256,0.00014408,0.00013918,0.00014129,0.0,3524746.77,2021-02-13T23:59:59.999Z
37,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T12:19:03.000Z,2021-02-14T00:01:03.000Z,0.00014133,0.00019795,0.00014132,0.00019488,187.39,4861811.46,2021-02-14T23:59:59.999Z
38,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T03:34:03.000Z,2021-02-15T05:36:03.000Z,0.00019491,0.00023631,9.305e-05,0.00014388,357.2,3589471.92,2021-02-15T23:59:59.999Z
39,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T12:38:03.000Z,2021-02-16T00:39:03.000Z,0.00014383,0.00015102,0.0001416,0.00014771,0.0,3684994.49,2021-02-16T23:59:59.999Z
40,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T21:39:03.000Z,2021-02-17T01:03:03.000Z,0.00014761,0.0001576,0.00014722,0.00015648,0.0,3903646.61,2021-02-17T23:59:59.999Z
41,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T00:27:03.000Z,2021-02-18T12:18:03.000Z,0.00015645,0.00015742,5.102e-05,5.17e-05,8.01,1289707.59,2021-02-18T23:59:59.999Z
42,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T10:48:03.000Z,2021-02-19T02:36:03.000Z,5.17e-05,0.00015878,5.094e-05,0.00011165,12.9,2785446.61,2021-02-19T23:59:59.999Z
43,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T17:18:03.000Z,2021-02-20T22:45:04.000Z,0.0001118,0.00017229,5.463e-05,5.613e-05,239.79,1400232.46,2021-02-20T23:59:59.999Z
44,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T14:06:03.000Z,2021-02-21T00:18:03.000Z,5.61e-05,0.0005742,5.567e-05,0.00023,6496.82,5737952.02,2021-02-21T23:59:59.999Z
45,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T00:00:03.000Z,2021-02-22T14:21:03.000Z,0.00023018,0.00023018,4.897e-05,0.00010847,358.18,2706026.34,2021-02-22T23:59:59.999Z
46,2021-02-23T00:00:00.000Z,2021-02-23T23:59:59.999Z,2021-02-23T13:18:03.000Z,2021-02-23T11:48:03.000Z,0.00010844,0.00014758,9.058e-05,0.00014644,48.31,3653236.36,2021-02-23T23:59:59.999Z
47,2021-02-24T00:00:00.000Z,2021-02-24T23:59:59.999Z,2021-02-24T04:17:03.000Z,2021-02-24T10:38:03.000Z,0.00014647,0.00015387,5.037e-05,9.94e-05,34.76,2479683.51,2021-02-24T23:59:59.999Z
48,2021-02-25T00:00:00.000Z,2021-02-25T23:59:59.999Z,2021-02-25T21:27:03.000Z,2021-02-25T09:47:03.000Z,9.941e-05,0.00049181,9.787e-05,0.00047134,9413.82,11758721.77,2021-02-25T23:59:59.999Z
49,2021-02-26T00:00:00.000Z,2021-02-26T23:59:59.999Z,2021-02-26T15:50:03.000Z,2021-02-26T07:47:03.000Z,0.00047094,0.00052469,0.00017782,0.00046332,3432.44,11558651.43,2021-02-26T23:59:59.999Z
50,2021-02-27T00:00:00.000Z,2021-02-27T23:59:59.999Z,2021-02-27T02:35:03.000Z,2021-02-27T05:50:03.000Z,0.0004634,0.00047988,0.00028564,0.00041587,626.41,10374730.4,2021-02-27T23:59:59.999Z
51,2021-02-28T00:00:00.000Z,2021-02-28T23:59:59.999Z,2021-02-28T23:09:03.000Z,2021-02-28T11:59:03.000Z,0.0004157,0.00045929,0.00013607,0.00045129,435.44,11258534.52,2021-02-28T23:59:59.999Z
52,2021-03-01T00:00:00.000Z,2021-03-01T23:59:59.999Z,2021-03-01T00:41:03.000Z,2021-03-01T15:43:03.000Z,0.00045138,0.00046526,0.00019539,0.00044682,1107.06,11146868.21,2021-03-01T23:59:59.999Z
53,2021-03-02T00:00:00.000Z,2021-03-02T23:59:59.999Z,2021-03-02T00:26:03.000Z,2021-03-02T20:50:04.000Z,0.00044668,0.00045115,0.00018892,0.0001935,98.07,0.0,2021-03-02T23:59:59.999Z
54,2021-03-03T00:00:00.000Z,2021-03-03T23:59:59.999Z,2021-03-03T16:40:04.000Z,2021-03-03T00:09:03.000Z,0.00019351,0.00030738,0.0001931,0.00025276,45.47,0.0,2021-03-03T23:59:59.999Z
