,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:55:06.000Z,2021-01-05T06:18:04.000Z,0.00159815,0.00443178,0.00151106,0.0044243,0.0,127787.89365307,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:04.000Z,2021-01-06T01:37:04.000Z,0.00441841,0.00479436,0.00168318,0.00479436,0.0,138476.45063549,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T17:32:05.000Z,2021-01-07T08:27:05.000Z,0.00479215,0.0051666,0.00182456,0.00196766,0.0,56832.30146702,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:28:05.000Z,2021-01-08T02:47:05.000Z,0.00196855,0.0050136,0.00184193,0.00489853,0.0,141485.13393639,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T00:12:05.000Z,2021-01-09T07:05:05.000Z,0.00489571,0.00492567,0.00194904,0.00201278,0.0,58135.53671011,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:42:05.000Z,2021-01-10T20:00:07.000Z,0.00201273,0.00496107,0.00187539,0.0046049,0.0,133004.17086419,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:05.000Z,2021-01-11T17:09:04.000Z,0.00460277,0.00460277,0.00154734,0.00177954,0.0,51398.81780472,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:51:04.000Z,2021-01-12T14:39:05.000Z,0.00177662,0.00435822,0.0016349,0.00406571,0.0,117430.81541843,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T00:02:05.000Z,2021-01-13T01:02:05.000Z,0.00407076,0.00408692,0.00162923,0.00186481,0.0,53861.73552008,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T23:20:07.000Z,2021-01-14T04:15:06.000Z,0.00186582,0.00468742,0.00184343,0.00195943,0.0,56594.50947089,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:14:05.000Z,2021-01-15T06:12:09.000Z,0.00195937,0.00464385,0.00188226,0.00368243,6.05e-06,106360.25514987,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:05.000Z,2021-01-16T22:09:05.000Z,0.00368254,0.00378644,0.00356336,0.00362067,0.0,104576.6582154,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:05.000Z,2021-01-17T10:05:06.000Z,0.00361781,0.00367223,0.00340693,0.00358217,0.0,103464.63281313,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:05.000Z,2021-01-18T17:30:06.000Z,0.0035774,0.00372993,0.00178705,0.00366425,0.0,105835.35475691,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:05.000Z,2021-01-19T23:59:05.000Z,0.00366301,0.00377559,0.00360726,0.00360726,0.0,104189.30892374,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:05.000Z,2021-01-20T16:08:05.000Z,0.00360698,0.00363783,0.00335705,0.00355536,0.0,102690.02899732,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T09:10:06.000Z,2021-01-21T00:54:05.000Z,0.00355478,0.0043324,0.00351653,0.00400642,2.66e-06,115718.16541306,2021-01-21T23:59:59.999Z
