,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:45:07.000Z,2021-01-05T05:56:05.000Z,0.03719289,0.0407152,0.0358417,0.04010537,39238.78123985,4010537.22366786,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T00:02:05.000Z,2021-01-06T20:17:05.000Z,0.04011344,0.04030718,0.02895791,0.03233685,24615.42907609,3233684.77873791,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T13:08:05.000Z,2021-01-07T08:26:05.000Z,0.03230643,0.03274125,0.02791841,0.02867028,12297.70718573,2867027.42013579,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:04:05.000Z,2021-01-08T02:47:05.000Z,0.02867347,0.035617,0.02648562,0.03257903,39366.93809304,3257902.51086657,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T09:08:05.000Z,2021-01-09T02:44:05.000Z,0.032741,0.03496648,0.03086685,0.03274506,30866.35001137,3274506.15458079,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T08:03:05.000Z,2021-01-10T20:31:09.000Z,0.03262972,0.03402489,0.02725916,0.02849817,23403.13212546,2849816.52116294,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T01:33:05.000Z,2021-01-11T16:40:06.000Z,0.0284981,0.02945113,0.02410011,0.02651327,23648.25015057,2651326.87158688,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T08:41:05.000Z,2021-01-12T23:11:05.000Z,0.02654544,0.02849318,0.02558794,0.02594935,20254.91198774,2594935.0663462,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T11:33:05.000Z,2021-01-13T12:13:05.000Z,0.02595798,0.02670478,0.02434386,0.02627698,32630.59249148,2627697.47247902,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T21:01:05.000Z,2021-01-14T04:12:05.000Z,0.02623498,0.03156366,0.0256449,0.02854938,21483.22849021,2854937.4902118,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T04:35:06.000Z,2021-01-15T16:13:05.000Z,0.02854647,0.03153867,0.02799922,0.02935399,12794.94447312,2935398.71084326,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T05:03:05.000Z,2021-01-16T18:48:05.000Z,0.02939088,0.03137119,0.00605276,0.02705603,17477.52452152,2705602.47434379,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:51:05.000Z,2021-01-17T06:30:05.000Z,0.02704306,0.03002421,0.02671041,0.02960553,12503.63697006,2960553.26766927,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T09:06:05.000Z,2021-01-18T17:28:05.000Z,0.02958928,0.0303113,0.02754212,0.02893411,12324.02484349,2893411.15058915,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T19:21:05.000Z,2021-01-19T12:48:05.000Z,0.02890044,0.03032742,0.02846554,0.03004245,12214.70000512,3004245.23932249,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:08:05.000Z,2021-01-20T21:27:05.000Z,0.02999887,0.03021261,0.02700094,0.02734253,11895.97939821,2734252.75279267,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T19:29:05.000Z,2021-01-21T15:03:05.000Z,0.02731387,0.0274039,0.02626029,0.02670774,13746.90386002,2670774.2936001,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T14:33:05.000Z,2021-01-22T01:19:05.000Z,0.02668155,0.02953333,0.02642253,0.02772731,11562.03495159,2772731.09219473,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T09:06:05.000Z,2021-01-23T13:09:05.000Z,0.02775328,0.02931605,0.02723789,0.02767427,11466.05901684,2767426.74356316,2021-01-23T23:59:59.999Z
