,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T23:43:05.000Z,2021-01-08T21:06:06.000Z,0.00511824,0.00614382,0.00272913,0.00612316,6.16e-06,3630.38200665,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:16:05.000Z,2021-01-09T07:05:06.000Z,0.00612316,0.00621545,0.00584713,0.00603834,0.0,3580.0941153,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:06.000Z,2021-01-10T20:32:05.000Z,0.00603818,0.00621303,0.00539769,0.00575612,0.0,3412.76807874,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:06.000Z,2021-01-11T16:48:06.000Z,0.00575347,0.00575347,0.00458244,0.00532985,0.0,3160.03220347,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:05.000Z,2021-01-12T14:40:07.000Z,0.005335,0.00548528,0.0049047,0.00508422,0.0,3014.40372832,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:06:06.000Z,2021-01-13T01:03:06.000Z,0.00508214,0.00563999,0.0048877,0.00559812,0.0,3319.08984861,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:39:06.000Z,2021-01-14T04:16:06.000Z,0.00559444,0.00599496,0.00553028,0.00587888,0.0,3485.5525743,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:40:06.000Z,2021-01-15T20:12:06.000Z,0.00587828,0.00593666,0.00416001,0.00550991,0.0,3266.79262163,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:06.000Z,2021-01-16T22:10:08.000Z,0.00552364,0.00567966,0.00534503,0.00543262,0.0,3220.96327596,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T19:25:07.000Z,2021-01-17T10:06:06.000Z,0.00543101,0.00999898,0.0051104,0.00537326,0.0,3185.77130117,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T17:25:07.000Z,2021-01-18T05:33:06.000Z,0.0053661,0.00999898,0.00523258,0.00550871,0.0,3266.07641161,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T09:45:07.000Z,2021-01-19T23:59:06.000Z,0.00549638,0.00780098,0.00542673,0.00542673,0.0,3217.47366247,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:06.000Z,2021-01-20T16:09:06.000Z,0.0054109,0.00545675,0.00503557,0.0053433,0.0,3168.01008278,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:06.000Z,2021-01-21T22:43:06.000Z,0.00533303,0.00533303,0.00453761,0.00463165,0.0,2746.07707704,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:06.000Z,2021-01-22T01:21:06.000Z,0.00462279,0.00507178,0.00434301,0.00494099,0.0,2929.4838608,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T11:13:06.000Z,2021-01-23T13:09:06.000Z,0.00495071,0.00743336,0.00472397,0.00480794,0.0,2850.59593188,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:10:06.000Z,2021-01-24T19:36:06.000Z,0.00480864,0.0049416,0.004666,0.00484701,0.0,2873.75991608,2021-01-24T23:59:59.999Z
