,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T14:55:06.000Z,2021-01-08T02:33:05.000Z,0.01711677,0.01972312,0.01699388,0.01822107,2963.00584046,155536.36292609,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:16:05.000Z,2021-01-09T01:47:05.000Z,0.0182233,0.0209778,0.01789492,0.01959696,2766.40206625,167281.08295389,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T07:10:06.000Z,2021-01-10T20:33:05.000Z,0.01959828,0.02029339,0.01778726,0.01792066,2536.12560305,152972.04991339,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:04:05.000Z,2021-01-11T14:16:05.000Z,0.01792061,0.01822097,0.01481133,0.01491039,2108.79167005,127276.19508368,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T16:56:05.000Z,2021-01-12T18:23:05.000Z,0.01491076,0.01503863,0.01323253,0.01403817,1963.33591544,119830.85183097,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T00:19:05.000Z,2021-01-13T05:28:05.000Z,0.01403752,0.01423344,0.01134011,0.01220053,1722.20232513,104144.62832914,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T17:27:05.000Z,2021-01-14T02:17:05.000Z,0.01220021,0.01882968,0.01149624,0.01751931,3220.32154426,149546.09102485,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T04:16:05.000Z,2021-01-15T02:56:05.000Z,0.01751904,0.020563,0.01659065,0.01949758,2746.90682724,166432.76609789,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T18:01:05.000Z,2021-01-16T03:06:05.000Z,0.01949699,0.02012795,0.01928989,0.01990349,2787.39987789,169897.67748273,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T06:11:05.000Z,2021-01-17T04:12:05.000Z,0.01990388,0.02011005,0.01770568,0.01970919,2772.28204251,168239.07973644,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T20:31:05.000Z,2021-01-18T02:21:05.000Z,0.01970815,0.0201188,0.0192975,0.01931545,2701.05738208,164878.11919066,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T04:11:06.000Z,2021-01-19T06:44:05.000Z,0.01931552,0.02012172,0.01763344,0.01807848,2633.23409188,154319.18121515,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:56:05.000Z,2021-01-20T11:24:05.000Z,0.01807759,0.01827875,0.01759069,0.01761198,2486.17757404,150337.14279493,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T23:46:05.000Z,2021-01-21T16:17:05.000Z,0.01761211,0.01893682,0.01756894,0.01870315,3049.7166223,159651.41344832,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:34:05.000Z,2021-01-22T23:17:05.000Z,0.01870399,0.01910177,0.01764781,0.01784845,2524.21616734,152355.65106997,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T02:10:06.000Z,2021-01-23T21:58:05.000Z,0.01784639,0.01804828,0.01760845,0.01761,2470.09265654,150320.2516227,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T22:23:05.000Z,2021-01-24T00:00:05.000Z,0.01760978,0.01808209,0.01760978,0.01807993,2555.82761594,154331.62637766,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:22:05.000Z,2021-01-25T04:43:05.000Z,0.01808003,0.01835265,0.01766212,0.01796922,2572.69826157,153386.58596646,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T17:06:05.000Z,2021-01-26T03:45:05.000Z,0.01796977,0.02035029,0.01776781,0.02012166,3979.27240846,171759.92826672,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:04:05.000Z,2021-01-27T18:57:05.000Z,0.0201224,0.02025636,0.01674959,0.01698591,2576.05446099,144992.93274864,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T10:03:05.000Z,2021-01-28T10:10:06.000Z,0.01698573,0.01791693,0.01321361,0.01602244,2222.07,136768.69,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T15:02:05.000Z,2021-01-29T02:04:05.000Z,0.01602469,0.01616717,0.01511307,0.01544617,2181.98,131849.62,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T23:04:05.000Z,2021-01-30T01:53:05.000Z,0.01544548,0.01633003,0.01514321,0.01613276,2385.56,137710.43,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:50:05.000Z,2021-01-31T23:59:05.000Z,0.01613253,0.01640726,0.00981257,0.00981257,1392.5,83760.8,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T18:07:05.000Z,2021-02-01T07:59:05.000Z,0.00981231,0.01122611,0.00880853,0.01101845,1768.25,94054.3,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T07:34:05.000Z,2021-02-02T16:26:05.000Z,0.01101769,0.01162181,0.00986231,0.00987383,1415.31,84283.78,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T07:08:05.000Z,2021-02-03T22:22:05.000Z,0.00987396,0.00999246,0.00960755,0.00960998,1348.44,82031.53,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T08:48:05.000Z,2021-02-04T04:23:05.000Z,0.00960973,0.00989808,0.00960751,0.00978379,1394.79,83515.15,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T00:54:05.000Z,2021-02-05T00:00:05.000Z,0.00978412,0.01996847,0.00978412,0.01991073,2810.22,169959.43,2021-02-05T23:59:59.999Z
29,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T11:08:05.000Z,2021-02-06T23:33:05.000Z,0.0199104,0.01994769,0.01444389,0.0149428,2108.19,127552.81,2021-02-06T23:59:59.999Z
30,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T10:39:05.000Z,2021-02-07T11:17:05.000Z,0.014943,0.01546866,0.01217629,0.01445164,2051.25,123360.3,2021-02-07T23:59:59.999Z
31,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T16:12:05.000Z,2021-02-08T09:42:05.000Z,0.01445139,0.01501358,0.01371136,0.01459772,2103.89,124607.19,2021-02-08T23:59:59.999Z
32,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T06:15:06.000Z,2021-02-09T19:04:05.000Z,0.01459859,0.01501543,0.01372144,0.01379686,1940.66,117770.99,2021-02-09T23:59:59.999Z
33,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T19:03:05.000Z,2021-02-10T03:54:05.000Z,0.01379763,0.01524937,0.01378863,0.01473724,2120.51,125798.2,2021-02-10T23:59:59.999Z
34,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T17:10:08.000Z,2021-02-11T19:55:08.000Z,0.01473745,0.01532031,0.01377764,0.01397436,1963.49,119286.14,2021-02-11T23:59:59.999Z
35,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T02:45:06.000Z,2021-02-12T06:16:05.000Z,0.01397364,0.01498355,0.01028709,0.01122605,1587.98,95826.35,2021-02-12T23:59:59.999Z
36,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T18:57:05.000Z,2021-02-13T01:07:05.000Z,0.01122596,0.01173954,0.01082448,0.01153869,1626.49,98495.07,2021-02-13T23:59:59.999Z
37,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T20:20:08.000Z,2021-02-14T13:03:05.000Z,0.01153889,0.01257883,0.01081283,0.01215494,1776.74,103755.46,2021-02-14T23:59:59.999Z
