,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T04:32:05.000Z,2021-01-08T09:28:05.000Z,0.00550945,0.00619806,0.00502006,0.00530369,1838.5944416,530368.884363,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T17:42:05.000Z,2021-01-09T01:25:05.000Z,0.00530674,0.00851494,0.004812,0.00563579,4960.18233793,563578.619971,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T07:17:05.000Z,2021-01-10T20:32:05.000Z,0.00563564,0.00658068,0.00503785,0.00537238,3808.59590809,537238.145747,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:03:05.000Z,2021-01-11T17:08:05.000Z,0.0053699,0.00650389,0.00433256,0.00532985,1634.09313124,532984.767682,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T22:48:05.000Z,2021-01-12T14:39:05.000Z,0.005335,0.00581699,0.00457772,0.00508214,1287.34391125,508214.300342,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:08.000Z,2021-01-13T23:24:05.000Z,0.00508844,0.00563999,0.00412789,0.00522147,2383.97036929,522147.455609,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T14:00:07.000Z,2021-01-14T01:04:05.000Z,0.00522429,0.0058411,0.00490112,0.00548639,1632.20486583,548639.454624,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T02:25:06.000Z,2021-01-15T07:00:06.000Z,0.00548623,0.00627509,0.00417156,0.0051554,8585.73160774,515539.695677,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T17:09:05.000Z,2021-01-16T16:09:05.000Z,0.00515555,0.00558534,0.00187188,0.00470688,12771.10464984,470687.664417,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:08:05.000Z,2021-01-17T11:29:05.000Z,0.00470316,0.0051304,0.00383499,0.00429288,8131.70595254,429288.280423,2021-01-17T23:59:59.999Z
