,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T16:43:05.000Z,2021-01-08T21:07:05.000Z,0.00397371,0.00436933,0.00359244,0.00373237,191.9632502,444701.09691751,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T00:13:05.000Z,2021-01-09T07:05:06.000Z,0.0037342,0.00375168,0.00323231,0.00337663,9.44032103,402315.7473814,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T02:46:05.000Z,2021-01-10T19:57:05.000Z,0.00337631,0.00355123,0.00314546,0.00351761,122.01972949,419112.65316439,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T09:07:05.000Z,2021-01-11T07:02:05.000Z,0.00351666,0.00514911,0.00315844,0.00435253,3184.54801831,518590.54268484,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T08:49:05.000Z,2021-01-12T23:30:07.000Z,0.00435547,0.00444312,0.00339119,0.00342811,7.6601252,408448.54056608,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T02:10:05.000Z,2021-01-13T17:37:05.000Z,0.00343228,0.00357132,0.00262129,0.00302442,1065.66678977,360350.10790966,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:09:05.000Z,2021-01-14T11:38:05.000Z,0.00302562,0.00306545,0.00204025,0.00268914,321.88135942,320402.32852332,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:15:06.000Z,2021-01-15T06:12:05.000Z,0.00268907,0.00286092,0.00238512,0.00239998,1.5259934,285949.85931402,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T23:19:05.000Z,2021-01-16T00:34:05.000Z,0.00239991,0.00337647,0.00239929,0.00301898,506.16474392,359702.56916726,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T06:19:05.000Z,2021-01-17T10:03:05.000Z,0.00301723,0.00330129,0.00260415,0.00293082,108.34214659,349198.53701023,2021-01-17T23:59:59.999Z
