,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T02:45:06.000Z,2021-01-08T07:44:06.000Z,0.01074488,0.01127732,0.01028835,0.01063944,341543.18607529,993248.25477352,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T16:28:05.000Z,2021-01-09T00:36:05.000Z,0.01063963,0.01106272,0.00998846,0.01087385,313037.32657199,1015131.98467792,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T03:44:05.000Z,2021-01-10T00:07:05.000Z,0.01087458,0.01323344,0.01061485,0.01173324,316104.33146199,1095360.37665352,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:43:05.000Z,2021-01-11T12:22:05.000Z,0.01173314,0.01195646,0.01004504,0.01055757,212125.89821438,985605.26128551,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T17:02:05.000Z,2021-01-12T13:04:06.000Z,0.01055803,0.01095304,0.00990551,0.01047825,83804.61582358,978200.9568743,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T15:21:06.000Z,2021-01-13T06:08:06.000Z,0.01047819,0.0111849,0.00862807,0.01073846,211007.91695659,1002492.42813222,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T03:05:06.000Z,2021-01-14T07:18:05.000Z,0.0107383,0.01104895,0.00870875,0.00948304,159281.87000094,885292.04312354,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T12:48:06.000Z,2021-01-15T00:18:06.000Z,0.00948286,0.01093634,0.00945815,0.01031221,134129.03823547,962700.15511613,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T14:19:06.000Z,2021-01-16T10:50:07.000Z,0.01031265,0.01048163,0.0100256,0.01023738,124973.56917245,955713.75664326,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T10:03:06.000Z,2021-01-17T00:03:06.000Z,0.01023747,0.01306629,0.01011228,0.01275282,106698.26389037,1190543.28317893,2021-01-17T23:59:59.999Z
