,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T00:49:06.000Z,2021-01-05T09:00:06.000Z,0.00542461,0.00557294,0.00343131,0.00543802,592.64265372,2338348.4199762,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:09:07.000Z,2021-01-06T14:14:08.000Z,0.00543877,0.00581781,0.00274133,0.0033179,10338.59313523,1426695.4847746,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:06.000Z,2021-01-07T00:17:07.000Z,0.00331445,0.00481654,0.00329826,0.00354487,1392.57088525,1524294.7848309,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:08.000Z,2021-01-08T22:23:06.000Z,0.00354648,0.00461155,0.0031973,0.00326569,4727.9607724,1404244.7163455,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T12:17:06.000Z,2021-01-09T07:05:07.000Z,0.00326381,0.00368532,0.00311847,0.00322045,4962.48491188,1384793.1805014,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:06.000Z,2021-01-10T20:32:06.000Z,0.00322036,0.00331362,0.00287877,0.00306993,4727.10300491,1320070.8724063,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:37:06.000Z,2021-01-11T00:29:06.000Z,0.00306852,0.00415919,0.00300347,0.00389258,722.82353418,1673809.156878,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T09:58:06.000Z,2021-01-12T04:56:06.000Z,0.00389634,0.00396308,0.00346511,0.0037269,1088.67648857,1602569.0937431,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T17:09:06.000Z,2021-01-13T01:02:05.000Z,0.00373153,0.00543577,0.00358431,0.00402108,850.59871373,1729064.4335185,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T11:05:07.000Z,2021-01-14T17:02:06.000Z,0.00402325,0.00447525,0.00371411,0.00405886,1397.35425744,1745310.1571236,2021-01-14T23:59:59.999Z
