,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T18:04:05.000Z,2021-01-05T06:14:08.000Z,0.82397097,0.89407942,0.76918921,0.85202031,4940672.02235918,68221942.28237624,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T18:39:05.000Z,2021-01-06T05:58:05.000Z,0.85346919,1.05728601,0.82533717,1.03239297,8556189.68400435,82664523.70504582,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T08:08:05.000Z,2021-01-07T00:08:05.000Z,1.03335595,1.34695006,1.02956935,1.09385899,16338698.27651224,87586157.28978042,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T14:26:06.000Z,2021-01-08T02:45:07.000Z,1.09294592,1.30504979,0.9797252,1.17820315,14192178.02407042,94339661.10089669,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T12:55:08.000Z,2021-01-09T01:28:07.000Z,1.16083341,1.44443431,1.13733645,1.34087266,12704794.94835688,107364737.17738813,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:17:06.000Z,2021-01-10T20:29:06.000Z,1.34101272,1.38423064,1.08240164,1.17148012,11243032.94063058,93801342.71510705,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:01:06.000Z,2021-01-11T16:47:06.000Z,1.16993551,1.17049073,0.83018712,0.9567622,10815507.25248248,76608708.23026066,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T08:01:06.000Z,2021-01-12T14:38:05.000Z,0.9570147,1.04323138,0.90596201,0.93409748,4044576.71593945,74793925.94395329,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T18:28:06.000Z,2021-01-13T01:01:06.000Z,0.93652081,1.04765755,0.88500978,1.01927065,5532637.51404446,81613809.81879716,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T14:37:06.000Z,2021-01-14T04:07:06.000Z,1.01952284,1.08143095,0.97058921,1.03749722,5482812.77839932,83073225.46067902,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:07:06.000Z,2021-01-15T16:08:06.000Z,1.03933721,1.14255156,0.97978354,1.07656423,5691779.71571849,86201351.93704093,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T16:01:06.000Z,2021-01-16T02:57:06.000Z,1.0799899,1.22458597,1.07241903,1.13818453,5235060.61021115,91135338.39917934,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:46:06.000Z,2021-01-17T10:03:06.000Z,1.13695253,1.24022633,1.05133593,1.20614103,5354778.38797155,96576669.13053045,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T21:31:06.000Z,2021-01-18T05:36:06.000Z,1.20619402,1.29699352,1.12357213,1.27009992,6658924.65279861,101697907.82502584,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T01:23:06.000Z,2021-01-19T19:49:06.000Z,1.27048304,1.29316665,1.13362055,1.13977841,4957801.14692248,91262961.54316066,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:55:08.000Z,2021-01-20T04:17:05.000Z,1.13191121,1.37127408,1.08990983,1.35829384,17225059.36479462,108759665.25040533,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T07:37:06.000Z,2021-01-21T22:39:06.000Z,1.35708736,1.40958454,1.11813158,1.12752428,13682242.05305201,90281763.4882876,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T16:03:06.000Z,2021-01-22T00:33:06.000Z,1.12272129,1.21971795,1.05659997,1.18777155,6431820.05935848,95105810.31653894,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T21:48:06.000Z,2021-01-23T00:12:06.000Z,1.18783234,1.37352791,1.17139683,1.3266879,8571426.04726067,106228952.55618432,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T12:04:06.000Z,2021-01-24T19:33:06.000Z,1.32676117,1.36940729,1.26314993,1.294506,4533076.12727593,103652122.21193276,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T12:01:06.000Z,2021-01-25T00:00:06.000Z,1.29378244,1.52208314,1.29378244,1.36412364,11694510.32203093,109226461.78116184,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T09:15:07.000Z,2021-01-26T14:47:06.000Z,1.36287139,1.46159394,1.29848562,1.34375701,8279265.22597128,107595689.50508992,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:01:06.000Z,2021-01-27T14:49:06.000Z,1.34425263,1.34524575,1.13130056,1.16183559,7593261.60809112,93029097.63863325,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T16:01:06.000Z,2021-01-28T00:23:06.000Z,1.16156024,1.29336267,1.133703,1.1864506,8315530.78,95000040.32,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T12:26:05.000Z,2021-01-29T07:36:05.000Z,1.18978313,1.27051916,1.16020207,1.19724892,8037172.22,95864670.37,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T13:16:06.000Z,2021-01-30T05:09:06.000Z,1.19718776,1.27841888,1.14604524,1.26312343,7358267.37,101139295.22,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T04:38:06.000Z,2021-01-31T19:00:09.000Z,1.2649054,1.34463371,1.18491457,1.20090356,7669510.66,96157300.28,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T12:22:06.000Z,2021-02-01T00:31:06.000Z,1.2017327,1.29377647,1.16046225,1.24956291,6510357.87,100053493.34,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T09:28:06.000Z,2021-02-02T03:09:06.000Z,1.25032823,1.36993455,1.21954398,1.30010169,11086850.19,104100173.45,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T14:10:07.000Z,2021-02-03T08:35:07.000Z,1.30066912,1.3926809,1.27423515,1.35948013,8144480.49,108854652.67,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T21:02:06.000Z,2021-02-04T02:31:06.000Z,1.35968709,1.50323455,1.30216181,1.46759258,18683480.47,117511301.8,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T12:50:07.000Z,2021-02-05T19:00:08.000Z,1.46508053,1.58109747,1.42449732,1.55727846,20508268.87,124692521.92,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T08:12:06.000Z,2021-02-06T05:24:06.000Z,1.55711934,1.65618163,1.46224609,1.48776609,21086703.12,119126611.34,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T12:22:06.000Z,2021-02-07T16:19:06.000Z,1.48877157,1.56675475,1.38973357,1.48060039,14566999.13,118552847.6,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T12:05:07.000Z,2021-02-08T03:02:06.000Z,1.48017646,1.62054928,1.44263437,1.53730481,13669713.03,123093215.51,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T19:46:06.000Z,2021-02-09T02:12:06.000Z,1.53647681,1.73843411,1.5005146,1.68934411,15333170.85,135267122.83,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T11:05:07.000Z,2021-02-10T09:23:06.000Z,1.68757049,1.89268578,1.54298712,1.80128348,990031836.24,144230196.89,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T18:36:06.000Z,2021-02-11T03:52:06.000Z,1.80291463,1.95117126,1.70234662,1.90724037,607494565.89,152714249.71,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T18:16:06.000Z,2021-02-12T04:56:06.000Z,1.9110946,2.14451957,1.75614656,2.02656966,25893875.42,162269040.11,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T23:58:06.000Z,2021-02-13T11:12:06.000Z,2.02685683,2.20123418,1.86519817,2.18231009,7774254.15,174739300.11,2021-02-13T23:59:59.999Z
40,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T11:49:06.000Z,2021-02-14T04:30:07.000Z,2.18978061,2.56198144,2.07701349,2.31286172,45930948.86,185192672.5,2021-02-14T23:59:59.999Z
41,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T01:05:06.000Z,2021-02-15T02:31:06.000Z,2.30849979,2.49449112,2.0106982,2.08687788,26072798.36,167097967.48,2021-02-15T23:59:59.999Z
42,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T03:21:06.000Z,2021-02-16T21:23:06.000Z,2.07914081,2.17088266,1.89592637,1.9719239,17941420.97,157893510.66,2021-02-16T23:59:59.999Z
43,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T19:03:06.000Z,2021-02-17T05:28:06.000Z,1.97186634,2.21619307,1.77493081,2.11021386,24711400.39,168966497.5,2021-02-17T23:59:59.999Z
44,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T18:38:06.000Z,2021-02-18T04:15:07.000Z,2.11306884,2.2557442,2.08839493,2.12207264,17406945.23,169916039.51,2021-02-18T23:59:59.999Z
45,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T13:12:06.000Z,2021-02-19T02:10:07.000Z,2.12387574,2.28990705,2.00244441,2.14173577,19482870.04,171490482.04,2021-02-19T23:59:59.999Z
46,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T13:49:06.000Z,2021-02-20T22:43:06.000Z,2.14110976,2.23396328,1.89287701,1.97689283,13636042.42,158291377.38,2021-02-20T23:59:59.999Z
