,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:04:06.000Z,2021-01-05T06:00:06.000Z,0.22078301,0.24409646,0.20854167,0.24001713,411.63251542,2648888.11018253,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T18:16:08.000Z,2021-01-06T01:46:06.000Z,0.24011184,0.26293611,0.23147314,0.26188128,0.0,2892513.59580903,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:21:06.000Z,2021-01-07T08:26:06.000Z,0.26186367,0.27479495,0.25028659,0.26099439,131.05722169,2885018.02628846,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:36:07.000Z,2021-01-08T02:51:06.000Z,0.26116073,0.26993905,0.23162279,0.23814008,683.13157545,2634521.61531847,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:19:06.000Z,2021-01-09T07:09:06.000Z,0.23814048,0.25628506,0.23081348,0.25360781,445.36004151,2807892.86359524,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T08:08:06.000Z,2021-01-10T20:34:06.000Z,0.25361966,0.26501263,0.23486119,0.24873707,20.40082714,2756186.43350509,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:05:06.000Z,2021-01-11T16:50:08.000Z,0.24873983,0.24914914,0.18191062,0.2138134,1.06536576,2371109.93940222,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:37:06.000Z,2021-01-12T14:41:05.000Z,0.21382978,0.22395223,0.19802742,0.20296006,52.84988999,2252563.14949881,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:15:08.000Z,2021-01-13T01:06:05.000Z,0.20294557,0.22077027,0.19411077,0.21814335,48.83199613,2423033.06183135,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T16:27:06.000Z,2021-01-14T04:14:06.000Z,0.21814643,0.23781011,0.20940308,0.23311639,122.33530831,2591392.44935121,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:44:05.000Z,2021-01-15T16:14:06.000Z,0.23312681,0.23989379,0.20751986,0.22079269,110.9932425,2456373.64022463,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T19:41:06.000Z,2021-01-16T05:41:06.000Z,0.22079303,0.34611713,0.21837036,0.25035177,5652.99567843,2787459.43881255,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T02:21:06.000Z,2021-01-17T08:06:06.000Z,0.25035451,0.25393782,0.22937929,0.23305662,507.1550015,2596952.72543961,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T23:54:06.000Z,2021-01-18T04:01:06.000Z,0.23306282,0.23634586,0.22435462,0.23321262,147.54878294,2600761.98363698,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T12:06:06.000Z,2021-01-19T00:45:06.000Z,0.23320682,0.25686136,0.23287329,0.24727516,291.99869991,2759794.59423952,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:55:06.000Z,2021-01-20T12:09:06.000Z,0.24727769,0.25086632,0.2184698,0.24098483,191.46053812,2691766.15386905,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T13:36:06.000Z,2021-01-21T10:31:06.000Z,0.24098384,0.26047281,0.21561137,0.22076399,1515.03114796,2467843.04788795,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T19:44:06.000Z,2021-01-22T01:20:06.000Z,0.22077473,0.25154193,0.2078345,0.24314324,24.2792606,2720164.65672675,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T09:13:06.000Z,2021-01-23T13:16:06.000Z,0.2431322,0.24915662,0.23622793,0.23964255,66.74590525,2683144.22829722,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T19:09:06.000Z,2021-01-24T00:08:06.000Z,0.23963863,0.27225386,0.23910961,0.26868656,2458.15043444,3010711.72858107,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T06:02:06.000Z,2021-01-25T22:33:06.000Z,0.26860663,0.28937927,0.25446994,0.25827769,5061.85198567,2896395.53435244,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T00:56:06.000Z,2021-01-26T14:47:06.000Z,0.25826088,0.2651909,0.24064134,0.25462937,4400.11334787,2857737.52687444,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:05:06.000Z,2021-01-27T14:55:07.000Z,0.25512693,0.25719792,0.22303903,0.23060058,4758.71415538,2590095.83873029,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T22:36:06.000Z,2021-01-28T00:26:06.000Z,0.23058643,0.26907756,0.22806835,0.26411587,8183.77,2968878.81,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T11:41:06.000Z,2021-01-29T19:50:08.000Z,0.26785761,0.27058067,0.25120812,0.25530635,39832.7,2872093.24,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T23:01:06.000Z,2021-01-30T03:53:06.000Z,0.25527123,0.26376988,0.2461467,0.26189829,42621.86,2948558.43,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T02:08:06.000Z,2021-01-31T18:03:06.000Z,0.2619743,0.26311801,0.24768093,0.25326167,36394.21,2853595.62,2021-01-31T23:59:59.999Z
