,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-03-21T00:00:00.000Z,2021-03-21T23:59:59.999Z,2021-03-21T09:11:07.000Z,2021-03-21T19:02:07.000Z,0.021119,0.02523749,0.01840896,0.02473172,24.93,624892.61,2021-03-21T23:59:59.999Z
1,2021-03-22T00:00:00.000Z,2021-03-22T23:59:59.999Z,2021-03-22T03:05:08.000Z,2021-03-22T16:41:08.000Z,0.02473507,0.02572015,0.01415132,0.02126924,28.1,537465.68,2021-03-22T23:59:59.999Z
2,2021-03-23T00:00:00.000Z,2021-03-23T23:59:59.999Z,2021-03-23T12:32:07.000Z,2021-03-23T06:26:07.000Z,0.02126637,0.02489731,0.0155065,0.01971475,21.32,498234.28,2021-03-23T23:59:59.999Z
3,2021-03-24T00:00:00.000Z,2021-03-24T23:59:59.999Z,2021-03-24T14:56:15.000Z,2021-03-24T23:59:07.000Z,0.01970602,0.02504793,0.01794208,0.01794208,23.64,453486.73,2021-03-24T23:59:59.999Z
4,2021-03-25T00:00:00.000Z,2021-03-25T23:59:59.999Z,2021-03-25T02:52:07.000Z,2021-03-25T17:38:07.000Z,0.01794325,0.02213113,0.01549692,0.01706388,22.4,431334.73,2021-03-25T23:59:59.999Z
5,2021-03-26T00:00:00.000Z,2021-03-26T23:59:59.999Z,2021-03-26T05:15:10.000Z,2021-03-26T07:14:07.000Z,0.01706237,0.02280769,0.01423354,0.02039399,18.54,515565.69,2021-03-26T23:59:59.999Z
6,2021-03-27T00:00:00.000Z,2021-03-27T23:59:59.999Z,2021-03-27T18:04:07.000Z,2021-03-27T01:30:08.000Z,0.02040081,0.02471854,0.0159275,0.02015313,26.5,509528.73,2021-03-27T23:59:59.999Z
7,2021-03-28T00:00:00.000Z,2021-03-28T23:59:59.999Z,2021-03-28T15:27:17.000Z,2021-03-28T02:35:08.000Z,0.02015046,0.02481171,0.01622276,0.01902378,25.77,481025.71,2021-03-28T23:59:59.999Z
8,2021-03-29T00:00:00.000Z,2021-03-29T23:59:59.999Z,2021-03-29T08:54:08.000Z,2021-03-29T05:45:09.000Z,0.01902325,0.02453379,0.01764459,0.01905701,20.57,481917.41,2021-03-29T23:59:59.999Z
9,2021-03-30T00:00:00.000Z,2021-03-30T23:59:59.999Z,2021-03-30T13:28:07.000Z,2021-03-30T03:41:08.000Z,0.01905757,0.02607367,0.01663192,0.02121045,31.12,536431.06,2021-03-30T23:59:59.999Z
10,2021-03-31T00:00:00.000Z,2021-03-31T23:59:59.999Z,2021-03-31T04:57:07.000Z,2021-03-31T23:14:19.000Z,0.02121037,0.02536164,0.01705982,0.017086,23.35,432168.09,2021-03-31T23:59:59.999Z
11,2021-04-01T00:00:00.000Z,2021-04-01T23:59:59.999Z,2021-04-01T15:05:10.000Z,2021-04-01T01:44:07.000Z,0.01708646,0.02551718,0.01541129,0.01950527,24.54,493412.19,2021-04-01T23:59:59.999Z
12,2021-04-02T00:00:00.000Z,2021-04-02T23:59:59.999Z,2021-04-02T11:21:07.000Z,2021-04-02T23:57:07.000Z,0.01950162,0.02579512,0.01009398,0.01009533,23.99,255401.67,2021-04-02T23:59:59.999Z
13,2021-04-03T00:00:00.000Z,2021-04-03T23:59:59.999Z,2021-04-03T14:05:09.000Z,2021-04-03T20:54:07.000Z,0.01009756,0.01796002,0.00819913,0.01382981,17.52,349916.67,2021-04-03T23:59:59.999Z
14,2021-04-04T00:00:00.000Z,2021-04-04T23:59:59.999Z,2021-04-04T04:05:08.000Z,2021-04-04T01:07:07.000Z,0.01382493,0.01751844,0.00800361,0.01292536,19.74,327065.29,2021-04-04T23:59:59.999Z
15,2021-04-05T00:00:00.000Z,2021-04-05T23:59:59.999Z,2021-04-05T16:05:10.000Z,2021-04-05T23:16:10.000Z,0.01292688,0.01736848,0.00821055,0.00825087,17.4,208802.7,2021-04-05T23:59:59.999Z
16,2021-04-06T00:00:00.000Z,2021-04-06T23:59:59.999Z,2021-04-06T08:27:07.000Z,2021-04-06T22:12:08.000Z,0.0082681,0.01711318,0.00752778,0.00931695,16.67,235805.98,2021-04-06T23:59:59.999Z
17,2021-04-07T00:00:00.000Z,2021-04-07T23:59:59.999Z,2021-04-07T08:57:08.000Z,2021-04-07T04:27:08.000Z,0.00931078,0.01738892,0.00689577,0.01067387,14.87,270179.66,2021-04-07T23:59:59.999Z
18,2021-04-08T00:00:00.000Z,2021-04-08T23:59:59.999Z,2021-04-08T16:07:08.000Z,2021-04-08T20:42:08.000Z,0.0106493,0.01625092,0.00751381,0.01049634,14.74,265713.07,2021-04-08T23:59:59.999Z
19,2021-04-09T00:00:00.000Z,2021-04-09T23:59:59.999Z,2021-04-09T11:33:07.000Z,2021-04-09T16:18:08.000Z,0.01049831,0.01768111,0.00812815,0.00815369,13.81,206431.82,2021-04-09T23:59:59.999Z
20,2021-04-10T00:00:00.000Z,2021-04-10T23:59:59.999Z,2021-04-10T08:22:07.000Z,2021-04-10T07:05:09.000Z,0.0081543,0.01827472,0.00786557,0.01136023,13.64,287645.08,2021-04-10T23:59:59.999Z
21,2021-04-11T00:00:00.000Z,2021-04-11T23:59:59.999Z,2021-04-11T15:53:08.000Z,2021-04-11T11:18:07.000Z,0.01136071,0.01796522,0.00714699,0.01324589,14.12,335426.57,2021-04-11T23:59:59.999Z
22,2021-04-12T00:00:00.000Z,2021-04-12T23:59:59.999Z,2021-04-12T20:27:07.000Z,2021-04-12T15:12:08.000Z,0.01324509,0.01749013,0.00718389,0.01258587,17.36,318746.44,2021-04-12T23:59:59.999Z
23,2021-04-13T00:00:00.000Z,2021-04-13T23:59:59.999Z,2021-04-13T08:33:07.000Z,2021-04-13T09:34:07.000Z,0.01257762,0.01885186,0.00873419,0.01208416,16.05,306072.01,2021-04-13T23:59:59.999Z
24,2021-04-14T00:00:00.000Z,2021-04-14T23:59:59.999Z,2021-04-14T18:30:11.000Z,2021-04-14T09:34:07.000Z,0.01206566,0.01756459,0.00886005,0.01324555,13.97,335522.43,2021-04-14T23:59:59.999Z
25,2021-04-15T00:00:00.000Z,2021-04-15T23:59:59.999Z,2021-04-15T03:33:08.000Z,2021-04-15T14:14:07.000Z,0.01325304,0.01836436,0.01068942,0.01645425,13.47,416845.06,2021-04-15T23:59:59.999Z
26,2021-04-16T00:00:00.000Z,2021-04-16T23:59:59.999Z,2021-04-16T04:24:08.000Z,2021-04-16T23:52:08.000Z,0.01646164,0.01886931,0.00861747,0.00863071,39.05,218669.11,2021-04-16T23:59:59.999Z
27,2021-04-17T00:00:00.000Z,2021-04-17T23:59:59.999Z,2021-04-17T14:11:08.000Z,2021-04-17T00:36:07.000Z,0.00862019,0.01779111,0.00858778,0.0151807,17.03,384660.03,2021-04-17T23:59:59.999Z
28,2021-04-18T00:00:00.000Z,2021-04-18T23:59:59.999Z,2021-04-18T00:45:08.000Z,2021-04-18T19:19:07.000Z,0.01517096,0.01756259,0.00777384,0.01686486,14.2,427378.16,2021-04-18T23:59:59.999Z
29,2021-04-19T00:00:00.000Z,2021-04-19T23:59:59.999Z,2021-04-19T00:39:07.000Z,2021-04-19T03:30:07.000Z,0.01685748,0.01696266,0.00795933,0.01560279,15.48,395438.0,2021-04-19T23:59:59.999Z
30,2021-04-20T00:00:00.000Z,2021-04-20T23:59:59.999Z,2021-04-20T22:39:07.000Z,2021-04-20T07:38:07.000Z,0.0155909,0.01585275,0.00587929,0.01072988,15.43,271966.22,2021-04-20T23:59:59.999Z
