,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T10:49:06.000Z,2021-01-08T02:46:06.000Z,2.90261671,2.97662191,2.64348399,2.87010408,555805831.7029359,279949962.5231074,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T21:28:06.000Z,2021-01-09T01:36:06.000Z,2.86998207,3.32966512,2.78298859,3.24879315,653153349.165187,316896170.99865335,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T05:34:06.000Z,2021-01-10T20:33:06.000Z,3.24883966,3.72961684,2.96750155,3.43339286,1019281708.1762915,334911802.3674084,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:25:06.000Z,2021-01-11T16:48:06.000Z,3.43036901,3.4649387,2.56263864,2.89338076,809688397.5543023,282243887.6609987,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:01:07.000Z,2021-01-12T14:37:06.000Z,2.89573445,2.96651895,2.67614592,2.73091605,536473383.8463161,266403077.32131717,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T17:55:09.000Z,2021-01-13T01:02:06.000Z,2.73050695,3.00766627,2.67363286,2.9376526,548099062.3194301,286578338.5279557,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T16:53:06.000Z,2021-01-14T04:11:06.000Z,2.93775866,3.10314001,2.83186072,3.00717422,542575933.7449032,293368512.30245596,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:13:06.000Z,2021-01-15T16:11:16.000Z,3.00794168,3.20987969,2.76027958,2.95546489,672180612.7377468,288331961.8603797,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T11:52:06.000Z,2021-01-16T05:40:07.000Z,2.95511784,3.24272691,2.91481516,3.06706626,659826002.6338165,299227976.94131666,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T20:46:06.000Z,2021-01-17T08:05:07.000Z,3.0668781,3.26763657,2.86945869,3.17193302,624731026.7039082,309467449.18077403,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T11:55:09.000Z,2021-01-18T03:55:07.000Z,3.17280407,3.35978155,3.05289884,3.29504764,691291295.0709938,321488030.5431013,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:58:07.000Z,2021-01-19T19:48:07.000Z,3.29502713,3.41254167,3.14507946,3.16631429,587619606.1621604,308936347.3484141,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T06:01:07.000Z,2021-01-20T12:07:07.000Z,3.16590597,3.27861628,2.97738312,3.23827327,632660341.846547,315964746.7311902,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:04:07.000Z,2021-01-21T22:41:06.000Z,3.23869377,3.24909895,2.70206392,2.72759189,500589845.296718,266145126.92954737,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T19:55:08.000Z,2021-01-22T01:19:06.000Z,2.7273616,3.05157016,2.58402237,2.91875668,497945773.8895112,284805900.80566674,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T21:47:06.000Z,2021-01-23T11:34:06.000Z,2.91838775,3.97943335,2.89138425,3.91077883,1124878621.5404563,381615799.6046029,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T00:10:06.000Z,2021-01-24T19:35:08.000Z,3.92421998,4.16367994,3.44236352,3.54801271,1063689885.7674904,346226531.89330363,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:12:06.000Z,2021-01-25T21:40:08.000Z,3.54800998,3.64804012,3.272569,3.29225019,593345338.8808444,321277314.95606965,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T19:36:07.000Z,2021-01-26T14:49:06.000Z,3.29179536,3.48714859,3.20896642,3.4315918,604756800.177018,334884307.19543356,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T05:16:06.000Z,2021-01-27T14:50:08.000Z,3.43170746,3.45427404,3.0190607,3.12582993,628510182.9992133,305053905.70279276,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T18:07:06.000Z,2021-01-28T00:25:07.000Z,3.12516267,3.37524844,3.04258319,3.2837088,499200669.66,320470341.18,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T04:10:07.000Z,2021-01-29T19:49:06.000Z,3.30900649,3.58666628,3.24661492,3.31486824,652709882.89,323520213.48,2021-01-29T23:59:59.999Z
