,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-04-05T00:00:00.000Z,2021-04-05T23:59:59.999Z,2021-04-05T03:31:02.000Z,2021-04-05T19:28:02.000Z,0.06431986,0.0643254,0.04111189,0.05681099,0.0,0.0,2021-04-05T23:59:59.999Z
1,2021-04-06T00:00:00.000Z,2021-04-06T23:59:59.999Z,2021-04-06T06:06:03.000Z,2021-04-06T19:57:02.000Z,0.05681441,0.05951975,0.02504169,0.03034759,0.0,0.0,2021-04-06T23:59:59.999Z
2,2021-04-07T00:00:00.000Z,2021-04-07T23:59:59.999Z,2021-04-07T13:11:03.000Z,2021-04-07T00:36:02.000Z,0.0303509,0.05402013,0.03033918,0.05199536,0.0,0.0,2021-04-07T23:59:59.999Z
3,2021-04-08T00:00:00.000Z,2021-04-08T23:59:59.999Z,2021-04-08T09:55:03.000Z,2021-04-08T11:49:03.000Z,0.05199626,0.05293507,0.03884287,0.04910897,0.0,0.0,2021-04-08T23:59:59.999Z
4,2021-04-09T00:00:00.000Z,2021-04-09T23:59:59.999Z,2021-04-09T12:57:02.000Z,2021-04-09T02:53:02.000Z,0.04910821,0.05807263,0.04902504,0.05445998,0.0,0.0,2021-04-09T23:59:59.999Z
5,2021-04-10T00:00:00.000Z,2021-04-10T23:59:59.999Z,2021-04-10T15:46:05.000Z,2021-04-10T04:12:02.000Z,0.05445972,0.06884878,0.05192505,0.06402935,0.0,0.0,2021-04-10T23:59:59.999Z
6,2021-04-11T00:00:00.000Z,2021-04-11T23:59:59.999Z,2021-04-11T06:09:02.000Z,2021-04-11T08:11:02.000Z,0.06403,0.45094216,0.02497351,0.13961996,0.0,0.0,2021-04-11T23:59:59.999Z
7,2021-04-12T00:00:00.000Z,2021-04-12T23:59:59.999Z,2021-04-12T07:24:02.000Z,2021-04-12T23:57:02.000Z,0.1396032,0.14088849,0.08998825,0.08999087,0.0,0.0,2021-04-12T23:59:59.999Z
8,2021-04-13T00:00:00.000Z,2021-04-13T23:59:59.999Z,2021-04-13T10:54:03.000Z,2021-04-13T00:11:03.000Z,0.0899943,0.14186098,0.0899772,0.09203941,0.0,0.0,2021-04-13T23:59:59.999Z
9,2021-04-14T00:00:00.000Z,2021-04-14T23:59:59.999Z,2021-04-14T12:24:02.000Z,2021-04-14T00:00:03.000Z,0.09203347,0.12918997,0.09203347,0.10986838,0.0,0.0,2021-04-14T23:59:59.999Z
10,2021-04-15T00:00:00.000Z,2021-04-15T23:59:59.999Z,2021-04-15T16:01:06.000Z,2021-04-15T01:35:03.000Z,0.10987441,0.13988227,0.09577399,0.11062998,0.0,0.0,2021-04-15T23:59:59.999Z
11,2021-04-16T00:00:00.000Z,2021-04-16T23:59:59.999Z,2021-04-16T14:16:03.000Z,2021-04-16T00:47:03.000Z,0.11059692,0.14539635,0.11057806,0.13913014,0.0,0.0,2021-04-16T23:59:59.999Z
12,2021-04-17T00:00:00.000Z,2021-04-17T23:59:59.999Z,2021-04-17T06:10:03.000Z,2021-04-17T00:00:03.000Z,0.13912554,0.24513174,0.13912554,0.21563214,0.0,0.0,2021-04-17T23:59:59.999Z
13,2021-04-18T00:00:00.000Z,2021-04-18T23:59:59.999Z,2021-04-18T01:32:03.000Z,2021-04-18T03:53:03.000Z,0.21565812,0.24320838,0.15255535,0.21002779,0.0,0.0,2021-04-18T23:59:59.999Z
14,2021-04-19T00:00:00.000Z,2021-04-19T23:59:59.999Z,2021-04-19T10:11:09.000Z,2021-04-19T23:26:03.000Z,0.20998074,0.2168326,0.15997889,0.19838083,0.0,0.0,2021-04-19T23:59:59.999Z
15,2021-04-20T00:00:00.000Z,2021-04-20T23:59:59.999Z,2021-04-20T00:00:03.000Z,2021-04-20T03:23:03.000Z,0.19843596,0.19843596,0.12997518,0.15880263,0.0,0.0,2021-04-20T23:59:59.999Z
