,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:04:06.000Z,2021-01-08T20:12:07.000Z,0.00165152,0.00184628,0.00152748,0.0017594,8.93812331,175921.92715336,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T13:18:07.000Z,2021-01-09T15:17:07.000Z,0.00175898,0.00179082,0.00157287,0.00175807,10.80328131,175788.97225509,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T00:29:07.000Z,2021-01-10T20:30:15.000Z,0.00175731,0.00180622,0.00133963,0.00169878,10.07647133,169861.41244834,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:02:07.000Z,2021-01-11T16:48:06.000Z,0.00169751,0.00169868,0.00140648,0.00153339,0.0,153323.79611387,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T02:53:06.000Z,2021-01-12T14:39:06.000Z,0.00153447,0.00153825,0.00092964,0.00095191,25.21666791,95181.05487014,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:38:06.000Z,2021-01-13T01:01:06.000Z,0.00095279,0.00101004,0.00092859,0.00100347,0.0,100336.50849711,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T14:52:06.000Z,2021-01-14T02:17:06.000Z,0.0010034,0.00165103,0.00099141,0.00135842,28.90470373,135828.61095083,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T23:51:06.000Z,2021-01-15T16:12:06.000Z,0.00135829,0.00161982,0.0012706,0.0016122,210.48237637,161203.43936239,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T04:02:06.000Z,2021-01-16T05:56:06.000Z,0.00161221,0.00164146,0.00127075,0.00134424,3.76277323,134410.37150471,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:23:06.000Z,2021-01-17T10:03:06.000Z,0.00134264,0.00145096,0.00127794,0.00142111,0.0,142096.84511308,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T00:55:06.000Z,2021-01-18T14:40:08.000Z,0.00142079,0.0014556,0.00137327,0.00141048,0.0,141033.63303524,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T23:53:06.000Z,2021-01-19T19:48:06.000Z,0.00141048,0.00162485,0.00130446,0.00160168,0.16087159,160152.16192515,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:00:06.000Z,2021-01-20T16:08:06.000Z,0.00160446,0.00160446,0.00125776,0.00132546,3.99109924,132532.77996518,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T19:35:08.000Z,2021-01-21T12:17:06.000Z,0.00132593,0.00168261,0.00122058,0.00158761,76.31721068,158745.02885845,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T06:29:06.000Z,2021-01-22T10:45:07.000Z,0.00158912,0.0016559,0.0014763,0.00151086,5.15819434,151070.49824284,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T22:13:06.000Z,2021-01-23T13:08:06.000Z,0.00151173,0.00168898,0.0014647,0.0016862,0.50554064,168603.04191224,2021-01-23T23:59:59.999Z
