,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T16:03:06.000Z,2021-01-05T06:18:06.000Z,0.00095889,0.00128718,0.00090664,0.00102099,61.72835047,417130.21743205,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:06.000Z,2021-01-06T00:27:06.000Z,0.00101963,0.00110639,0.00100542,0.00110639,0.0,452020.22125748,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:07.000Z,2021-01-07T08:27:06.000Z,0.00110588,0.001204,0.00109474,0.0011806,0.0,482336.94863205,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:11:07.000Z,2021-01-08T02:47:07.000Z,0.00118113,0.00125825,0.00110516,0.00122463,0.0,500328.05595411,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T11:32:07.000Z,2021-01-09T07:05:08.000Z,0.00122463,0.00164925,0.00116943,0.00120767,156.07091304,493397.53380211,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T13:26:07.000Z,2021-01-10T20:32:07.000Z,0.00120764,0.00160448,0.00107954,0.00115122,0.26255804,470337.17529775,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:08.000Z,2021-01-11T16:48:08.000Z,0.00115069,0.00115069,0.00091649,0.00106597,0.0,435505.89613237,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:07.000Z,2021-01-12T14:40:09.000Z,0.001067,0.00109706,0.00098094,0.00101684,0.0,415435.82865048,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T11:40:09.000Z,2021-01-13T01:03:07.000Z,0.00101643,0.00140712,0.00097754,0.00111962,1002.31958619,457426.73042493,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:39:07.000Z,2021-01-14T04:16:07.000Z,0.00111889,0.00119899,0.00110606,0.00117578,0.11757111,480368.11008591,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:40:07.000Z,2021-01-15T16:13:08.000Z,0.00117566,0.00118733,0.00103979,0.00110198,0.11016814,450219.28782831,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T01:24:08.000Z,2021-01-16T22:10:11.000Z,0.00110473,0.00112788,0.00071267,0.00072435,158.55552091,295935.48580037,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:08.000Z,2021-01-17T10:06:08.000Z,0.00072413,0.00073445,0.00068139,0.00071643,0.0,292702.11948508,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:08.000Z,2021-01-18T05:33:06.000Z,0.00071548,0.00074599,0.00069768,0.00073449,0.0,300080.38798241,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:09.000Z,2021-01-19T23:59:06.000Z,0.00073285,0.00075512,0.00072356,0.00072356,0.0,295614.86728376,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:33:06.000Z,2021-01-20T10:12:06.000Z,0.00072145,0.00142664,0.00068912,0.00142488,0.02102533,582140.51048545,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:06.000Z,2021-01-21T22:43:07.000Z,0.00142214,0.00142214,0.00121003,0.00123511,0.0,504607.83573596,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:08.000Z,2021-01-22T01:21:09.000Z,0.00123274,0.00135247,0.00115813,0.0013176,0.0,538309.91241299,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T00:01:08.000Z,2021-01-23T13:09:07.000Z,0.00132019,0.00132023,0.00094479,0.00096159,59.71883937,392860.34315138,2021-01-23T23:59:59.999Z
