,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T10:52:07.000Z,2021-01-08T02:53:08.000Z,0.05822426,0.06138281,0.05457346,0.05852547,42601368.95791509,8584652.18858174,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:31:09.000Z,2021-01-09T00:31:07.000Z,0.05816789,0.06271145,0.05748,0.06112867,36167382.33453186,8966699.42583516,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:48:07.000Z,2021-01-10T17:42:07.000Z,0.06103928,0.06495412,0.06017604,0.06234046,36174264.65215065,9144683.17239123,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:08.000Z,2021-01-11T16:05:09.000Z,0.06254369,0.06254369,0.04776334,0.05251417,53984264.81531099,7703426.35688901,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:38:07.000Z,2021-01-12T14:37:06.000Z,0.05277265,0.05814603,0.05032187,0.05338643,42611026.95354432,7831558.23507636,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T07:47:06.000Z,2021-01-13T01:11:06.000Z,0.05342484,0.05779086,0.05130448,0.05664827,32539881.66985686,8310247.24622638,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:31:07.000Z,2021-01-14T21:44:06.000Z,0.05693128,0.05835124,0.05008135,0.05147841,27049048.86220274,7552005.4716608,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T12:00:08.000Z,2021-01-15T20:44:06.000Z,0.05135953,0.05383814,0.05061004,0.05192379,25851696.33081383,7617517.72299501,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T09:04:06.000Z,2021-01-16T00:05:07.000Z,0.05172654,0.05647725,0.05155251,0.05449236,31806258.54684137,7994532.93863084,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T18:41:06.000Z,2021-01-17T09:59:06.000Z,0.05440219,0.05517413,0.05127866,0.05351258,30854073.30001107,7850957.44632279,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T00:30:07.000Z,2021-01-18T23:23:07.000Z,0.05350407,0.05361908,0.04953951,0.05150579,30906027.0411843,7556707.12386227,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:46:07.000Z,2021-01-19T01:01:06.000Z,0.05149592,0.05843337,0.05019145,0.05395268,26630075.12818561,7915895.32590008,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:21:06.000Z,2021-01-20T05:11:06.000Z,0.05315544,0.05419736,0.05163958,0.05361679,16499605.29289974,7866781.43549031,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T03:18:06.000Z,2021-01-21T22:38:07.000Z,0.05360669,0.05413191,0.04824213,0.04879361,13175334.85372601,7159277.60659998,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T19:22:06.000Z,2021-01-22T08:27:06.000Z,0.04875837,0.05073615,0.04659735,0.05006792,14759327.12931669,7331410.24958262,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T05:02:06.000Z,2021-01-23T00:13:06.000Z,0.0501631,0.05239901,0.04874727,0.04955015,21293321.84715645,7255745.82816647,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T06:04:06.000Z,2021-01-24T16:33:06.000Z,0.049511,0.05191647,0.04843614,0.04977028,12008940.28915714,7288145.59727961,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:13:06.000Z,2021-01-25T22:16:07.000Z,0.0496816,0.0511126,0.04711885,0.04810758,13138791.57427802,7044826.20866245,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T02:01:06.000Z,2021-01-26T15:32:07.000Z,0.04820418,0.04863533,0.04489084,0.04764891,15841000.96540246,6977818.73691986,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T02:37:06.000Z,2021-01-27T14:53:06.000Z,0.04755594,0.04791911,0.04213065,0.04553925,23184883.92555745,6669030.30279994,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T22:24:06.000Z,2021-01-28T00:37:06.000Z,0.0455663,0.04990565,0.04341069,0.04869868,16729282.82,7131875.64,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T13:57:06.000Z,2021-01-29T21:16:06.000Z,0.0491775,0.05387071,0.04659556,0.04901198,16852533.23,7177758.04,2021-01-29T23:59:59.999Z
