,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:14:03.000Z,2021-01-08T02:47:03.000Z,3.39e-06,3.43e-06,1.52e-06,1.73e-06,0.05381711,65297.85825525,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:11:04.000Z,2021-01-09T06:26:03.000Z,1.73e-06,1.79e-06,1.64e-06,1.77e-06,0.0,66860.1770627,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T07:59:03.000Z,2021-01-10T20:32:03.000Z,1.77e-06,1.86e-06,1.64e-06,1.71e-06,0.0,64526.43744379,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:03.000Z,2021-01-11T16:41:03.000Z,1.71e-06,1.71e-06,1.15e-06,1.39e-06,0.0,52452.68043265,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:50:04.000Z,2021-01-12T14:38:03.000Z,1.39e-06,1.47e-06,1.29e-06,1.33e-06,0.0,50015.08276435,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:29:03.000Z,2021-01-13T00:59:03.000Z,1.33e-06,1.48e-06,1.27e-06,1.47e-06,0.0,55615.57445032,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T16:20:04.000Z,2021-01-14T04:16:03.000Z,1.47e-06,1.57e-06,1.44e-06,1.52e-06,0.0,57414.32882914,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:41:03.000Z,2021-01-15T16:12:03.000Z,1.52e-06,1.55e-06,1.32e-06,1.44e-06,0.0,54482.26636844,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T16:11:12.000Z,2021-01-16T05:42:03.000Z,1.44e-06,1.52e-06,1.4e-06,1.44e-06,0.00065534,54531.13096193,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T02:02:03.000Z,2021-01-17T10:05:04.000Z,1.44e-06,1.47e-06,1.37e-06,1.42e-06,0.0,53827.27150357,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T13:03:03.000Z,2021-01-18T03:49:03.000Z,1.42e-06,1.55e-06,1.39e-06,1.52e-06,0.00138561,57562.9287749,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T08:32:03.000Z,2021-01-19T00:41:03.000Z,1.52e-06,1.66e-06,1.5e-06,1.53e-06,0.0,58063.09926964,2021-01-19T23:59:59.999Z
