,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:45:12.000Z,2021-01-05T14:24:06.000Z,0.01025373,0.01091099,0.00934467,0.01075968,145.73233514,1799781.33205864,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T00:05:07.000Z,2021-01-06T03:21:06.000Z,0.01076037,0.01080089,0.00340882,0.00874114,1497.79130011,1462137.90403372,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T17:33:07.000Z,2021-01-07T08:27:06.000Z,0.00873117,0.01066789,0.00815654,0.00874144,429.85017144,1462188.11429305,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:10.000Z,2021-01-08T13:11:15.000Z,0.00874557,0.00916365,0.0077068,0.00816238,53722.02722221,1365328.13370455,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T02:22:07.000Z,2021-01-09T16:07:06.000Z,0.00815765,0.00856806,0.00701,0.00782619,44828.40180421,1309092.96393294,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T22:09:07.000Z,2021-01-10T20:18:07.000Z,0.00782573,0.01091662,0.0073358,0.00938628,75280.43357625,1570050.05689298,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:23:06.000Z,2021-01-11T17:11:06.000Z,0.00938198,0.00956448,0.00659356,0.00832497,89998.44261346,1392524.674419,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:49:07.000Z,2021-01-12T14:39:06.000Z,0.00833314,0.00838515,0.0070098,0.00756296,110142.75909747,1265063.07915428,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:35:11.000Z,2021-01-13T01:47:07.000Z,0.00757234,0.00838561,0.00703485,0.00800579,80657.51909043,1339135.14450577,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T20:52:07.000Z,2021-01-14T04:12:07.000Z,0.00801009,0.00875122,0.0078923,0.00844011,128152.27111255,1411784.04018484,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:46:07.000Z,2021-01-15T20:14:07.000Z,0.00843988,0.00871234,0.00730014,0.00767138,88343.5509558,1283197.7150102,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:07.000Z,2021-01-16T19:33:07.000Z,0.00768803,0.00801836,0.00547833,0.00648789,2019.79600582,1085233.91193798,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:07.000Z,2021-01-17T10:06:07.000Z,0.00648542,0.00712298,0.00611346,0.00648914,5.23616721,1085443.67751423,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:22:07.000Z,2021-01-18T23:25:11.000Z,0.00649232,0.00670851,0.0053033,0.00536982,98.1697823,898214.61101851,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T23:23:07.000Z,2021-01-19T00:53:07.000Z,0.00536874,0.00965028,0.00535351,0.0089572,68081.20247923,1498278.83410383,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:57:08.000Z,2021-01-20T11:27:07.000Z,0.00895654,0.01207704,0.00834615,0.01204914,227370.00336454,2015470.33704034,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T20:54:07.000Z,2021-01-21T09:15:07.000Z,0.01204694,0.01377596,0.01041201,0.01196754,77087.80560603,2001820.8752073,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T02:39:06.000Z,2021-01-22T14:42:06.000Z,0.01194539,0.01316472,0.00987002,0.01006123,98661.68203255,1682950.75238939,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:41:06.000Z,2021-01-23T23:51:06.000Z,0.01007958,0.01096213,0.00817151,0.00823429,32449.18921501,1377355.89065279,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T07:48:06.000Z,2021-01-24T00:23:06.000Z,0.00823604,0.01364585,0.00747898,0.00886138,42217.66721381,1482249.8787829,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T02:37:06.000Z,2021-01-25T15:52:07.000Z,0.0088585,0.01016825,0.0074823,0.00781466,70762.17592897,1307164.04681431,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T13:18:07.000Z,2021-01-26T14:52:07.000Z,0.00781809,0.00844548,0.00740119,0.00804008,101265.97157538,1344871.59071796,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T02:31:07.000Z,2021-01-27T18:09:07.000Z,0.00803861,0.00818167,0.00645323,0.00701678,73600.48683584,1173702.92101114,2021-01-27T23:59:59.999Z
