,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T13:49:06.000Z,2021-01-08T02:46:07.000Z,0.34672794,0.41456744,0.31480491,0.38173065,50130519.35988044,83182030.5674119,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:28:07.000Z,2021-01-09T01:38:07.000Z,0.38125265,0.43577033,0.35800913,0.39905743,60743824.92746846,86957669.46327494,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T04:29:07.000Z,2021-01-10T20:33:07.000Z,0.39923059,0.47975275,0.36799036,0.40578574,75472447.58598244,88423818.47844058,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:08.000Z,2021-01-11T16:39:07.000Z,0.40515108,0.40515108,0.29151573,0.32973271,47338001.30989144,71851281.53416824,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:47:06.000Z,2021-01-12T14:38:06.000Z,0.32970024,0.34703873,0.30887629,0.32422403,34655702.89596291,71037660.00448187,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:54:06.000Z,2021-01-13T01:00:07.000Z,0.32321812,0.3553366,0.3149834,0.35422704,29994216.43365353,77611335.23286133,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T20:11:06.000Z,2021-01-14T01:38:06.000Z,0.35440964,0.38230517,0.34301068,0.37425124,31322895.45026176,81998646.80963378,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:40:07.000Z,2021-01-15T16:10:09.000Z,0.37478469,0.38147912,0.33043622,0.3595396,31983504.81994594,78870809.75963253,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T13:08:06.000Z,2021-01-16T02:46:07.000Z,0.35936513,0.41176068,0.35369993,0.38704315,43288746.64152882,84904158.24552988,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T02:44:06.000Z,2021-01-17T10:04:06.000Z,0.38637596,0.42208576,0.36394286,0.40703567,56016747.90182654,89289839.71672882,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T00:01:06.000Z,2021-01-18T03:31:07.000Z,0.41094839,0.43951526,0.38747394,0.4229372,47495833.60597028,92778097.04761045,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:05:09.000Z,2021-01-19T19:47:07.000Z,0.42355767,0.44224204,0.40305627,0.41212935,34926478.5285506,90407219.1841883,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T02:49:06.000Z,2021-01-20T12:05:09.000Z,0.41152826,0.42787935,0.37274264,0.40823278,37227847.48879465,89552444.48108351,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:02:06.000Z,2021-01-21T12:17:06.000Z,0.40864548,0.40880555,0.35178606,0.35336776,37152263.24810836,77516917.37634245,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T16:04:07.000Z,2021-01-22T01:20:07.000Z,0.35261612,0.39812827,0.32434201,0.38142609,37130923.94096044,83761811.06948213,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T09:13:07.000Z,2021-01-23T13:10:08.000Z,0.38117559,0.40255291,0.36768927,0.38560529,31073134.42688986,84679569.86782499,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T11:51:07.000Z,2021-01-24T00:07:06.000Z,0.38587488,0.41658431,0.38173286,0.41261372,33160537.22799049,90610666.62418447,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:12:07.000Z,2021-01-25T22:33:07.000Z,0.41267925,0.41516512,0.38171557,0.38800637,25055086.43729292,85206851.78109834,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:02:07.000Z,2021-01-26T09:53:07.000Z,0.38774494,0.42687644,0.37438153,0.42494465,41667610.13674095,93318558.66295329,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:02:07.000Z,2021-01-27T14:50:09.000Z,0.42479363,0.42656425,0.35786828,0.37208565,31268018.27476659,81710634.3618376,2021-01-27T23:59:59.999Z
