,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:35:10.000Z,2021-01-05T12:33:11.000Z,2.44192321,2.60934064,1.96982248,2.36619947,16986130.38400168,37371354.80347586,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T16:12:06.000Z,2021-01-06T05:26:06.000Z,2.42955339,2.65797069,2.29207116,2.35790848,22241297.45555108,37240408.19799638,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T23:41:06.000Z,2021-01-07T01:23:06.000Z,2.35590402,2.8351996,2.3345408,2.75914952,35129113.42261559,43577541.5600155,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:41:06.000Z,2021-01-08T01:15:07.000Z,2.74464203,2.93233442,2.48723987,2.71796742,32321139.80949556,42927118.31485061,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T21:30:11.000Z,2021-01-09T07:45:07.000Z,2.7137412,2.81056458,2.49778628,2.68430574,27028781.50972129,42395471.4820813,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:36:06.000Z,2021-01-10T13:23:06.000Z,2.69526461,2.88717952,2.47315542,2.59769137,28187347.79976953,41027498.79805492,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T21:25:09.000Z,2021-01-11T06:30:07.000Z,2.59727767,2.84230335,2.42867157,2.63534068,41935709.26301413,41622125.62640761,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T05:52:06.000Z,2021-01-12T01:51:07.000Z,2.62648937,2.83401033,2.53110603,2.67126362,39355090.27526859,42189486.41912638,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T19:36:06.000Z,2021-01-13T01:05:06.000Z,2.64375472,2.83988069,2.6107594,2.82789511,28756601.27555471,44663297.70401713,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:16:06.000Z,2021-01-14T07:03:06.000Z,2.82826144,2.83342537,2.67938611,2.82812709,15214062.6114342,44666961.58246158,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:08:06.000Z,2021-01-15T17:52:06.000Z,2.82809729,2.83233755,2.71851936,2.76094246,457444.792215,43605858.87296823,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T20:43:06.000Z,2021-01-16T09:30:08.000Z,2.76903016,2.82776026,2.6681489,2.81309623,367986.9642106,44429566.6730315,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T09:09:07.000Z,2021-01-17T20:42:07.000Z,2.81224219,2.83957553,2.75918145,2.75938444,229210.37055184,43581251.80723541,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T10:04:06.000Z,2021-01-18T03:20:07.000Z,2.7665172,2.85212976,2.72910253,2.82157849,267100.62704494,44563534.10561288,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T00:05:06.000Z,2021-01-19T11:30:08.000Z,2.82011058,2.82501818,2.66555023,2.73655573,311949.28203913,43220699.00022222,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T19:36:06.000Z,2021-01-20T19:17:06.000Z,2.71064361,2.78348561,2.44113531,2.69834876,1073516.16629429,42617264.53237733,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T16:23:06.000Z,2021-01-21T22:44:07.000Z,2.69811198,2.81172769,2.56134246,2.62780194,160176.10295995,41503059.97011971,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T18:38:07.000Z,2021-01-22T00:24:07.000Z,2.63029644,3.31097726,2.56230272,3.01610584,362722.74742338,47635866.13394179,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T18:50:09.000Z,2021-01-23T12:17:07.000Z,3.0160361,3.2615888,2.61670448,3.07655314,540073.94004874,48590560.62685927,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T18:19:06.000Z,2021-01-24T04:37:06.000Z,3.0767732,3.75518922,2.98208311,3.30296798,767910.13986629,52166518.3892549,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T18:22:07.000Z,2021-01-25T21:36:07.000Z,3.30248025,3.674457,2.46866816,2.83645421,1098086.67546793,44798478.71852383,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T04:07:07.000Z,2021-01-26T12:17:07.000Z,2.767841,2.90939293,2.50844096,2.68873941,785266.52709601,42465496.149026,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T08:29:06.000Z,2021-01-27T23:01:10.000Z,2.68740603,2.8949012,2.49057429,2.57171888,797965.2280648,40617293.67950213,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T06:43:08.000Z,2021-01-28T06:47:08.000Z,2.57721283,2.79684968,2.50395578,2.59845151,673527.73,41039504.22,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T09:40:09.000Z,2021-01-29T16:53:07.000Z,2.68947801,2.75930662,2.39958492,2.54970748,500205.36,40269649.35,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T22:19:08.000Z,2021-01-30T12:55:09.000Z,2.56319215,2.72529949,2.45555415,2.65879241,545199.13,41992518.23,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T11:37:08.000Z,2021-01-31T09:21:08.000Z,2.65964185,2.95292121,2.54950734,2.76651545,703085.86,43693877.67,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T18:18:08.000Z,2021-02-01T15:31:08.000Z,2.77316523,2.89312742,2.69363511,2.74976064,455023.06,43429255.1,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T18:27:08.000Z,2021-02-02T19:10:11.000Z,2.7495292,3.27092481,2.67767937,2.72742692,544387.58,43076520.1,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T17:44:08.000Z,2021-02-03T23:22:08.000Z,2.7307839,2.93365768,2.64649739,2.73029376,550361.94,43121798.44,2021-02-03T23:59:59.999Z
