,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T21:12:10.000Z,2021-01-05T06:14:07.000Z,0.00027629,0.00032965,0.00021037,0.00031632,27666.49839936,5542622.3817527,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:32:09.000Z,2021-01-06T20:15:14.000Z,0.00031637,0.00034715,0.0002725,0.00028487,24775.58453424,4991460.96665013,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T17:33:07.000Z,2021-01-07T18:27:07.000Z,0.00028457,0.00030221,0.00023242,0.00029155,29442.69037057,5108452.49071587,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T23:43:06.000Z,2021-01-08T03:01:06.000Z,0.00029129,0.00046013,0.00027573,0.00045837,17449.3750999,8031631.50856181,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:07.000Z,2021-01-09T02:48:06.000Z,0.00045864,0.00082864,0.00037568,0.00080511,3.8712524,14107159.43970121,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:07.000Z,2021-01-10T20:32:07.000Z,0.00080509,0.0008284,0.00035985,0.00038374,38.35234943,6723910.30344908,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:07.000Z,2021-01-11T16:48:07.000Z,0.00038356,0.00038356,0.0003055,0.00035532,0.06038362,6225964.55470599,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:06.000Z,2021-01-12T14:39:06.000Z,0.00035567,0.00036569,0.00032698,0.00033881,1.72687728,5936612.84902038,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:09.000Z,2021-01-13T01:02:06.000Z,0.00033923,0.000376,0.00032585,0.00037296,2.10516176,6535039.78529774,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:06.000Z,2021-01-14T04:15:07.000Z,0.00037316,0.00039966,0.00036869,0.00039189,1.4221972,6866605.6403122,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:06.000Z,2021-01-15T16:12:06.000Z,0.00039187,0.00039578,0.0003466,0.00036824,1.08291998,6452339.05860156,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:06.000Z,2021-01-16T22:09:06.000Z,0.00036825,0.00037864,0.00035634,0.00036207,0.0,6344137.24820649,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:06.000Z,2021-01-17T10:05:08.000Z,0.00036178,0.00036722,0.00034069,0.00035822,3.5772287,6276676.28797605,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:09.000Z,2021-01-18T05:33:07.000Z,0.00035774,0.00037299,0.00034884,0.00036725,0.36663452,6434895.17268842,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:10.000Z,2021-01-19T23:59:07.000Z,0.00036643,0.00037756,0.00036178,0.00036178,37.56563593,6339136.97342416,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:07.000Z,2021-01-20T16:09:07.000Z,0.00036073,0.00036378,0.0003357,0.00035622,0.53347526,6241682.74701356,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:07.000Z,2021-01-21T22:42:07.000Z,0.00035554,0.00035554,0.00030251,0.00030819,0.0,5400027.8251685,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:32:07.000Z,2021-01-22T01:20:07.000Z,0.00030826,0.00033812,0.00028953,0.00033005,0.0,5783080.02553719,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:02:07.000Z,2021-01-23T13:08:07.000Z,0.00033006,0.00033361,0.00031493,0.00032058,0.0,5617120.26028076,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:09:07.000Z,2021-01-24T19:35:09.000Z,0.00032068,0.00032944,0.00031107,0.00032293,0.0,5658419.36255952,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:14:07.000Z,2021-01-25T22:33:07.000Z,0.00032289,0.00034803,0.00032088,0.00032368,0.0,5671533.6601255,2021-01-25T23:59:59.999Z
