,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:05:19.000Z,2021-01-05T04:19:07.000Z,0.17372636,0.24724119,0.13582014,0.22393117,2036.55790821,1398957.83013797,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:38:10.000Z,2021-01-06T22:40:17.000Z,0.22397561,0.25425978,0.16642111,0.18423357,6536.94271225,1150956.3245106,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T07:18:11.000Z,2021-01-07T09:50:12.000Z,0.18397416,0.2243006,0.17304427,0.19967827,2135.81493459,1247443.44583313,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T13:51:07.000Z,2021-01-08T02:47:07.000Z,0.19978762,0.21035389,0.17179564,0.19129094,256.87902771,1195045.56893114,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T07:11:08.000Z,2021-01-09T06:00:15.000Z,0.19125063,0.2409317,0.17999677,0.18698032,2254.72215479,1168115.96745046,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T10:41:08.000Z,2021-01-10T20:32:08.000Z,0.18696382,0.21399067,0.18214979,0.1966314,349.00985721,1228408.82797279,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:12.000Z,2021-01-11T20:12:09.000Z,0.19654349,0.19654349,0.13112323,0.16558769,527.89711326,1034470.48904673,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T21:59:09.000Z,2021-01-12T21:40:12.000Z,0.16575989,0.18597862,0.13978998,0.16990365,1128.85546763,1061433.4382175,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T01:18:10.000Z,2021-01-13T13:07:08.000Z,0.16985328,0.18701372,0.1405739,0.15588056,1495.42712269,973827.50182691,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T12:59:09.000Z,2021-01-14T22:42:10.000Z,0.15580471,0.16813884,0.14515586,0.15470354,1501.76260469,966474.29670959,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:15:15.000Z,2021-01-15T02:11:09.000Z,0.15469318,0.22402924,0.14182097,0.17696939,1643.05383605,1105574.99898127,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T01:24:12.000Z,2021-01-16T22:25:16.000Z,0.17735311,0.18099281,0.12498024,0.12814615,2991.80158404,800563.21140322,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T11:18:11.000Z,2021-01-17T00:00:13.000Z,0.1280795,0.22104311,0.1280795,0.14081356,3738.97599853,879699.88193185,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:36:07.000Z,2021-01-18T01:18:07.000Z,0.14057069,0.1960766,0.13741725,0.17626066,2281.12575519,1101147.4056717,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T01:53:08.000Z,2021-01-19T07:19:07.000Z,0.17589365,0.18307945,0.13934443,0.16880631,2489.55528118,1054578.070184,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:58:07.000Z,2021-01-20T16:09:07.000Z,0.16820748,0.17588275,0.14813066,0.17580755,1464.58022601,1098316.72310357,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T06:09:11.000Z,2021-01-21T22:43:09.000Z,0.17549623,0.20356038,0.15708665,0.16024753,3293.84423861,1001109.13453334,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:14:08.000Z,2021-01-22T01:21:12.000Z,0.16003731,0.20496658,0.15314891,0.19239862,35428.15862283,1201965.57377564,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T04:40:08.000Z,2021-01-23T23:43:07.000Z,0.19248511,0.1942331,0.16195102,0.16252763,739.02679153,1015353.47191246,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T23:57:07.000Z,2021-01-24T12:10:09.000Z,0.16256323,0.17558428,0.13518786,0.17538387,2983.80243651,1095669.86703338,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:35:07.000Z,2021-01-25T22:34:07.000Z,0.17527447,0.17774064,0.15339418,0.15452074,1275.37541409,965332.30556888,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T12:06:09.000Z,2021-01-26T14:51:08.000Z,0.15464503,0.16361088,0.13002484,0.15038821,2085.42074285,939515.29531047,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:01:08.000Z,2021-01-27T14:55:09.000Z,0.15026279,0.15028759,0.12715496,0.13045472,319.77548531,814985.49609075,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T14:11:09.000Z,2021-01-28T00:27:10.000Z,0.13062538,0.14452488,0.12857865,0.14061057,391.74,878431.78,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:03:10.000Z,2021-01-29T07:36:09.000Z,0.1405776,0.15687637,0.13649619,0.14117058,2013.33,881930.33,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T08:13:09.000Z,2021-01-30T03:53:08.000Z,0.1411567,0.1437789,0.13555299,0.14215728,158.34,888094.46,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:08:08.000Z,2021-01-31T18:02:09.000Z,0.14220452,0.14228307,0.13270533,0.13601665,326.71,849732.33,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T21:38:07.000Z,2021-02-01T20:37:07.000Z,0.1360348,0.18934617,0.12592467,0.14398216,1402.83,899495.0,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T12:48:08.000Z,2021-02-02T00:03:07.000Z,0.14407173,0.17452255,0.14393527,0.16218947,627.81,1013240.91,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T17:22:08.000Z,2021-02-03T03:21:07.000Z,0.16227028,0.17149777,0.13590848,0.15264101,1184.86,953589.18,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T23:45:17.000Z,2021-02-04T15:29:08.000Z,0.15276057,0.16264018,0.14310972,0.15769641,276.98,985171.6,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T11:01:08.000Z,2021-02-05T08:37:08.000Z,0.15766352,0.35153657,0.14891861,0.17745332,12492.97,1108598.27,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T05:11:08.000Z,2021-02-06T00:00:08.000Z,0.17755795,0.30099296,0.17755795,0.20102529,4174.42,1255858.64,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T01:43:08.000Z,2021-02-07T16:31:08.000Z,0.20121295,0.21361346,0.17378568,0.18287071,902.33,1142442.13,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T23:59:08.000Z,2021-02-08T02:41:08.000Z,0.18289751,0.22035287,0.18103589,0.22035287,1140.53,1376603.22,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T00:08:07.000Z,2021-02-09T23:13:07.000Z,0.22057374,0.2229933,0.14884768,0.15049837,5546.84,940203.52,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T18:20:11.000Z,2021-02-10T00:14:08.000Z,0.15050936,0.21256708,0.15044141,0.18973303,16463.84,1185312.88,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T13:35:11.000Z,2021-02-11T02:04:07.000Z,0.18971064,0.27463115,0.18606647,0.21403422,5193.55,1337128.93,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T17:53:08.000Z,2021-02-12T14:50:10.000Z,0.21411128,0.23746358,0.20022699,0.20444577,1063.15,1277227.34,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T16:57:07.000Z,2021-02-13T01:44:07.000Z,0.20437476,0.22430679,0.15593787,0.18852112,6766.88,1177741.78,2021-02-13T23:59:59.999Z
