,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:45:16.000Z,2021-01-05T23:30:15.000Z,9.271e-05,0.00010058,7.654e-05,7.696e-05,24953.17916475,196489.97769834,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:09:07.000Z,2021-01-06T01:42:07.000Z,7.699e-05,0.00010405,7.454e-05,9.689e-05,34539.81323553,247366.5945895,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T03:49:07.000Z,2021-01-07T18:50:09.000Z,9.671e-05,0.00012216,8.245e-05,9.768e-05,33801.98298603,249382.66283424,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:43:08.000Z,2021-01-08T20:53:08.000Z,9.775e-05,9.815e-05,5.816e-05,7.355e-05,33784.51347015,187768.3901817,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T21:28:08.000Z,2021-01-09T06:35:09.000Z,7.35e-05,7.762e-05,4.757e-05,7.692e-05,42567.9987291,196363.40988344,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:55:10.000Z,2021-01-10T20:27:08.000Z,7.69e-05,8.079e-05,4.866e-05,5.054e-05,28315.33197075,129037.79985339,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:04:08.000Z,2021-01-11T16:41:08.000Z,5.052e-05,7.533e-05,3.703e-05,4.356e-05,24506.87854074,111211.19993699,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T18:40:13.000Z,2021-01-12T23:30:20.000Z,4.364e-05,8.853e-05,2.074e-05,2.093e-05,12282.17126285,53444.63497945,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:08:09.000Z,2021-01-13T01:02:09.000Z,2.096e-05,4.524e-05,1.998e-05,4.522e-05,50147.77494875,115438.78335225,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T16:45:18.000Z,2021-01-14T04:12:16.000Z,4.523e-05,4.977e-05,3.28e-05,3.656e-05,29116.24526871,93329.50836839,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:37:09.000Z,2021-01-15T20:43:09.000Z,3.656e-05,5e-05,2.237e-05,2.354e-05,20063.24887406,60110.06563719,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T16:11:11.000Z,2021-01-16T05:39:10.000Z,2.354e-05,3.876e-05,2.328e-05,2.47e-05,28131.55211526,63069.60211431,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:08:09.000Z,2021-01-17T08:11:09.000Z,2.468e-05,3.8e-05,2.355e-05,3.692e-05,41603.50674228,94256.56040769,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T23:58:08.000Z,2021-01-18T04:02:08.000Z,3.694e-05,6.295e-05,2.391e-05,6.287e-05,68925.38584552,160507.12422959,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:08.000Z,2021-01-19T00:43:08.000Z,6.286e-05,7.162e-05,5.02e-05,6.885e-05,42726.41928226,175775.07666976,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:09.000Z,2021-01-20T12:08:08.000Z,6.885e-05,7.028e-05,4.974e-05,6.917e-05,42504.67550568,176586.91617297,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:08.000Z,2021-01-21T22:42:12.000Z,6.911e-05,6.911e-05,4.393e-05,4.484e-05,27963.64939263,114483.27627873,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:30:15.000Z,2021-01-22T01:20:09.000Z,4.485e-05,6.355e-05,4.185e-05,6.18e-05,37956.24533854,157777.12292989,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T09:03:08.000Z,2021-01-23T13:08:07.000Z,6.181e-05,6.346e-05,4.802e-05,4.921e-05,30082.47175232,125642.1943643,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T23:57:08.000Z,2021-01-24T00:05:08.000Z,4.923e-05,6.975e-05,4.902e-05,6.96e-05,42709.57499889,177684.18189716,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:53:08.000Z,2021-01-25T10:45:11.000Z,6.958e-05,7.337e-05,2.802e-05,6.624e-05,40883.7949465,169113.15636948,2021-01-25T23:59:59.999Z
