,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:43:07.000Z,2021-01-08T07:14:07.000Z,0.35643181,0.36460363,0.32019709,0.33229813,3311560.92950818,23969824.65971874,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T18:53:07.000Z,2021-01-09T00:51:07.000Z,0.33194518,0.39548579,0.33065554,0.36077321,3918867.6192541,26023832.06605617,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T23:51:08.000Z,2021-01-10T20:34:07.000Z,0.36055525,0.39548543,0.35714717,0.39365217,5244414.24622345,28395505.90368777,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:08.000Z,2021-01-11T16:38:07.000Z,0.39357824,0.39357824,0.27831625,0.32005719,3192990.51860645,23086843.34728148,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:24:07.000Z,2021-01-12T14:34:07.000Z,0.31974776,0.32958931,0.30274493,0.3120346,2192556.92727828,22508145.66957204,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:07:07.000Z,2021-01-13T01:00:07.000Z,0.31159676,0.32860659,0.30330888,0.32476717,2156754.33543128,23426590.18514176,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T20:08:07.000Z,2021-01-14T04:15:08.000Z,0.32475414,0.33176147,0.31620582,0.32347496,2145227.80518878,23333378.99343235,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T11:16:07.000Z,2021-01-15T16:12:07.000Z,0.32323264,0.33559638,0.30060473,0.33265089,2619438.12618687,23995270.62365407,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T20:37:07.000Z,2021-01-16T05:41:07.000Z,0.33281489,0.34659623,0.32598206,0.33420288,2486327.75882771,24107221.19291339,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T16:23:07.000Z,2021-01-17T10:04:07.000Z,0.33421995,0.36086401,0.31287097,0.34832193,3495290.82195409,25125677.67816848,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T09:50:09.000Z,2021-01-18T03:39:08.000Z,0.34825739,0.38062459,0.34577191,0.36652813,3748153.08686114,26438954.48073335,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T00:48:07.000Z,2021-01-19T19:35:11.000Z,0.36679646,0.3763715,0.34324247,0.35259371,2926097.29712847,25433815.96003288,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T15:14:08.000Z,2021-01-20T04:18:07.000Z,0.35234548,0.38640085,0.33584398,0.37409693,7169961.6931718,26984918.51588221,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T07:31:07.000Z,2021-01-21T22:42:07.000Z,0.37433778,0.38296436,0.3368808,0.34352334,3587589.93187409,24779538.12191761,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T19:17:07.000Z,2021-01-22T01:20:08.000Z,0.3436874,0.37219848,0.31835673,0.35075674,2873063.74883722,25301309.14687036,2021-01-22T23:59:59.999Z
