,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:08.000Z,2021-01-05T06:18:07.000Z,0.00223741,0.00241063,0.00211548,0.00238232,0.0,2456.88149248,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:07.000Z,2021-01-06T00:27:07.000Z,0.00237914,0.00258158,0.00234598,0.00258158,0.0,2662.38231952,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:08.000Z,2021-01-07T08:27:07.000Z,0.00258039,0.00361201,0.00255438,0.00354179,0.0,3652.64578041,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:10.000Z,2021-01-08T02:47:08.000Z,0.00354339,0.00377474,0.00331548,0.0036739,0.0,3788.88900711,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:08.000Z,2021-01-09T07:05:10.000Z,0.00367178,0.0037289,0.00350828,0.00362301,0.0,3736.40548378,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T22:27:08.000Z,2021-01-10T20:32:08.000Z,0.00362291,0.00389664,0.00323862,0.00383742,0.0,3957.52642672,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T02:47:08.000Z,2021-01-11T02:14:08.000Z,0.00383564,0.00481326,0.00363368,0.00462681,0.0,4771.62480503,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:48:07.000Z,2021-01-12T14:39:14.000Z,0.0046192,0.00475391,0.00425074,0.00440452,0.0,4542.38553576,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:15.000Z,2021-01-13T01:02:09.000Z,0.00440998,0.00488799,0.00423601,0.00484851,0.0,5000.27051644,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:09.000Z,2021-01-14T04:15:16.000Z,0.00485113,0.00519563,0.00479291,0.00509451,0.0,5253.96736045,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T10:14:09.000Z,2021-01-15T20:12:15.000Z,0.00509435,0.00541782,0.00419358,0.00441891,0.0,4557.22361299,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T17:05:13.000Z,2021-01-16T05:41:09.000Z,0.00441904,0.0048469,0.00428293,0.00470688,1.12e-06,4854.20188341,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T22:35:15.000Z,2021-01-17T10:05:11.000Z,0.00470316,0.00659342,0.00442901,0.00644791,7.44e-06,6649.73208885,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:16.000Z,2021-01-18T05:33:09.000Z,0.00643932,0.00671387,0.00627909,0.00661045,0.0,6817.35475202,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:13.000Z,2021-01-19T23:59:08.000Z,0.00659566,0.00679606,0.00434138,0.00434138,5.2e-07,4477.27009373,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:33:09.000Z,2021-01-20T16:09:08.000Z,0.00432872,0.00641989,0.00402846,0.00641196,9e-07,6612.65869822,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:08.000Z,2021-01-21T22:42:13.000Z,0.00639964,0.00639964,0.00302507,0.00308186,1.21e-06,3178.32211594,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:08.000Z,2021-01-22T01:20:09.000Z,0.00308257,0.00338119,0.00289534,0.003294,0.0,3397.09863908,2021-01-22T23:59:59.999Z
