,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:08.000Z,2021-01-05T06:18:08.000Z,0.0178993,0.01926783,0.01692386,0.0190415,3.10516116,318260.06759303,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T07:10:09.000Z,2021-01-06T20:18:07.000Z,0.01901614,0.02034416,0.0182435,0.0192552,0.0,321831.85171446,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T14:17:08.000Z,2021-01-07T23:30:20.000Z,0.01924737,0.02022439,0.01650761,0.01676053,3.68531142,280135.77844351,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T19:42:07.000Z,2021-01-08T02:47:08.000Z,0.01676813,0.02030701,0.01568958,0.01867972,4.36260637,312213.21430317,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:07.000Z,2021-01-09T07:05:09.000Z,0.01866899,0.01895939,0.01783765,0.01845694,0.0,308489.73144727,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:27:07.000Z,2021-01-10T20:30:18.000Z,0.01845106,0.01917673,0.01665701,0.01767148,0.0,295361.44386262,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:02:07.000Z,2021-01-11T16:48:07.000Z,0.01766783,0.01768059,0.01300802,0.01515457,2.26622747,253293.75561798,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T12:17:07.000Z,2021-01-12T02:21:08.000Z,0.01512966,0.01571012,0.01440424,0.01498602,0.0,250476.63731307,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:09:08.000Z,2021-01-13T01:02:07.000Z,0.01498992,0.01660295,0.01449991,0.01650289,0.0,275829.62815896,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T19:14:07.000Z,2021-01-14T22:42:07.000Z,0.01650485,0.01809511,0.01538241,0.01568878,1.97569636,262222.62857662,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T13:50:10.000Z,2021-01-15T00:04:07.000Z,0.01568717,0.01969225,0.01565557,0.01890551,146.93182141,315986.99625998,2021-01-15T23:59:59.999Z
