,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T21:10:11.000Z,2021-01-05T05:58:08.000Z,0.0929133,0.10184256,0.08673405,0.09577673,96223.18829509,6713987.94810259,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T16:43:08.000Z,2021-01-06T14:53:07.000Z,0.09573331,0.0997588,0.08688078,0.09254196,108735.70186695,6487229.21293573,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T13:57:07.000Z,2021-01-07T19:26:14.000Z,0.09188024,0.11965946,0.07984644,0.08873833,144744.5546697,6220593.13614899,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T17:19:08.000Z,2021-01-08T02:41:09.000Z,0.08767846,0.11108024,0.08192799,0.10405391,152911.84972143,7294221.36908458,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T00:22:08.000Z,2021-01-09T23:51:08.000Z,0.10287155,0.10474641,0.09144614,0.09147692,116607.00396961,6412569.45344613,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:35:10.000Z,2021-01-10T20:29:08.000Z,0.09367153,0.10146706,0.08711377,0.09387857,124467.35155889,6580925.8887233,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T02:03:09.000Z,2021-01-11T16:40:10.000Z,0.09454442,0.09513236,0.07040546,0.08321172,112199.76872519,5833175.69487415,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:45:16.000Z,2021-01-12T14:40:11.000Z,0.08383315,0.0880032,0.07735598,0.0816345,98011.81206945,5722611.56322619,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T21:58:08.000Z,2021-01-13T00:50:08.000Z,0.07980959,0.08993516,0.07730658,0.08759435,139936.8510243,6140399.48125908,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T16:32:08.000Z,2021-01-14T22:00:18.000Z,0.08781686,0.09171164,0.08285765,0.08706802,116004.11845929,6103503.84665611,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:12:08.000Z,2021-01-15T16:12:09.000Z,0.08747059,0.08829642,0.07757502,0.08516604,100075.52783218,5970173.70056828,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T00:53:08.000Z,2021-01-16T22:12:09.000Z,0.08543399,0.08792365,0.07876229,0.08052716,66271.29119287,5644986.87471207,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T13:43:08.000Z,2021-01-17T09:56:08.000Z,0.08072063,0.09705847,0.07709488,0.08450157,133992.22158997,5923594.71280791,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T09:00:16.000Z,2021-01-18T00:00:14.000Z,0.08365323,0.09443675,0.08365323,0.08846094,134944.55571803,6201147.99299608,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T14:21:12.000Z,2021-01-19T21:43:09.000Z,0.08844049,0.09347655,0.08298702,0.08809425,101286.07621605,6175442.77308109,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:30:18.000Z,2021-01-20T10:01:09.000Z,0.08815695,0.09063046,0.07889984,0.0893827,129462.44268171,6265763.35435915,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T07:41:08.000Z,2021-01-21T22:42:08.000Z,0.08934015,0.09202166,0.07246629,0.073194,102589.58641713,5130929.37621682,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T17:38:09.000Z,2021-01-22T00:31:08.000Z,0.07297653,0.10094286,0.06872707,0.08987863,144920.05632455,6300528.57102209,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T08:03:12.000Z,2021-01-23T00:12:13.000Z,0.08758251,0.0966362,0.08563342,0.08727961,110046.98950094,6118336.1202156,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T10:54:11.000Z,2021-01-24T20:12:14.000Z,0.08715397,0.0935291,0.08338531,0.08770266,96522.52005954,6147992.084271,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T11:10:11.000Z,2021-01-25T03:17:09.000Z,0.08785074,0.09382101,0.08254899,0.08741648,107067.97109664,6127930.80133093,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T20:14:09.000Z,2021-01-26T07:13:09.000Z,0.08601226,0.09207082,0.08176336,0.08986041,108176.71773837,6299251.37150437,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T07:42:12.000Z,2021-01-27T14:48:12.000Z,0.08968982,0.09006442,0.07431059,0.08523252,111410.49374702,5974834.15987486,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T06:05:09.000Z,2021-01-28T00:18:10.000Z,0.08560975,0.09319536,0.0838578,0.0875735,120261.52,6138937.82,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T09:39:08.000Z,2021-01-29T00:01:08.000Z,0.08963797,0.10238799,0.08686485,0.09263786,90598.79,6493951.79,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T15:48:08.000Z,2021-01-30T16:36:08.000Z,0.09218273,0.09894535,0.08912695,0.09331973,92599.57,6541751.07,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T13:01:08.000Z,2021-01-31T03:03:08.000Z,0.09384115,0.34639866,0.0922034,0.21028346,2670771.73,14740956.2,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T00:01:08.000Z,2021-02-01T16:39:10.000Z,0.2076641,0.20789328,0.13255283,0.16501658,48363.78,11567729.42,2021-02-01T23:59:59.999Z
