,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:14:08.000Z,2021-01-08T21:05:13.000Z,0.08276855,0.08300661,0.06594127,0.0693353,30.77482745,81188.40415905,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T04:41:09.000Z,2021-01-09T07:06:11.000Z,0.06929473,0.0698486,0.06052316,0.06701103,54.46868026,78466.7908639,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:09.000Z,2021-01-10T20:32:08.000Z,0.06700895,0.06896942,0.0514701,0.06077192,0.72491861,71161.07882033,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T14:51:10.000Z,2021-01-11T07:02:09.000Z,0.06074705,0.07186454,0.05086491,0.06901464,506.50821384,80812.92759854,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T09:39:08.000Z,2021-01-12T14:39:15.000Z,0.06890802,0.07882143,0.05724666,0.05922391,291.81961879,69348.43116922,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:06:20.000Z,2021-01-13T01:02:09.000Z,0.05929734,0.08031895,0.056958,0.07983073,2330.12790343,93478.05575289,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T14:38:09.000Z,2021-01-14T04:12:17.000Z,0.07986277,0.08565689,0.07912523,0.08265639,0.0,96786.77287755,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:41:09.000Z,2021-01-15T16:12:16.000Z,0.08265954,0.0837022,0.07256661,0.07481043,0.01494327,87599.52090339,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T01:23:09.000Z,2021-01-16T00:50:10.000Z,0.07481043,0.27952643,0.06371023,0.0883724,15712.51277832,103479.96214834,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T11:56:10.000Z,2021-01-17T06:02:09.000Z,0.08791631,0.11960567,0.08569451,0.10803013,161.42318862,126498.24317391,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T13:04:08.000Z,2021-01-18T11:12:09.000Z,0.10788822,0.12595221,0.10377519,0.12584922,109.02953602,147363.56243381,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T12:06:09.000Z,2021-01-19T19:33:12.000Z,0.12563799,0.13403774,0.10873273,0.11354747,7.96279812,132958.79152921,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:08.000Z,2021-01-20T12:09:11.000Z,0.11322204,0.11420549,0.1005901,0.1130643,0.43729116,132393.02266103,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:09.000Z,2021-01-21T21:54:13.000Z,0.11284697,0.11284697,0.09433598,0.09842452,13.5370481,115250.52464404,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T07:09:12.000Z,2021-01-22T07:01:09.000Z,0.09844086,0.11755143,0.08515992,0.10023037,3675.08628484,118158.13308746,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T00:01:08.000Z,2021-01-23T02:48:09.000Z,0.10036201,0.10036211,0.08386409,0.08933223,491.70333426,105310.69909306,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:14:08.000Z,2021-01-24T19:36:11.000Z,0.08934397,0.09173263,0.08611485,0.08772383,364.84437841,103414.60954826,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T13:33:09.000Z,2021-01-25T22:34:08.000Z,0.0876924,0.09252028,0.07251656,0.07312204,54.11294037,86201.06018683,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:07:08.000Z,2021-01-26T07:27:09.000Z,0.07317643,0.08656122,0.07095191,0.08631931,98.46263101,101758.86715368,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:10.000Z,2021-01-27T14:55:13.000Z,0.08628446,0.08628446,0.07394646,0.07763986,0.0,91526.9646197,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T16:23:08.000Z,2021-01-28T21:52:09.000Z,0.07768684,0.09022893,0.07298155,0.07341586,0.37,86547.44,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:00:15.000Z,2021-01-29T18:33:08.000Z,0.07342827,0.08683182,0.07193908,0.07330015,7.46,86411.03,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T10:57:09.000Z,2021-01-30T03:54:10.000Z,0.07347101,0.07562113,0.07115055,0.07331848,114.62,86432.64,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T13:34:08.000Z,2021-01-31T22:22:08.000Z,0.07327452,0.07640464,0.06233691,0.0642086,289.2,75693.32,2021-01-31T23:59:59.999Z
