,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T11:15:03.000Z,2021-01-05T04:34:02.000Z,0.0818972,0.14974505,0.06414566,0.14565324,19632.24749443,6068215.92643791,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T06:46:02.000Z,2021-01-06T09:21:02.000Z,0.14545923,0.15780305,0.0678229,0.14086263,22049.35540003,5868629.0273389,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T00:00:02.000Z,2021-01-07T14:03:02.000Z,0.14079762,0.14079762,0.08111076,0.13560962,13013.61489172,5649777.88850875,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T00:17:02.000Z,2021-01-08T18:33:02.000Z,0.13549238,0.137723,0.08011519,0.11426619,10741.75254163,4760566.23368047,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T11:32:02.000Z,2021-01-09T19:03:02.000Z,0.1143319,0.13641534,0.07916061,0.10198615,10086.39258637,4248954.33286686,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T00:47:02.000Z,2021-01-10T07:16:02.000Z,0.10198344,0.10334545,0.05330561,0.08791582,11350.29911147,3662755.3747506,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T23:58:02.000Z,2021-01-11T14:00:03.000Z,0.08787524,0.11170276,0.04865455,0.11151917,15163.7453493,4646119.72555979,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T01:14:02.000Z,2021-01-12T09:08:02.000Z,0.11162694,0.11778979,0.05613001,0.07045421,7993.63917721,2935268.31154253,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T12:12:02.000Z,2021-01-13T17:57:02.000Z,0.07054156,0.07391272,0.04245411,0.06200208,8281.80947324,2583134.92450134,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:15:02.000Z,2021-01-14T05:16:02.000Z,0.06203551,0.06385667,0.0437294,0.05677286,3189.34024038,2365275.00807214,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:02.000Z,2021-01-15T19:54:02.000Z,0.05677112,0.05733631,0.02340505,0.04910829,6640.39541001,2045953.27901309,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:02.000Z,2021-01-16T05:42:02.000Z,0.04923062,0.05196171,0.04696872,0.04763111,4155.87816694,1984410.5628258,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T23:43:02.000Z,2021-01-17T17:15:03.000Z,0.04761703,0.05004529,0.03921669,0.0479233,6129.28588543,1996584.14099918,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T23:55:03.000Z,2021-01-18T05:33:02.000Z,0.04785947,0.08360842,0.0399052,0.08326143,6623.12822157,3468843.48455007,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T01:29:02.000Z,2021-01-19T22:04:02.000Z,0.08307511,0.08362365,0.04518146,0.0663296,7102.72703817,2763428.71976206,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T18:37:02.000Z,2021-01-20T20:57:02.000Z,0.06613605,0.083009,0.04003403,0.06409746,13103.53234354,2670433.04298025,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:02.000Z,2021-01-21T05:38:02.000Z,0.06397425,0.06397425,0.04057888,0.04968607,5118.63164713,2070024.64955924,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T19:24:02.000Z,2021-01-22T10:21:02.000Z,0.04959099,0.06092938,0.04555,0.05841562,7590.1883835,2433715.8662003,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T23:36:02.000Z,2021-01-23T04:04:02.000Z,0.05853046,0.06492741,0.05501202,0.06241835,5319.13307245,2600477.65904115,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T09:35:02.000Z,2021-01-24T00:00:02.000Z,0.06242739,0.08991675,0.06242739,0.0805402,8019.81744107,3355471.54099652,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T18:54:02.000Z,2021-01-25T04:27:02.000Z,0.08049005,0.10698085,0.06785392,0.10037089,9739.97759379,4181659.37784416,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:07:02.000Z,2021-01-26T07:15:02.000Z,0.10044583,0.11794482,0.09838878,0.1169482,14482.88841277,4872304.53533552,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:02.000Z,2021-01-27T22:29:02.000Z,0.11684605,0.11684605,0.0632471,0.10228191,14427.53697282,4261276.13145346,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T22:57:02.000Z,2021-01-28T10:35:03.000Z,0.102475,0.10796604,0.06602696,0.10456863,9335.15,4356545.65,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:33:02.000Z,2021-01-29T04:36:02.000Z,0.09167891,0.12576636,0.08939065,0.1054884,8724.8,4394865.33,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T19:03:02.000Z,2021-01-30T12:33:02.000Z,0.10573502,0.11577691,0.10311697,0.11337205,9959.38,4723314.61,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T02:00:02.000Z,2021-01-31T18:46:02.000Z,0.11323125,0.11433286,0.09603772,0.10798793,7784.26,4499000.97,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T09:09:02.000Z,2021-02-01T00:32:02.000Z,0.10789218,0.11459342,0.10553322,0.10898172,9169.15,4540404.47,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T21:53:02.000Z,2021-02-02T17:48:02.000Z,0.10909967,0.1188579,0.10806131,0.11805658,10853.09,4918481.7,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T17:02:02.000Z,2021-02-03T09:37:02.000Z,0.11810054,0.12800976,0.1109393,0.12413564,14575.17,5171747.8,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T07:00:02.000Z,2021-02-04T23:30:03.000Z,0.12422478,0.13170991,0.12151368,0.12463954,10400.01,5192741.3,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T14:16:02.000Z,2021-02-05T03:16:02.000Z,0.12459938,0.13358114,0.11904412,0.13111189,14058.22,5462392.86,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T11:26:02.000Z,2021-02-06T04:18:02.000Z,0.13138015,0.13922723,0.12143583,0.13375746,12752.18,5572612.89,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T10:25:03.000Z,2021-02-07T05:18:02.000Z,0.13389098,0.13563781,0.12174387,0.13448638,13109.7,5602981.11,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T23:59:02.000Z,2021-02-08T07:59:02.000Z,0.13447515,0.15410003,0.12325564,0.15410003,15056.85,6420126.41,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T07:03:02.000Z,2021-02-09T19:46:02.000Z,0.15426454,0.15863106,0.14651254,0.15025927,12191.15,6260112.5,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T00:00:02.000Z,2021-02-10T07:51:02.000Z,0.15027712,0.15027712,0.12816579,0.14348359,14640.59,5977823.56,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T15:58:02.000Z,2021-02-11T13:22:02.000Z,0.14345744,0.14986126,0.13653079,0.14572343,11575.91,6071139.98,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T00:23:02.000Z,2021-02-12T20:23:02.000Z,0.14579787,0.14833718,0.13510136,0.13591099,9232.91,5662333.31,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T06:02:02.000Z,2021-02-13T13:05:03.000Z,0.13586387,0.13720038,0.12490228,0.13251168,11751.45,5520710.96,2021-02-13T23:59:59.999Z
40,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T06:06:02.000Z,2021-02-14T16:58:02.000Z,0.13249563,0.13593086,0.05638346,0.11567464,27187.39,4819245.0,2021-02-14T23:59:59.999Z
41,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T23:14:02.000Z,2021-02-15T05:33:02.000Z,0.11565292,0.1266058,0.05925033,0.12514757,20817.87,5213907.14,2021-02-15T23:59:59.999Z
42,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T12:37:02.000Z,2021-02-16T12:31:02.000Z,0.12515052,0.13038675,0.11777591,0.12269168,16635.1,5111589.79,2021-02-16T23:59:59.999Z
43,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T00:06:02.000Z,2021-02-17T14:55:03.000Z,0.12268594,0.12310735,0.05412788,0.11256979,23040.35,4689890.64,2021-02-17T23:59:59.999Z
44,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T23:27:02.000Z,2021-02-18T11:42:02.000Z,0.11256563,0.11841774,0.0583915,0.11696038,21893.47,4872811.77,2021-02-18T23:59:59.999Z
45,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T00:00:02.000Z,2021-02-19T13:50:03.000Z,0.11692401,0.11692401,0.06845935,0.08987577,20612.83,3744410.61,2021-02-19T23:59:59.999Z
46,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T21:56:02.000Z,2021-02-20T00:15:02.000Z,0.08999123,0.11938623,0.05884079,0.10800186,17594.33,4499581.08,2021-02-20T23:59:59.999Z
47,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T05:39:02.000Z,2021-02-21T02:01:02.000Z,0.10795115,0.11442458,0.08334745,0.10935876,17732.33,4556112.48,2021-02-21T23:59:59.999Z
48,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T07:24:02.000Z,2021-02-22T14:21:02.000Z,0.10944111,0.10959229,0.09444266,0.10191631,14143.93,4246044.49,2021-02-22T23:59:59.999Z
49,2021-02-23T00:00:00.000Z,2021-02-23T23:59:59.999Z,2021-02-23T00:00:03.000Z,2021-02-23T18:23:02.000Z,0.10189203,0.10189203,0.07425805,0.08989989,2583.41,3745415.61,2021-02-23T23:59:59.999Z
50,2021-02-24T00:00:00.000Z,2021-02-24T23:59:59.999Z,2021-02-24T04:18:02.000Z,2021-02-24T00:15:02.000Z,0.08992132,0.09378904,0.08159217,0.0895619,880.32,3731334.5,2021-02-24T23:59:59.999Z
51,2021-02-25T00:00:00.000Z,2021-02-25T23:59:59.999Z,2021-02-25T13:06:02.000Z,2021-02-25T20:43:02.000Z,0.08965244,0.09723393,0.04821581,0.07641049,7323.02,3183419.44,2021-02-25T23:59:59.999Z
52,2021-02-26T00:00:00.000Z,2021-02-26T23:59:59.999Z,2021-02-26T17:06:02.000Z,2021-02-26T06:27:02.000Z,0.07600896,0.08468408,0.05948162,0.07673118,3964.76,3196779.92,2021-02-26T23:59:59.999Z
53,2021-02-27T00:00:00.000Z,2021-02-27T23:59:59.999Z,2021-02-27T17:15:03.000Z,2021-02-27T04:39:02.000Z,0.07683669,0.08629557,0.06116413,0.07497489,8584.8,3123609.21,2021-02-27T23:59:59.999Z
54,2021-02-28T00:00:00.000Z,2021-02-28T23:59:59.999Z,2021-02-28T02:00:02.000Z,2021-02-28T07:49:02.000Z,0.07487191,0.09936591,0.05432086,0.07373367,15353.02,3071897.3,2021-02-28T23:59:59.999Z
55,2021-03-01T00:00:00.000Z,2021-03-01T23:59:59.999Z,2021-03-01T13:06:02.000Z,2021-03-01T06:09:02.000Z,0.07378125,0.08207468,0.04989429,0.07656309,13836.3,3189776.82,2021-03-01T23:59:59.999Z
56,2021-03-02T00:00:00.000Z,2021-03-02T23:59:59.999Z,2021-03-02T02:36:02.000Z,2021-03-02T05:57:02.000Z,0.07659121,0.07754358,0.05887246,0.07294411,5725.76,0.0,2021-03-02T23:59:59.999Z
57,2021-03-03T00:00:00.000Z,2021-03-03T23:59:59.999Z,2021-03-03T13:05:03.000Z,2021-03-03T22:07:02.000Z,0.07295056,0.08095626,0.06440816,0.07255709,5361.36,0.0,2021-03-03T23:59:59.999Z
58,2021-03-04T00:00:00.000Z,2021-03-04T23:59:59.999Z,2021-03-04T02:13:02.000Z,2021-03-04T20:28:02.000Z,0.07247802,0.07322477,0.05555822,0.06882969,11311.54,0.0,2021-03-04T23:59:59.999Z
59,2021-03-05T00:00:00.000Z,2021-03-05T23:59:59.999Z,2021-03-05T21:16:02.000Z,2021-03-05T05:44:02.000Z,0.06883559,0.07087846,0.06179356,0.07074704,8193.95,0.0,2021-03-05T23:59:59.999Z
60,2021-03-06T00:00:00.000Z,2021-03-06T23:59:59.999Z,2021-03-06T04:01:02.000Z,2021-03-06T08:18:02.000Z,0.07073534,0.07930592,0.05057484,0.06877314,12675.02,0.0,2021-03-06T23:59:59.999Z
61,2021-03-07T00:00:00.000Z,2021-03-07T23:59:59.999Z,2021-03-07T15:25:03.000Z,2021-03-07T18:57:02.000Z,0.06876134,0.08576839,0.06236887,0.07884165,14164.97,0.0,2021-03-07T23:59:59.999Z
62,2021-03-08T00:00:00.000Z,2021-03-08T23:59:59.999Z,2021-03-08T23:38:02.000Z,2021-03-08T06:50:02.000Z,0.07884165,0.08151474,0.07181344,0.07776794,11357.81,0.0,2021-03-08T23:59:59.999Z
63,2021-03-09T00:00:00.000Z,2021-03-09T23:59:59.999Z,2021-03-09T14:01:02.000Z,2021-03-09T03:16:02.000Z,0.07777157,0.1149725,0.07689833,0.102416,9600.1,0.0,2021-03-09T23:59:59.999Z
64,2021-03-10T00:00:00.000Z,2021-03-10T23:59:59.999Z,2021-03-10T16:48:02.000Z,2021-03-10T19:33:02.000Z,0.10249395,0.11927318,0.08197213,0.10633882,19368.13,0.0,2021-03-10T23:59:59.999Z
65,2021-03-11T00:00:00.000Z,2021-03-11T23:59:59.999Z,2021-03-11T03:13:02.000Z,2021-03-11T05:55:02.000Z,0.10625518,0.26050441,0.09508499,0.12978583,29281.58,0.0,2021-03-11T23:59:59.999Z
66,2021-03-12T00:00:00.000Z,2021-03-12T23:59:59.999Z,2021-03-12T06:17:02.000Z,2021-03-12T00:00:02.000Z,0.1297902,0.14785605,0.1297902,0.14538336,12207.01,0.0,2021-03-12T23:59:59.999Z
67,2021-03-13T00:00:00.000Z,2021-03-13T23:59:59.999Z,2021-03-13T13:19:02.000Z,2021-03-13T12:41:02.000Z,0.14531587,0.17724377,0.10739124,0.13885971,22984.95,0.0,2021-03-13T23:59:59.999Z
68,2021-03-14T00:00:00.000Z,2021-03-14T23:59:59.999Z,2021-03-14T09:12:02.000Z,2021-03-14T05:46:02.000Z,0.13882538,0.17375214,0.12619998,0.14640224,25684.05,0.0,2021-03-14T23:59:59.999Z
69,2021-03-15T00:00:00.000Z,2021-03-15T23:59:59.999Z,2021-03-15T02:22:02.000Z,2021-03-15T00:03:02.000Z,0.14612063,0.19603291,0.14564882,0.18624108,32574.37,0.0,2021-03-15T23:59:59.999Z
70,2021-03-16T00:00:00.000Z,2021-03-16T23:59:59.999Z,2021-03-16T00:12:02.000Z,2021-03-16T07:40:02.000Z,0.1863828,0.18667806,0.15592538,0.17269447,25468.27,0.0,2021-03-16T23:59:59.999Z
71,2021-03-17T00:00:00.000Z,2021-03-17T23:59:59.999Z,2021-03-17T23:59:02.000Z,2021-03-17T14:19:02.000Z,0.17319115,0.19536544,0.16280316,0.19536544,20070.63,0.0,2021-03-17T23:59:59.999Z
72,2021-03-18T00:00:00.000Z,2021-03-18T23:59:59.999Z,2021-03-18T00:09:02.000Z,2021-03-18T23:59:02.000Z,0.19544142,0.19703791,0.17147329,0.17147329,18829.15,0.0,2021-03-18T23:59:59.999Z
73,2021-03-19T00:00:00.000Z,2021-03-19T23:59:59.999Z,2021-03-19T09:17:02.000Z,2021-03-19T14:40:03.000Z,0.17146587,0.18031025,0.14747593,0.17146579,12266.65,0.0,2021-03-19T23:59:59.999Z
74,2021-03-20T00:00:00.000Z,2021-03-20T23:59:59.999Z,2021-03-20T07:22:02.000Z,2021-03-20T00:31:02.000Z,0.17150014,0.18084354,0.16418993,0.16852538,9049.96,0.0,2021-03-20T23:59:59.999Z
75,2021-03-21T00:00:00.000Z,2021-03-21T23:59:59.999Z,2021-03-21T06:36:02.000Z,2021-03-21T10:42:02.000Z,0.16848647,0.17305587,0.1578614,0.1619031,8241.36,0.0,2021-03-21T23:59:59.999Z
