,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T00:48:04.000Z,2021-01-05T06:28:04.000Z,2.224e-05,2.32e-05,1.154e-05,1.92e-05,493.89162953,2760556.70044717,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T02:45:04.000Z,2021-01-06T09:28:04.000Z,1.921e-05,2.038e-05,9.06e-06,1.46e-05,463.44131141,2099520.45338489,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T22:39:04.000Z,2021-01-07T02:54:04.000Z,1.461e-05,2.108e-05,1.392e-05,2.058e-05,187.19501983,2959182.64553567,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T10:50:04.000Z,2021-01-08T21:05:05.000Z,2.059e-05,2.209e-05,1.264e-05,1.356e-05,633.3739562,1948909.36871187,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T20:44:04.000Z,2021-01-09T15:31:04.000Z,1.355e-05,2.809e-05,1.278e-05,2.57e-05,643.17790562,3694565.13352843,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T00:32:04.000Z,2021-01-10T22:19:04.000Z,2.57e-05,2.595e-05,1.273e-05,1.297e-05,309.3278206,1865207.21518586,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T10:10:04.000Z,2021-01-11T16:49:04.000Z,1.297e-05,1.456e-05,7.9e-06,1.169e-05,1603.40181083,1680167.04754176,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T17:57:04.000Z,2021-01-12T14:40:05.000Z,1.17e-05,1.503e-05,1.091e-05,1.297e-05,487.64466338,1864345.51891958,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:57:04.000Z,2021-01-13T01:02:04.000Z,1.297e-05,1.776e-05,9.46e-06,1.775e-05,20.87547004,2551398.18053127,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:13:04.000Z,2021-01-14T00:52:04.000Z,1.775e-05,1.805e-05,9.85e-06,1.225e-05,381.48784517,1760379.14263036,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:41:04.000Z,2021-01-15T16:12:04.000Z,1.225e-05,1.281e-05,1.097e-05,1.174e-05,444.39197195,1687576.54770714,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T18:24:04.000Z,2021-01-16T05:21:04.000Z,1.174e-05,2.417e-05,1.018e-05,2.226e-05,1819.38839186,3199377.15017158,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T00:58:04.000Z,2021-01-17T08:12:05.000Z,2.225e-05,2.293e-05,1.334e-05,1.369e-05,356.86094199,1967979.74982077,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T16:13:04.000Z,2021-01-18T11:09:04.000Z,1.369e-05,2.056e-05,1.231e-05,1.609e-05,228.60012022,2313621.07552556,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T22:13:04.000Z,2021-01-19T07:23:04.000Z,1.609e-05,2.43e-05,1.347e-05,2.393e-05,907.31451108,3439530.20339091,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T09:24:04.000Z,2021-01-20T11:14:04.000Z,2.393e-05,2.526e-05,1.319e-05,1.455e-05,616.87051003,2091639.46831554,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T20:55:05.000Z,2021-01-21T13:49:04.000Z,1.454e-05,1.731e-05,1.025e-05,1.641e-05,40.23201369,2358686.40309214,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T05:53:04.000Z,2021-01-22T07:47:04.000Z,1.641e-05,3.24e-05,1.392e-05,1.788e-05,749.05902584,2571037.68856545,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T04:41:04.000Z,2021-01-23T20:46:04.000Z,1.789e-05,4.335e-05,1.347e-05,1.4e-05,2937.89619339,2011906.13778822,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T22:53:04.000Z,2021-01-24T22:23:04.000Z,1.4e-05,2.723e-05,1.38e-05,1.626e-05,389.74419904,2338031.94687458,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:54:04.000Z,2021-01-25T22:33:04.000Z,1.626e-05,1.692e-05,1.334e-05,1.351e-05,6392.52084828,1942126.34801952,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:08:04.000Z,2021-01-26T14:47:04.000Z,1.351e-05,3.241e-05,1.293e-05,3.217e-05,109.52505237,4624499.28130479,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T11:17:04.000Z,2021-01-27T09:03:04.000Z,3.215e-05,8.858e-05,1.352e-05,2.134e-05,1365.08444496,3068389.0880743,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:08:04.000Z,2021-01-28T07:18:04.000Z,2.135e-05,3.452e-05,1.788e-05,3.168e-05,3066.75,4553948.87,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T12:06:04.000Z,2021-01-29T10:09:04.000Z,3.153e-05,4.353e-05,1.983e-05,2.368e-05,3552.6,3404448.41,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T23:57:04.000Z,2021-01-30T09:40:05.000Z,2.368e-05,4.242e-05,1.719e-05,4.221e-05,3334.87,6068392.66,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T13:32:04.000Z,2021-01-31T19:42:04.000Z,4.224e-05,5.479e-05,1.392e-05,2.035e-05,9628.41,2926020.64,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T11:33:04.000Z,2021-02-01T18:36:04.000Z,2.035e-05,2.669e-05,1.917e-05,2.506e-05,1118.71,3601984.64,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T23:33:04.000Z,2021-02-02T11:32:04.000Z,2.506e-05,2.982e-05,1.908e-05,2.37e-05,1085.15,3406658.17,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T16:45:05.000Z,2021-02-03T23:49:04.000Z,2.369e-05,3.186e-05,2.06e-05,2.07e-05,1473.39,2975568.67,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T08:34:04.000Z,2021-02-04T13:46:04.000Z,2.07e-05,3.332e-05,1.861e-05,3.135e-05,4628.22,4506312.15,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T03:21:04.000Z,2021-02-05T20:08:04.000Z,3.136e-05,3.591e-05,1.828e-05,2.958e-05,1654.19,4252749.17,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T23:45:06.000Z,2021-02-06T01:53:04.000Z,2.959e-05,3.611e-05,2.774e-05,3.353e-05,1740.49,4820224.65,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T03:00:05.000Z,2021-02-07T17:15:05.000Z,3.352e-05,3.947e-05,2.615e-05,3.808e-05,1195.29,5474197.05,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T00:00:04.000Z,2021-02-08T23:32:04.000Z,3.805e-05,3.805e-05,1.896e-05,2.213e-05,2423.85,3181568.48,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T13:59:04.000Z,2021-02-09T16:27:04.000Z,2.212e-05,3.123e-05,1.803e-05,2.321e-05,5131.32,3337272.27,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T11:57:04.000Z,2021-02-10T04:50:05.000Z,2.321e-05,3.462e-05,2.064e-05,2.518e-05,2668.54,3619954.83,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T07:19:04.000Z,2021-02-11T02:49:04.000Z,2.519e-05,2.537e-05,2.137e-05,2.177e-05,1862.82,3130047.08,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T21:49:04.000Z,2021-02-12T00:01:04.000Z,2.178e-05,3.74e-05,2.165e-05,3.675e-05,648.85,5282531.98,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T00:14:04.000Z,2021-02-13T13:34:04.000Z,3.674e-05,3.703e-05,2.082e-05,2.278e-05,1704.44,3275009.22,2021-02-13T23:59:59.999Z
40,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T21:24:04.000Z,2021-02-14T00:29:04.000Z,2.278e-05,3.432e-05,2.264e-05,2.972e-05,1000.93,0.0,2021-02-14T23:59:59.999Z
41,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T23:19:04.000Z,2021-02-15T22:11:04.000Z,2.972e-05,3.402e-05,1.542e-05,1.809e-05,819.92,0.0,2021-02-15T23:59:59.999Z
42,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T23:09:04.000Z,2021-02-16T00:38:04.000Z,1.81e-05,3.657e-05,1.747e-05,3.636e-05,535.87,0.0,2021-02-16T23:59:59.999Z
43,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T04:13:04.000Z,2021-02-17T23:23:04.000Z,3.634e-05,3.903e-05,2.371e-05,2.743e-05,948.35,0.0,2021-02-17T23:59:59.999Z
44,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T19:32:04.000Z,2021-02-18T12:09:04.000Z,2.744e-05,3.348e-05,2.346e-05,3.097e-05,436.73,0.0,2021-02-18T23:59:59.999Z
45,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T01:32:04.000Z,2021-02-19T14:41:04.000Z,3.094e-05,3.697e-05,1.419e-05,2.001e-05,2299.03,0.0,2021-02-19T23:59:59.999Z
46,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T05:46:04.000Z,2021-02-20T05:51:04.000Z,2.001e-05,2.037e-05,1.454e-05,1.722e-05,11374.67,0.0,2021-02-20T23:59:59.999Z
47,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T23:58:04.000Z,2021-02-21T12:45:05.000Z,1.721e-05,3.76e-05,1.218e-05,3.759e-05,1922.45,0.0,2021-02-21T23:59:59.999Z
48,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T13:47:04.000Z,2021-02-22T10:15:05.000Z,3.758e-05,4.023e-05,1.704e-05,3.978e-05,2268.67,0.0,2021-02-22T23:59:59.999Z
49,2021-02-23T00:00:00.000Z,2021-02-23T23:59:59.999Z,2021-02-23T04:23:04.000Z,2021-02-23T09:14:04.000Z,3.978e-05,4.151e-05,1.671e-05,1.813e-05,3621.04,0.0,2021-02-23T23:59:59.999Z
50,2021-02-24T00:00:00.000Z,2021-02-24T23:59:59.999Z,2021-02-24T05:25:05.000Z,2021-02-24T18:34:05.000Z,1.813e-05,2.467e-05,1.588e-05,1.733e-05,4946.28,0.0,2021-02-24T23:59:59.999Z
51,2021-02-25T00:00:00.000Z,2021-02-25T23:59:59.999Z,2021-02-25T18:44:05.000Z,2021-02-25T10:23:05.000Z,1.734e-05,2.095e-05,1.645e-05,1.782e-05,248.02,0.0,2021-02-25T23:59:59.999Z
52,2021-02-26T00:00:00.000Z,2021-02-26T23:59:59.999Z,2021-02-26T17:05:06.000Z,2021-02-26T02:05:05.000Z,1.781e-05,2.972e-05,1.642e-05,1.836e-05,679.83,0.0,2021-02-26T23:59:59.999Z
53,2021-02-27T00:00:00.000Z,2021-02-27T23:59:59.999Z,2021-02-27T22:37:05.000Z,2021-02-27T00:05:05.000Z,1.836e-05,2.6e-05,1.833e-05,2.578e-05,204.2,0.0,2021-02-27T23:59:59.999Z
54,2021-02-28T00:00:00.000Z,2021-02-28T23:59:59.999Z,2021-02-28T00:21:05.000Z,2021-02-28T10:09:05.000Z,2.577e-05,2.577e-05,1.994e-05,2.156e-05,505.7,0.0,2021-02-28T23:59:59.999Z
55,2021-03-01T00:00:00.000Z,2021-03-01T23:59:59.999Z,2021-03-01T09:22:05.000Z,2021-03-01T18:23:05.000Z,2.157e-05,2.243e-05,1.531e-05,1.589e-05,3297.77,0.0,2021-03-01T23:59:59.999Z
56,2021-03-02T00:00:00.000Z,2021-03-02T23:59:59.999Z,2021-03-02T22:12:04.000Z,2021-03-02T01:20:05.000Z,1.589e-05,3.497e-05,1.565e-05,3.351e-05,2220.42,0.0,2021-03-02T23:59:59.999Z
57,2021-03-03T00:00:00.000Z,2021-03-03T23:59:59.999Z,2021-03-03T05:33:05.000Z,2021-03-03T14:49:04.000Z,3.351e-05,4.169e-05,2.229e-05,3.833e-05,415.58,0.0,2021-03-03T23:59:59.999Z
