,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:28:04.000Z,2021-01-08T02:47:04.000Z,0.00688993,0.0073115,0.00644676,0.00693958,19.55419838,18253.21081762,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:17:04.000Z,2021-01-09T07:06:04.000Z,0.00693559,0.00725136,0.00662675,0.00705199,0.0,18548.8672863,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:51:04.000Z,2021-01-10T20:33:04.000Z,0.00704473,0.00724853,0.00629731,0.00671749,0.0,17669.05246939,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:04.000Z,2021-01-11T16:48:04.000Z,0.00671548,0.00671548,0.00534618,0.00621816,0.0,16355.64138105,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:04.000Z,2021-01-12T14:39:04.000Z,0.00622416,0.00639949,0.00555866,0.00592917,0.0,15595.51293981,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:06.000Z,2021-01-13T01:02:04.000Z,0.00593652,0.00657999,0.00570232,0.00652684,0.0,17167.58362486,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:04.000Z,2021-01-14T03:34:04.000Z,0.00653036,0.00699412,0.00635061,0.00685799,0.0,18050.61101954,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:04.000Z,2021-01-15T16:12:04.000Z,0.00685778,0.0069261,0.00606543,0.00644425,0.0,16962.78861413,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:04.000Z,2021-01-16T22:09:04.000Z,0.00644444,0.00662626,0.00623587,0.00633618,0.0,16679.4821102,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T18:32:04.000Z,2021-01-17T20:30:05.000Z,0.00633117,0.00681472,0.00463143,0.00465062,8.8541513,12243.26527357,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T23:54:04.000Z,2021-01-18T05:33:04.000Z,0.00465287,0.00569655,0.0045349,0.00569233,0.0,14986.71874361,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:09:04.000Z,2021-01-19T23:59:04.000Z,0.00567959,0.02334974,0.00397962,0.00397962,43.39204082,10478.25826063,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T23:33:04.000Z,2021-01-20T16:09:04.000Z,0.003968,0.02674954,0.00369275,0.02671652,3.01e-06,70349.01194289,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:04.000Z,2021-01-21T22:43:04.000Z,0.02666516,0.02666516,0.01300782,0.01327741,0.0,34964.00739151,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:04.000Z,2021-01-22T01:21:04.000Z,0.013252,0.0145391,0.01244995,0.01416419,0.0,37301.82666943,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:03:04.000Z,2021-01-23T13:09:04.000Z,0.01419203,0.01434522,0.01354206,0.01378276,0.0,36299.85642015,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:10:04.000Z,2021-01-24T19:36:04.000Z,0.01378476,0.01416592,0.01337587,0.01389476,0.0,36597.44601792,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:15:06.000Z,2021-01-25T22:34:04.000Z,0.01388611,0.01496518,0.01379775,0.01390791,0.0,36634.57261528,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T01:52:04.000Z,2021-01-26T02:27:04.000Z,0.01391829,0.01409686,0.00356846,0.01010594,6.74e-06,26621.86338043,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:04.000Z,2021-01-27T23:48:04.000Z,0.01009711,0.01009711,0.00634593,0.00638001,0.0,16807.8616031,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:25:06.000Z,2021-01-28T00:27:04.000Z,0.00639206,0.00711025,0.00630487,0.00702646,0.0,18512.21,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T22:16:04.000Z,2021-01-29T00:00:04.000Z,0.00702788,0.01586596,0.00702788,0.01540732,0.01,40595.65,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T01:30:04.000Z,2021-01-30T23:43:04.000Z,0.01544334,0.01567562,0.00959087,0.0096042,0.0,25307.22,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:09:04.000Z,2021-01-31T18:03:04.000Z,0.00959227,0.00960073,0.00903565,0.00927855,0.0,24450.79,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T09:09:04.000Z,2021-02-01T00:32:04.000Z,0.00927032,0.0096987,0.00906758,0.00938213,0.0,24725.56,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T20:12:04.000Z,2021-02-02T00:04:04.000Z,0.00939228,0.01005113,0.00937698,0.00994305,0.0,26205.69,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T23:43:04.000Z,2021-02-03T00:09:04.000Z,0.00994675,0.01049445,0.00992432,0.01047886,0.0,27619.71,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T08:33:04.000Z,2021-02-04T13:53:04.000Z,0.01048638,0.01080581,0.00411542,0.01034226,0.0,27261.64,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T14:03:04.000Z,2021-02-05T02:03:04.000Z,0.01033893,0.01070325,0.01026445,0.01065269,0.0,28081.88,2021-02-05T23:59:59.999Z
29,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T16:04:04.000Z,2021-02-06T00:00:05.000Z,0.01067448,0.01143703,0.01067448,0.01098519,0.0,28960.67,2021-02-06T23:59:59.999Z
30,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T09:57:04.000Z,2021-02-07T16:21:04.000Z,0.01099616,0.01109411,0.00524246,0.00544704,0.07,14361.4,2021-02-07T23:59:59.999Z
31,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T16:17:04.000Z,2021-02-08T04:03:04.000Z,0.00544659,0.01301741,0.00533069,0.00923093,0.48,24339.66,2021-02-08T23:59:59.999Z
32,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T00:09:04.000Z,2021-02-09T13:05:05.000Z,0.00924079,0.00942627,0.00632337,0.00650658,0.08,17157.54,2021-02-09T23:59:59.999Z
33,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T10:23:04.000Z,2021-02-10T04:17:04.000Z,0.00650735,0.01390794,0.00639051,0.00898527,0.02,23695.4,2021-02-10T23:59:59.999Z
34,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T13:30:05.000Z,2021-02-11T01:16:04.000Z,0.00898364,0.0096102,0.00883755,0.00909813,0.05,23994.72,2021-02-11T23:59:59.999Z
35,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T21:44:04.000Z,2021-02-12T14:44:04.000Z,0.00910277,0.01538431,0.00890011,0.01520682,0.0,40108.13,2021-02-12T23:59:59.999Z
36,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T03:12:04.000Z,2021-02-13T11:55:05.000Z,0.01520155,0.01536894,0.01484553,0.01507559,0.0,39764.64,2021-02-13T23:59:59.999Z
37,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T01:41:04.000Z,2021-02-14T04:03:04.000Z,0.01507377,0.01523421,0.00804124,0.00974529,0.19,25706.73,2021-02-14T23:59:59.999Z
38,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T17:08:04.000Z,2021-02-15T02:35:05.000Z,0.00974346,0.01582732,0.0092695,0.01006822,1.0,26560.53,2021-02-15T23:59:59.999Z
39,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T23:57:04.000Z,2021-02-16T00:38:04.000Z,0.01006846,0.02216347,0.00991227,0.02214098,0.01,58413.34,2021-02-16T23:59:59.999Z
40,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T09:53:05.000Z,2021-02-17T13:40:06.000Z,0.02213994,0.02323389,0.00914619,0.00938717,0.01,24767.46,2021-02-17T23:59:59.999Z
41,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T15:02:04.000Z,2021-02-18T12:17:04.000Z,0.00938682,0.03759851,0.00918295,0.03722103,0.01,98212.23,2021-02-18T23:59:59.999Z
42,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T14:13:04.000Z,2021-02-19T22:21:05.000Z,0.03720945,0.03812454,0.0099309,0.01004881,0.06,26516.88,2021-02-19T23:59:59.999Z
43,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T19:04:04.000Z,2021-02-20T09:16:05.000Z,0.01006172,0.01201903,0.00994414,0.01179012,0.06,31114.11,2021-02-20T23:59:59.999Z
44,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T05:33:05.000Z,2021-02-21T07:34:04.000Z,0.01178458,0.01195314,0.01010162,0.01035015,2.16,27316.0,2021-02-21T23:59:59.999Z
45,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T23:58:05.000Z,2021-02-22T14:21:05.000Z,0.01035794,0.03905425,0.00881426,0.03904916,0.01,103065.19,2021-02-22T23:59:59.999Z
