,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T23:54:05.000Z,2021-01-05T05:02:05.000Z,0.07086535,0.07838115,0.06316252,0.07814461,3098.32431723,1941978.92785152,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:58:05.000Z,2021-01-06T14:46:09.000Z,0.07815539,0.08296282,0.06818107,0.08292453,8814.61409584,2060812.27006462,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T10:03:05.000Z,2021-01-07T00:17:05.000Z,0.08283835,0.1048992,0.07657578,0.08507616,18615.00954261,2114348.95042014,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T11:17:04.000Z,2021-01-08T20:13:04.000Z,0.08511474,0.09561125,0.07698932,0.08792043,2938.51472355,2185089.69873277,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T22:02:04.000Z,2021-01-09T01:39:04.000Z,0.08786991,0.08939278,0.07650554,0.08806706,3276.49568209,2189057.84243436,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T08:18:04.000Z,2021-01-10T08:25:04.000Z,0.08806472,0.09810058,0.07145636,0.07904946,14144.68953826,1965068.99769438,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T05:03:04.000Z,2021-01-11T16:06:04.000Z,0.07901297,0.09349912,0.06497493,0.07945755,5148.13917996,1975344.16481325,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T06:03:04.000Z,2021-01-12T03:15:05.000Z,0.07932695,0.09270598,0.0735723,0.08134759,5340.35992357,2022437.98215535,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T00:37:04.000Z,2021-01-13T07:21:04.000Z,0.08131429,0.08545561,0.05820769,0.06716192,55545.09760604,1669822.30286648,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T07:16:04.000Z,2021-01-14T21:45:05.000Z,0.06711772,0.07013819,0.06398545,0.06661566,12148.0611673,1656342.46997629,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:40:04.000Z,2021-01-15T16:12:04.000Z,0.06660881,0.0672703,0.05722477,0.06281302,3241.70423589,1561853.08090027,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:04.000Z,2021-01-16T20:34:04.000Z,0.06296949,0.06436943,0.05620933,0.06338012,4135.50531127,1576003.0207172,2021-01-16T23:59:59.999Z
