,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:28:04.000Z,2021-01-08T05:55:05.000Z,0.00118113,0.0012534,0.00076321,0.00081642,20625.55971717,4014754.93661306,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:04.000Z,2021-01-09T07:05:05.000Z,0.00081595,0.00124297,0.00077962,0.00120767,14856.26412745,5938882.98503146,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T03:55:05.000Z,2021-01-10T12:08:04.000Z,0.00120764,0.00162789,0.0007815,0.00115122,72818.23908802,5661459.38090389,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:05:05.000Z,2021-01-11T07:22:04.000Z,0.00115069,0.00152327,0.00066012,0.00142363,44452.73030775,7001282.62676919,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T00:01:04.000Z,2021-01-12T14:35:05.000Z,0.00142129,0.00142267,0.00066027,0.00067762,23443.19743216,3332552.649372,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:06:04.000Z,2021-01-13T01:35:05.000Z,0.00067762,0.001128,0.00065392,0.00111889,4818.48663403,5502871.39742776,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:39:04.000Z,2021-01-14T05:15:05.000Z,0.00111889,0.00119899,0.00074704,0.00117578,8026.56781249,5782812.08394943,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:18:04.000Z,2021-01-15T16:13:04.000Z,0.00117566,0.00118525,0.00069319,0.00110198,18797.94916079,5420017.95944335,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:04.000Z,2021-01-16T05:42:04.000Z,0.00110473,0.00113593,0.00071382,0.00108652,9828.53556724,5344122.63940335,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:04.000Z,2021-01-17T08:54:04.000Z,0.0010862,0.00110167,0.00068848,0.00107465,7516.75820286,5285875.37985775,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:05.000Z,2021-01-18T18:57:05.000Z,0.00107322,0.00111898,0.00071442,0.00109928,9775.69783836,5330174.89939695,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:05.000Z,2021-01-19T23:57:05.000Z,0.0010989,0.00113268,0.00072386,0.00108218,25680.86434031,5247415.29927316,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:39:05.000Z,2021-01-20T11:28:05.000Z,0.00108209,0.00108609,0.00068258,0.00071107,10613.26811393,3448028.07002954,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:03:05.000Z,2021-01-21T22:42:05.000Z,0.00071096,0.00106658,0.00060501,0.00092456,17197.43794603,4483358.54016127,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:32:05.000Z,2021-01-22T00:35:05.000Z,0.00092477,0.00101436,0.0005886,0.00099014,27336.16299895,4801513.97834722,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:20:06.000Z,2021-01-23T11:35:06.000Z,0.00099017,0.00099879,0.00063353,0.00096173,3046.35078822,4663836.78410062,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T08:05:06.000Z,2021-01-24T19:35:07.000Z,0.00096203,0.00098796,0.00062213,0.00064587,9831.17071671,3132161.33160856,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:14:05.000Z,2021-01-25T22:33:05.000Z,0.00064579,0.00104408,0.00064176,0.00064736,4359.53042697,3139496.1020807,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T01:51:05.000Z,2021-01-26T14:50:06.000Z,0.00064733,0.0009835,0.00062061,0.00065143,4917.57480264,3159290.6414984,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T01:41:05.000Z,2021-01-27T14:54:05.000Z,0.0006514,0.00096849,0.00058734,0.00060877,13870.83944427,2952474.19492995,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:25:07.000Z,2021-01-28T00:26:05.000Z,0.00060865,0.00101575,0.00060046,0.00100378,19695.6,4868377.05,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T22:12:05.000Z,2021-01-29T01:42:05.000Z,0.00102947,0.00245761,0.00067781,0.00205431,547706.19,9963713.84,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T00:15:05.000Z,2021-01-30T03:59:05.000Z,0.00205911,0.00243589,0.00132689,0.00205804,191623.8,9982070.14,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:09:05.000Z,2021-01-31T19:07:05.000Z,0.00205549,0.0020573,0.00130344,0.00165688,120392.62,8036537.3,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T09:09:05.000Z,2021-02-01T00:37:05.000Z,0.00165541,0.00173191,0.0012977,0.0013403,134254.71,6501148.07,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T21:53:05.000Z,2021-02-02T00:04:05.000Z,0.00134175,0.00179003,0.00133957,0.00177554,99413.15,8612483.62,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T23:28:05.000Z,2021-02-03T10:37:05.000Z,0.00177621,0.00187364,0.00143256,0.00149698,166961.18,7261459.01,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T08:41:05.000Z,2021-02-04T16:15:07.000Z,0.00149805,0.0019209,0.0014595,0.00147747,57994.57,7166988.41,2021-02-04T23:59:59.999Z
