,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T10:09:02.000Z,2021-01-08T20:12:02.000Z,2.177e-05,3.397e-05,1.091e-05,1.111e-05,2815.49240311,1006721.88369951,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T01:18:02.000Z,2021-01-09T23:57:02.000Z,1.111e-05,1.182e-05,9.04e-06,9.05e-06,2984.64301424,819459.89779846,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T09:20:03.000Z,2021-01-10T04:02:02.000Z,9.04e-06,1.021e-05,8.26e-06,9.74e-06,4535.13866112,882437.50923659,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T22:15:03.000Z,2021-01-11T00:00:03.000Z,9.74e-06,2.734e-05,9.74e-06,1.271e-05,6984.41767087,1151163.42364734,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T00:08:02.000Z,2021-01-12T23:30:03.000Z,1.272e-05,1.34e-05,8.56e-06,8.68e-06,7608.43036788,786794.70667943,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:03.000Z,2021-01-13T02:42:02.000Z,8.7e-06,8.719e-05,7.95e-06,8.436e-05,615.20692063,7642313.78421712,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:55:02.000Z,2021-01-14T12:26:02.000Z,8.44e-05,8.76e-05,8.52e-06,1.06e-05,6057.7969765,959937.71047937,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T16:02:02.000Z,2021-01-15T01:05:02.000Z,1.06e-05,1.791e-05,9.35e-06,1.27e-05,6240.36463194,1150425.69155902,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T13:12:02.000Z,2021-01-16T02:26:02.000Z,1.27e-05,1.887e-05,1.19e-05,1.644e-05,8531.57137681,1488952.42929884,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T02:10:02.000Z,2021-01-17T10:44:02.000Z,1.642e-05,1.736e-05,1.264e-05,1.361e-05,3760.31264,1232638.49634061,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T02:59:02.000Z,2021-01-18T04:15:02.000Z,1.361e-05,1.581e-05,1.299e-05,1.431e-05,4124.91970072,1296504.89469586,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:22:02.000Z,2021-01-19T00:53:02.000Z,1.431e-05,1.613e-05,1.423e-05,1.562e-05,4633.23296854,1414805.71229618,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T08:32:02.000Z,2021-01-20T23:10:03.000Z,1.562e-05,1.881e-05,1.491e-05,1.52e-05,2744.3919389,1376714.43169139,2021-01-20T23:59:59.999Z
