,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T23:10:10.000Z,2021-01-08T02:47:07.000Z,3.1e-07,3.6e-07,2.9e-07,3.5e-07,0.99374353,59490.69072531,2021-01-08T23:59:59.999Z
1,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T00:08:07.000Z,2021-01-09T00:59:07.000Z,3.5e-07,3.5e-07,3.1e-07,3.1e-07,6.40341118,53300.36514701,2021-01-09T23:59:59.999Z
2,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T14:04:07.000Z,2021-01-10T20:30:15.000Z,3.1e-07,8e-07,2.8e-07,3.1e-07,21.48286213,52752.48290858,2021-01-10T23:59:59.999Z
3,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T17:44:07.000Z,2021-01-11T17:08:07.000Z,3.1e-07,3.9e-07,2.2e-07,2.7e-07,6.75273837,47251.8119317,2021-01-11T23:59:59.999Z
4,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T09:16:06.000Z,2021-01-12T13:59:06.000Z,2.7e-07,4.4e-07,2.5e-07,2.7e-07,5.94836956,45769.04842992,2021-01-12T23:59:59.999Z
5,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T06:26:07.000Z,2021-01-13T00:59:06.000Z,2.7e-07,4e-07,2.5e-07,3.4e-07,12.10716189,59165.74603961,2021-01-13T23:59:59.999Z
6,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:05:07.000Z,2021-01-14T04:59:06.000Z,3.4e-07,3.5e-07,2.6e-07,2.9e-07,7.37789226,50342.01030488,2021-01-14T23:59:59.999Z
7,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T09:59:06.000Z,2021-01-15T16:06:06.000Z,2.9e-07,3.9e-07,2.7e-07,3.7e-07,5.66201453,64367.29589767,2021-01-15T23:59:59.999Z
8,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T22:37:06.000Z,2021-01-16T22:06:06.000Z,3.7e-07,4.5e-07,2.8e-07,4.5e-07,7.69156272,77803.38016841,2021-01-16T23:59:59.999Z
9,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T00:41:06.000Z,2021-01-17T05:59:06.000Z,4.5e-07,4.6e-07,2.8e-07,2.8e-07,6.10437608,48588.86079078,2021-01-17T23:59:59.999Z
10,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T18:59:06.000Z,2021-01-18T00:00:06.000Z,2.8e-07,3.2e-07,2.8e-07,2.8e-07,25.45257988,48949.34622081,2021-01-18T23:59:59.999Z
11,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T11:56:06.000Z,2021-01-19T00:51:06.000Z,2.8e-07,3.3e-07,2.8e-07,2.8e-07,1.45753844,48567.4768056,2021-01-19T23:59:59.999Z
12,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T00:47:06.000Z,2021-01-20T10:46:07.000Z,2.8e-07,3.2e-07,2.7e-07,2.9e-07,3.52717163,49902.86512346,2021-01-20T23:59:59.999Z
13,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:05:06.000Z,2021-01-21T22:42:07.000Z,2.9e-07,2.9e-07,2.4e-07,2.5e-07,4.01471913,42691.18280171,2021-01-21T23:59:59.999Z
14,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T14:35:08.000Z,2021-01-22T01:23:07.000Z,2.5e-07,2.7e-07,2.3e-07,2.6e-07,2.85651254,44579.79290141,2021-01-22T23:59:59.999Z
15,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:58:06.000Z,2021-01-23T00:21:06.000Z,2.6e-07,2.8e-07,2.6e-07,2.6e-07,0.7387247,44882.39169256,2021-01-23T23:59:59.999Z
16,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:27:06.000Z,2021-01-24T00:05:07.000Z,2.6e-07,2.7e-07,2.6e-07,2.7e-07,2.46870242,45671.75276001,2021-01-24T23:59:59.999Z
17,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T00:53:06.000Z,2021-01-25T21:43:06.000Z,2.7e-07,2.7e-07,2.5e-07,2.5e-07,3.74241131,43806.64663178,2021-01-25T23:59:59.999Z
18,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T10:47:07.000Z,2021-01-26T14:49:07.000Z,2.5e-07,2.8e-07,2.4e-07,2.5e-07,12.85361509,43140.42717111,2021-01-26T23:59:59.999Z
19,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T12:46:06.000Z,2021-01-27T18:59:06.000Z,2.5e-07,2.6e-07,2.2e-07,2.3e-07,2.50666372,39918.33364383,2021-01-27T23:59:59.999Z
20,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:59:07.000Z,2021-01-28T00:26:07.000Z,2.3e-07,9.1e-07,2.3e-07,9.1e-07,36.75,156434.59,2021-01-28T23:59:59.999Z
21,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T03:27:07.000Z,2021-01-29T10:09:07.000Z,9.1e-07,1.72e-06,3.7e-07,4.8e-07,116.27,82810.82,2021-01-29T23:59:59.999Z
22,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T16:01:07.000Z,2021-01-30T17:09:07.000Z,4.8e-07,8.1e-07,2.7e-07,3.4e-07,9.49,57944.46,2021-01-30T23:59:59.999Z
23,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T12:47:06.000Z,2021-01-31T00:07:06.000Z,3.4e-07,7.9e-07,3.3e-07,5.3e-07,6.12,90504.72,2021-01-31T23:59:59.999Z
24,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T01:06:07.000Z,2021-02-01T22:47:07.000Z,5.3e-07,5.7e-07,3.4e-07,3.5e-07,15.74,60366.68,2021-02-01T23:59:59.999Z
25,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T00:01:06.000Z,2021-02-02T14:46:06.000Z,3.5e-07,3.5e-07,1.6e-07,1.8e-07,10.45,30201.8,2021-02-02T23:59:59.999Z
26,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T21:53:06.000Z,2021-02-03T00:02:06.000Z,1.8e-07,3.7e-07,1.7e-07,2.1e-07,4.52,35684.79,2021-02-03T23:59:59.999Z
27,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T10:51:07.000Z,2021-02-04T00:48:06.000Z,2.1e-07,5.1e-07,2e-07,2.8e-07,12.55,47759.65,2021-02-04T23:59:59.999Z
28,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T09:16:07.000Z,2021-02-05T04:35:07.000Z,2.8e-07,3.6e-07,2.3e-07,2.6e-07,7.7,45194.74,2021-02-05T23:59:59.999Z
