,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:07.000Z,2021-01-05T06:18:06.000Z,0.00095889,0.00103313,0.00090664,0.00102099,0.0,12247.15058498,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:06.000Z,2021-01-06T00:27:06.000Z,0.00101963,0.00110639,0.00100542,0.00110639,0.0,13271.53844494,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:07.000Z,2021-01-07T08:27:06.000Z,0.00110588,0.001204,0.00109474,0.0011806,0.0,14161.65263443,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:10:09.000Z,2021-01-08T02:47:07.000Z,0.00118113,0.00125825,0.00110516,0.00122463,0.0,14689.88049075,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:07.000Z,2021-01-09T07:05:08.000Z,0.00122393,0.00124297,0.00116943,0.00120767,0.0,14486.39691445,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:07.000Z,2021-01-10T20:32:07.000Z,0.00120764,0.00124261,0.00107954,0.00115122,0.0,13809.33332293,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:07.000Z,2021-01-11T16:49:06.000Z,0.00115069,0.00115069,0.00091649,0.00106772,0.0,12807.71999005,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:48:07.000Z,2021-01-12T14:40:08.000Z,0.00106597,0.00109706,0.00098094,0.00101643,0.0,12192.40917,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:06:06.000Z,2021-01-13T01:03:06.000Z,0.00101643,0.001128,0.00097754,0.00111889,0.0,13421.4376163,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:39:06.000Z,2021-01-14T04:15:07.000Z,0.00111889,0.00119899,0.00110606,0.00117578,3e-07,14103.84655579,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:06.000Z,2021-01-15T16:13:06.000Z,0.00117566,0.00118733,0.00103979,0.00110198,0.0,13218.66214402,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:06.000Z,2021-01-16T22:10:09.000Z,0.00110473,0.00113593,0.00106901,0.00108652,0.0,13033.2195075,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:07.000Z,2021-01-17T10:06:07.000Z,0.0010862,0.00110167,0.00102208,0.00107465,0.0,12890.8196436,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:29:08.000Z,2021-01-18T05:32:07.000Z,0.00107322,0.00111898,0.00104652,0.00109928,0.0,13186.19158057,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:14:07.000Z,2021-01-19T23:59:08.000Z,0.0010989,0.00113268,0.00108218,0.00108218,0.0,12981.10816816,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:06:08.000Z,2021-01-20T16:08:07.000Z,0.00108209,0.00109135,0.00100711,0.00106661,0.0,12794.31054855,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:03:08.000Z,2021-01-21T22:42:08.000Z,0.00106643,0.00106658,0.00090752,0.00092456,0.0,11090.3894944,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:32:08.000Z,2021-01-22T01:20:08.000Z,0.00092477,0.00101436,0.0008686,0.00099014,0.0,11877.08879245,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T09:05:09.000Z,2021-01-23T02:47:08.000Z,0.00099017,0.00165519,0.00096545,0.00160288,3e-07,19227.07732275,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:09:08.000Z,2021-01-24T19:35:11.000Z,0.00160338,0.0016472,0.00155533,0.00161466,0.0,19368.44175792,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:14:07.000Z,2021-01-25T22:33:08.000Z,0.00161447,0.00174014,0.00160439,0.00161841,0.0,19413.3312393,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:05:13.000Z,2021-01-26T14:50:10.000Z,0.00161832,0.00163973,0.00155151,0.00162857,0.0,19535.20792977,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:10.000Z,2021-01-27T14:54:08.000Z,0.00162849,0.00162849,0.00146836,0.00152192,0.0,18255.93183493,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:25:11.000Z,2021-01-28T00:26:08.000Z,0.00152163,0.00169292,0.00150116,0.00167297,0.0,20067.82,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:00:13.000Z,2021-01-29T07:37:08.000Z,0.0016733,0.00192031,0.00160324,0.00171192,0.0,20535.12,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T01:30:08.000Z,2021-01-30T03:54:07.000Z,0.00171593,0.00174174,0.00164701,0.00171504,0.0,20572.45,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:09:08.000Z,2021-01-31T18:03:08.000Z,0.00171291,0.00171442,0.00161351,0.00165688,0.0,19874.9,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T09:09:08.000Z,2021-02-01T00:32:08.000Z,0.00165541,0.00173191,0.00161921,0.00167538,0.0,20096.76,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T20:12:08.000Z,2021-02-02T00:04:08.000Z,0.00167719,0.00179484,0.00167446,0.00177554,0.0,21298.27,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T23:43:08.000Z,2021-02-03T00:09:08.000Z,0.00177621,0.00187401,0.0017722,0.00187122,0.0,22445.99,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T08:33:08.000Z,2021-02-04T15:29:08.000Z,0.00187257,0.00192961,0.00181587,0.00184683,0.0,22153.39,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T23:59:08.000Z,2021-02-05T22:37:08.000Z,0.00184624,0.00228272,0.00151338,0.00228272,0.01,27382.0,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T16:04:08.000Z,2021-02-06T00:00:08.000Z,0.00228739,0.00285926,0.00228739,0.0027463,0.01,32942.79,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T09:57:08.000Z,2021-02-07T16:21:12.000Z,0.00274904,0.00277353,0.00262123,0.00272352,0.0,32669.59,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T23:59:08.000Z,2021-02-08T04:03:08.000Z,0.00272329,0.00507701,0.00266534,0.00507701,0.01,60900.51,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T12:15:13.000Z,2021-02-09T13:06:10.000Z,0.00508243,0.00560498,0.00316169,0.00325352,0.01,39027.04,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T23:39:08.000Z,2021-02-10T15:39:08.000Z,0.00325329,0.00407408,0.00310726,0.00403981,0.01,48458.94,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T13:31:10.000Z,2021-02-11T15:15:12.000Z,0.00404337,0.00432459,0.00142932,0.00382298,0.01,45857.9,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T00:24:08.000Z,2021-02-12T14:51:14.000Z,0.00383079,0.00389966,0.003714,0.00380373,0.0,45627.03,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T03:13:08.000Z,2021-02-13T11:56:09.000Z,0.00380171,0.00384223,0.00371138,0.00376768,0.0,45194.59,2021-02-13T23:59:59.999Z
40,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T12:19:08.000Z,2021-02-14T00:01:08.000Z,0.0037689,0.00395901,0.00376844,0.00389767,0.0,46753.91,2021-02-14T23:59:59.999Z
41,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T00:51:08.000Z,2021-02-15T10:16:09.000Z,0.00389812,0.00391005,0.00331668,0.00335726,0.01,40271.44,2021-02-15T23:59:59.999Z
42,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T12:38:08.000Z,2021-02-16T00:39:08.000Z,0.00335607,0.00352388,0.00330409,0.0034466,0.0,41343.14,2021-02-16T23:59:59.999Z
43,2021-02-17T00:00:00.000Z,2021-02-17T23:59:59.999Z,2021-02-17T21:39:10.000Z,2021-02-17T01:03:08.000Z,0.00344415,0.00367737,0.00343507,0.00365111,0.01,43796.27,2021-02-17T23:59:59.999Z
44,2021-02-18T00:00:00.000Z,2021-02-18T23:59:59.999Z,2021-02-18T00:27:09.000Z,2021-02-18T12:17:08.000Z,0.00365057,0.00367319,0.0035711,0.00361871,0.01,43407.68,2021-02-18T23:59:59.999Z
45,2021-02-19T00:00:00.000Z,2021-02-19T23:59:59.999Z,2021-02-19T21:30:16.000Z,2021-02-19T02:35:08.000Z,0.00361759,0.00392796,0.00356561,0.00391289,0.0,46936.46,2021-02-19T23:59:59.999Z
46,2021-02-20T00:00:00.000Z,2021-02-20T23:59:59.999Z,2021-02-20T12:48:08.000Z,2021-02-20T22:44:09.000Z,0.00391217,0.00402537,0.00382386,0.00392709,0.0,47106.85,2021-02-20T23:59:59.999Z
47,2021-02-21T00:00:00.000Z,2021-02-21T23:59:59.999Z,2021-02-21T19:10:14.000Z,2021-02-21T00:17:08.000Z,0.00392697,0.00408314,0.00389708,0.00402809,0.0,48318.3,2021-02-21T23:59:59.999Z
48,2021-02-22T00:00:00.000Z,2021-02-22T23:59:59.999Z,2021-02-22T00:00:10.000Z,2021-02-22T14:20:12.000Z,0.0040278,0.0040278,0.00342773,0.00379554,0.0,45528.82,2021-02-22T23:59:59.999Z
49,2021-02-23T00:00:00.000Z,2021-02-23T23:59:59.999Z,2021-02-23T00:00:13.000Z,2021-02-23T11:48:08.000Z,0.00379451,0.00379451,0.00317034,0.00340533,0.0,40848.07,2021-02-23T23:59:59.999Z
50,2021-02-24T00:00:00.000Z,2021-02-24T23:59:59.999Z,2021-02-24T04:17:10.000Z,2021-02-24T00:30:10.000Z,0.0034169,0.00359031,0.00330494,0.00347538,0.01,41688.41,2021-02-24T23:59:59.999Z
51,2021-02-25T00:00:00.000Z,2021-02-25T23:59:59.999Z,2021-02-25T13:15:12.000Z,2021-02-25T23:54:08.000Z,0.0034789,0.00363491,0.00329887,0.00331683,0.0,39786.54,2021-02-25T23:59:59.999Z
52,2021-02-26T00:00:00.000Z,2021-02-26T23:59:59.999Z,2021-02-26T00:18:08.000Z,2021-02-26T07:48:08.000Z,0.0032994,0.00332888,0.00222274,0.00231344,0.01,27750.46,2021-02-26T23:59:59.999Z
53,2021-02-27T00:00:00.000Z,2021-02-27T23:59:59.999Z,2021-02-27T06:49:08.000Z,2021-02-27T23:30:16.000Z,0.00231662,0.00241266,0.00226345,0.00231355,0.0,27751.8,2021-02-27T23:59:59.999Z
54,2021-02-28T00:00:00.000Z,2021-02-28T23:59:59.999Z,2021-02-28T01:27:08.000Z,2021-02-28T18:03:08.000Z,0.00231037,0.00233582,0.00216208,0.00225501,0.0,27049.64,2021-02-28T23:59:59.999Z
55,2021-03-01T00:00:00.000Z,2021-03-01T23:59:59.999Z,2021-03-01T23:54:08.000Z,2021-03-01T00:09:08.000Z,0.00225647,0.00248898,0.00225575,0.00248141,0.0,29765.33,2021-03-01T23:59:59.999Z
56,2021-03-02T00:00:00.000Z,2021-03-02T23:59:59.999Z,2021-03-02T00:27:08.000Z,2021-03-02T20:50:14.000Z,0.00248232,0.00250638,0.00236144,0.00241872,0.0,29013.33,2021-03-02T23:59:59.999Z
57,2021-03-03T00:00:00.000Z,2021-03-03T23:59:59.999Z,2021-03-03T13:05:11.000Z,2021-03-03T00:09:09.000Z,0.00241893,0.00262676,0.00241372,0.00252755,0.0,30318.84,2021-03-03T23:59:59.999Z
58,2021-03-04T00:00:00.000Z,2021-03-04T23:59:59.999Z,2021-03-04T02:13:09.000Z,2021-03-04T20:15:21.000Z,0.00252755,0.00258675,0.00238396,0.00242825,0.0,29127.68,2021-03-04T23:59:59.999Z
59,2021-03-05T00:00:00.000Z,2021-03-05T23:59:59.999Z,2021-03-05T20:06:18.000Z,2021-03-05T01:30:09.000Z,0.00242806,0.00246982,0.00232713,0.00244677,0.0,29349.85,2021-03-05T23:59:59.999Z
60,2021-03-06T00:00:00.000Z,2021-03-06T23:59:59.999Z,2021-03-06T00:32:09.000Z,2021-03-06T13:31:13.000Z,0.00244637,0.00245736,0.00236353,0.00244604,0.0,29341.08,2021-03-06T23:59:59.999Z
61,2021-03-07T00:00:00.000Z,2021-03-07T23:59:59.999Z,2021-03-07T23:57:13.000Z,2021-03-07T00:01:08.000Z,0.00244604,0.00256922,0.00244562,0.00256132,0.0,30723.94,2021-03-07T23:59:59.999Z
62,2021-03-08T00:00:00.000Z,2021-03-08T23:59:59.999Z,2021-03-08T23:55:16.000Z,2021-03-08T08:22:09.000Z,0.00256132,0.00261539,0.0024753,0.0026122,0.0,31334.29,2021-03-08T23:59:59.999Z
63,2021-03-09T00:00:00.000Z,2021-03-09T23:59:59.999Z,2021-03-09T23:24:09.000Z,2021-03-09T00:59:09.000Z,0.00261233,0.00274083,0.00259909,0.0027384,0.0,32848.0,2021-03-09T23:59:59.999Z
64,2021-03-10T00:00:00.000Z,2021-03-10T23:59:59.999Z,2021-03-10T19:25:12.000Z,2021-03-10T05:16:09.000Z,0.00274121,0.00286156,0.00266454,0.00280263,0.0,33618.53,2021-03-10T23:59:59.999Z
65,2021-03-11T00:00:00.000Z,2021-03-11T23:59:59.999Z,2021-03-11T23:09:08.000Z,2021-03-11T08:20:10.000Z,0.00280043,0.00290436,0.00272494,0.00289016,0.0,34668.45,2021-03-11T23:59:59.999Z
66,2021-03-12T00:00:00.000Z,2021-03-12T23:59:59.999Z,2021-03-12T00:05:08.000Z,2021-03-12T13:34:08.000Z,0.00289026,0.00289983,0.00276883,0.00286794,0.0,34401.88,2021-03-12T23:59:59.999Z
67,2021-03-13T00:00:00.000Z,2021-03-13T23:59:59.999Z,2021-03-13T20:46:08.000Z,2021-03-13T01:29:08.000Z,0.0028666,0.00308419,0.0028109,0.00306296,0.0,36741.29,2021-03-13T23:59:59.999Z
68,2021-03-14T00:00:00.000Z,2021-03-14T23:59:59.999Z,2021-03-14T00:30:09.000Z,2021-03-14T16:09:08.000Z,0.00306221,0.0030799,0.002972,0.00297316,0.0,35664.11,2021-03-14T23:59:59.999Z
69,2021-03-15T00:00:00.000Z,2021-03-15T23:59:59.999Z,2021-03-15T04:06:08.000Z,2021-03-15T12:24:10.000Z,0.00296744,0.00302705,0.00276966,0.00279314,0.0,33504.66,2021-03-15T23:59:59.999Z
70,2021-03-16T00:00:00.000Z,2021-03-16T23:59:59.999Z,2021-03-16T22:28:08.000Z,2021-03-16T01:09:09.000Z,0.00279526,0.00284034,0.00267775,0.00282998,0.0,33946.54,2021-03-16T23:59:59.999Z
71,2021-03-17T00:00:00.000Z,2021-03-17T23:59:59.999Z,2021-03-17T22:17:08.000Z,2021-03-17T12:17:08.000Z,0.00283928,0.00294849,0.00272643,0.00294232,0.0,35294.08,2021-03-17T23:59:59.999Z
72,2021-03-18T00:00:00.000Z,2021-03-18T23:59:59.999Z,2021-03-18T16:41:08.000Z,2021-03-18T13:35:11.000Z,0.00294354,0.00300581,0.00271268,0.00289305,0.0,34703.13,2021-03-18T23:59:59.999Z
73,2021-03-19T00:00:00.000Z,2021-03-19T23:59:59.999Z,2021-03-19T20:20:13.000Z,2021-03-19T00:26:08.000Z,0.00289295,0.00297492,0.00283219,0.00291674,0.0,34987.27,2021-03-19T23:59:59.999Z
74,2021-03-20T00:00:00.000Z,2021-03-20T23:59:59.999Z,2021-03-20T13:26:08.000Z,2021-03-20T00:14:07.000Z,0.00291733,0.00300156,0.00291066,0.00291634,0.0,34982.56,2021-03-20T23:59:59.999Z
75,2021-03-21T00:00:00.000Z,2021-03-21T23:59:59.999Z,2021-03-21T00:36:08.000Z,2021-03-21T10:03:09.000Z,0.00291568,0.00293839,0.00280028,0.00287578,0.0,34495.99,2021-03-21T23:59:59.999Z
76,2021-03-22T00:00:00.000Z,2021-03-22T23:59:59.999Z,2021-03-22T10:23:08.000Z,2021-03-22T22:08:08.000Z,0.00287617,0.00292357,0.00271441,0.00272683,0.0,32709.21,2021-03-22T23:59:59.999Z
77,2021-03-23T00:00:00.000Z,2021-03-23T23:59:59.999Z,2021-03-23T23:56:10.000Z,2021-03-23T06:26:07.000Z,0.00272646,0.00384222,0.00267353,0.00383342,0.01,45983.23,2021-03-23T23:59:59.999Z
78,2021-03-24T00:00:00.000Z,2021-03-24T23:59:59.999Z,2021-03-24T13:39:08.000Z,2021-03-24T01:07:08.000Z,0.00383173,0.00458099,0.00376794,0.00422167,0.01,50640.33,2021-03-24T23:59:59.999Z
79,2021-03-25T00:00:00.000Z,2021-03-25T23:59:59.999Z,2021-03-25T06:23:08.000Z,2021-03-25T12:41:08.000Z,0.00422194,0.00427139,0.00406853,0.0041367,0.0,49621.12,2021-03-25T23:59:59.999Z
80,2021-03-26T00:00:00.000Z,2021-03-26T23:59:59.999Z,2021-03-26T23:56:12.000Z,2021-03-26T00:02:08.000Z,0.00413633,0.00441066,0.00412639,0.00440951,0.0,52893.6,2021-03-26T23:59:59.999Z
81,2021-03-27T00:00:00.000Z,2021-03-27T23:59:59.999Z,2021-03-27T22:03:09.000Z,2021-03-27T12:54:09.000Z,0.00441099,0.00509114,0.00433943,0.00503828,0.01,60435.92,2021-03-27T23:59:59.999Z
82,2021-03-28T00:00:00.000Z,2021-03-28T23:59:59.999Z,2021-03-28T04:38:08.000Z,2021-03-28T19:20:12.000Z,0.00503762,0.00509011,0.00440569,0.00447618,0.01,53693.36,2021-03-28T23:59:59.999Z
83,2021-03-29T00:00:00.000Z,2021-03-29T23:59:59.999Z,2021-03-29T12:14:08.000Z,2021-03-29T05:45:10.000Z,0.00447606,0.00466737,0.00441115,0.00461988,0.01,55417.06,2021-03-29T23:59:59.999Z
