,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:45:14.000Z,2021-01-05T06:17:07.000Z,0.00543523,0.00585439,0.0051376,0.00577792,0.0,142715.94677011,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:58:07.000Z,2021-01-06T00:26:07.000Z,0.00577871,0.00626955,0.00569739,0.00626666,5.8e-07,154787.9325206,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:19:06.000Z,2021-01-07T08:26:07.000Z,0.00626014,0.00683066,0.0062035,0.00669583,0.0,165388.72354865,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:11:07.000Z,2021-01-08T02:48:07.000Z,0.00669004,0.00713007,0.00626257,0.00693559,0.0,171310.86748787,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:07.000Z,2021-01-09T07:05:08.000Z,0.00693958,0.00704348,0.00662675,0.00684345,0.0,169035.025393,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:07.000Z,2021-01-10T20:32:07.000Z,0.00684327,0.00704143,0.00611739,0.00652361,0.0,161134.68536665,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:07.000Z,2021-01-11T16:48:06.000Z,0.00652059,0.00652059,0.00519343,0.00604049,0.0,149201.69876959,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:06.000Z,2021-01-12T14:39:06.000Z,0.00604633,0.00621665,0.00555866,0.00575976,0.0,142267.54974586,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:09.000Z,2021-01-13T01:02:06.000Z,0.0057669,0.00639199,0.00553939,0.00634036,0.0,156608.51084504,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:06.000Z,2021-01-14T04:15:07.000Z,0.00634378,0.00679429,0.00626766,0.00666205,0.0,164554.29794096,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:06.000Z,2021-01-15T16:12:06.000Z,0.00666185,0.00672821,0.00589213,0.00626012,0.0,154626.63497478,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:08:07.000Z,2021-01-16T22:09:07.000Z,0.00626031,0.00643694,0.0060577,0.00615515,0.0,152033.64014081,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:32:07.000Z,2021-01-17T10:05:08.000Z,0.00615028,0.0062428,0.00579178,0.00608158,0.0,150216.6304385,2021-01-17T23:59:59.999Z
