,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T22:46:08.000Z,2021-01-05T00:00:07.000Z,0.00127852,0.00206626,0.00127852,0.00204198,2.1e-07,25289.92670888,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:59:07.000Z,2021-01-06T00:27:07.000Z,0.00203926,0.00221278,0.00201084,0.00221278,0.0,27405.25089949,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:19:07.000Z,2021-01-07T08:27:07.000Z,0.00221176,0.00241082,0.00218947,0.00236324,0.0,29268.60917238,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T15:11:07.000Z,2021-01-08T02:48:07.000Z,0.00236119,0.00251649,0.00221032,0.00244786,0.0,30316.64263379,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T14:14:07.000Z,2021-01-09T07:05:08.000Z,0.00244926,0.00248593,0.00233885,0.00241534,0.0,29913.89006762,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:07.000Z,2021-01-10T20:32:07.000Z,0.00241527,0.00248521,0.00215908,0.00230245,0.0,28515.77803442,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:07.000Z,2021-01-11T16:48:07.000Z,0.00230139,0.00230139,0.00183298,0.00213194,0.0,26404.01422445,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T07:47:07.000Z,2021-01-12T14:39:07.000Z,0.002134,0.00219411,0.00196188,0.00203286,0.0,25176.88765039,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T22:05:13.000Z,2021-01-13T01:02:07.000Z,0.00203538,0.002256,0.00195508,0.00223777,0.0,27714.78731216,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T15:38:07.000Z,2021-01-14T04:15:09.000Z,0.00223898,0.00239798,0.00221211,0.00235131,0.0,29120.94204932,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T00:39:07.000Z,2021-01-15T16:13:07.000Z,0.00235124,0.00237466,0.00207958,0.00220397,0.0,27296.06323476,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T10:09:07.000Z,2021-01-16T22:10:12.000Z,0.00220946,0.00227186,0.00213801,0.00217305,0.0,26913.13084133,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:07.000Z,2021-01-17T10:06:07.000Z,0.0021724,0.00220334,0.00204416,0.0021493,0.0,26619.08022949,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:12.000Z,2021-01-18T05:33:07.000Z,0.00214644,0.00223796,0.00209303,0.00220348,0.0,27290.07885919,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:11.000Z,2021-01-19T23:59:07.000Z,0.00219855,0.00226535,0.00217069,0.00217069,0.0,26883.97297259,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:07.000Z,2021-01-20T16:09:07.000Z,0.00216436,0.0021827,0.00201423,0.00213732,0.0,26470.67431685,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T00:00:07.000Z,2021-01-21T22:43:07.000Z,0.00213321,0.00213321,0.00181504,0.00185266,0.0,22945.16433217,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:07.000Z,2021-01-22T01:21:07.000Z,0.00184912,0.00202871,0.0017372,0.0019764,0.0,24477.64090684,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:03:07.000Z,2021-01-23T13:09:07.000Z,0.00198028,0.00200166,0.00188959,0.00192318,0.0,23818.48370118,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:10:08.000Z,2021-01-24T19:36:07.000Z,0.00192345,0.00197664,0.0018664,0.0019388,0.0,24012.03304777,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:15:11.000Z,2021-01-25T22:34:07.000Z,0.0019376,0.00208816,0.00192527,0.00194064,0.0,24034.75617466,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:06:07.000Z,2021-01-26T14:51:07.000Z,0.00194209,0.00196767,0.00186182,0.00195599,0.0,24224.86323445,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:07.000Z,2021-01-27T14:55:09.000Z,0.00195428,0.00195428,0.00176203,0.00182286,0.0,22576.08596585,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T23:26:07.000Z,2021-01-28T00:27:07.000Z,0.0018263,0.00237008,0.00180139,0.00233822,0.01,28958.81,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T13:59:07.000Z,2021-01-29T07:36:07.000Z,0.00234215,0.00268844,0.00224454,0.0024023,0.0,29752.4,2021-01-29T23:59:59.999Z
