,timeOpen,timeClose,timeHigh,timeLow,quoteOpen,quoteHigh,quoteLow,quoteClose,quoteVolume,quoteMarketCap,quoteTimestamp
0,2021-01-05T00:00:00.000Z,2021-01-05T23:59:59.999Z,2021-01-05T00:49:08.000Z,2021-01-05T16:08:08.000Z,0.00063944,0.00065692,0.0003195,0.00033988,6.46594333,41617.70140353,2021-01-05T23:59:59.999Z
1,2021-01-06T00:00:00.000Z,2021-01-06T23:59:59.999Z,2021-01-06T23:58:08.000Z,2021-01-06T00:26:08.000Z,0.00033988,0.00110639,0.00033514,0.00110588,43.14887853,135414.11669029,2021-01-06T23:59:59.999Z
2,2021-01-07T00:00:00.000Z,2021-01-07T23:59:59.999Z,2021-01-07T18:18:11.000Z,2021-01-07T12:13:08.000Z,0.00110473,0.00160534,0.00075919,0.00157413,157.54900227,192750.64428693,2021-01-07T23:59:59.999Z
3,2021-01-08T00:00:00.000Z,2021-01-08T23:59:59.999Z,2021-01-08T12:15:15.000Z,2021-01-08T12:53:08.000Z,0.00157484,0.00166643,0.00041215,0.00122463,44.87736714,149955.1643607,2021-01-08T23:59:59.999Z
4,2021-01-09T00:00:00.000Z,2021-01-09T23:59:59.999Z,2021-01-09T23:58:09.000Z,2021-01-09T23:17:09.000Z,0.00122463,0.00161188,0.0008054,0.00161022,29.41685318,197170.65605476,2021-01-09T23:59:59.999Z
5,2021-01-10T00:00:00.000Z,2021-01-10T23:59:59.999Z,2021-01-10T01:50:09.000Z,2021-01-10T23:59:09.000Z,0.00161018,0.00165681,0.00095935,0.00095935,0.0,117472.07255198,2021-01-10T23:59:59.999Z
6,2021-01-11T00:00:00.000Z,2021-01-11T23:59:59.999Z,2021-01-11T00:00:15.000Z,2021-01-11T16:48:14.000Z,0.00095891,0.00095891,0.00076374,0.00088831,0.0,108772.56341764,2021-01-11T23:59:59.999Z
7,2021-01-12T00:00:00.000Z,2021-01-12T23:59:59.999Z,2021-01-12T17:12:09.000Z,2021-01-12T23:38:07.000Z,0.00088917,0.00140847,0.00033512,0.00033881,3e-08,41486.94339142,2021-01-12T23:59:59.999Z
8,2021-01-13T00:00:00.000Z,2021-01-13T23:59:59.999Z,2021-01-13T23:57:08.000Z,2021-01-13T01:02:07.000Z,0.00033923,0.00093326,0.00032585,0.00093241,0.0,114172.35405519,2021-01-13T23:59:59.999Z
9,2021-01-14T00:00:00.000Z,2021-01-14T23:59:59.999Z,2021-01-14T00:16:08.000Z,2021-01-14T00:00:09.000Z,0.00093291,0.00094969,0.00093291,0.00093651,0.0,114674.7253178,2021-01-14T23:59:59.999Z
10,2021-01-15T00:00:00.000Z,2021-01-15T23:59:59.999Z,2021-01-15T01:21:08.000Z,2021-01-15T16:13:08.000Z,0.00118338,0.00118529,0.00069319,0.00073466,0.01432186,89957.92061033,2021-01-15T23:59:59.999Z
11,2021-01-16T00:00:00.000Z,2021-01-16T23:59:59.999Z,2021-01-16T01:24:09.000Z,2021-01-16T22:10:13.000Z,0.00073649,0.00075192,0.0005345,0.00054326,0.0,66521.93578581,2021-01-16T23:59:59.999Z
12,2021-01-17T00:00:00.000Z,2021-01-17T23:59:59.999Z,2021-01-17T21:33:10.000Z,2021-01-17T10:06:08.000Z,0.0005431,0.00146889,0.00034069,0.00143096,1062.47339786,175219.96701541,2021-01-17T23:59:59.999Z
13,2021-01-18T00:00:00.000Z,2021-01-18T23:59:59.999Z,2021-01-18T12:30:15.000Z,2021-01-18T19:51:10.000Z,0.00143165,0.00149197,0.0008967,0.00091812,0.0,112422.74784939,2021-01-18T23:59:59.999Z
14,2021-01-19T00:00:00.000Z,2021-01-19T23:59:59.999Z,2021-01-19T16:15:13.000Z,2021-01-19T23:59:08.000Z,0.00091606,0.0009439,0.00090446,0.00090446,0.0,110749.77578048,2021-01-19T23:59:59.999Z
15,2021-01-20T00:00:00.000Z,2021-01-20T23:59:59.999Z,2021-01-20T01:07:08.000Z,2021-01-20T16:09:08.000Z,0.00090182,0.00090946,0.00083926,0.00089055,0.0,109047.17276544,2021-01-20T23:59:59.999Z
16,2021-01-21T00:00:00.000Z,2021-01-21T23:59:59.999Z,2021-01-21T13:36:09.000Z,2021-01-21T12:18:09.000Z,0.00088884,0.00098278,0.00078615,0.00092633,27.85431702,113428.40469148,2021-01-21T23:59:59.999Z
17,2021-01-22T00:00:00.000Z,2021-01-22T23:59:59.999Z,2021-01-22T20:33:09.000Z,2021-01-22T12:50:10.000Z,0.00092456,0.00101436,0.0003143,0.0006588,27.33746672,80669.42322368,2021-01-22T23:59:59.999Z
18,2021-01-23T00:00:00.000Z,2021-01-23T23:59:59.999Z,2021-01-23T06:03:08.000Z,2021-01-23T23:46:08.000Z,0.00066009,0.00066722,0.00047978,0.00048079,0.0,58872.81017685,2021-01-23T23:59:59.999Z
19,2021-01-24T00:00:00.000Z,2021-01-24T23:59:59.999Z,2021-01-24T05:10:09.000Z,2021-01-24T19:36:11.000Z,0.00048086,0.00049416,0.0004666,0.0004847,0.0,59351.21149196,2021-01-24T23:59:59.999Z
20,2021-01-25T00:00:00.000Z,2021-01-25T23:59:59.999Z,2021-01-25T14:15:14.000Z,2021-01-25T00:09:08.000Z,0.0004844,0.00069605,0.00048375,0.00064688,1.79265124,79209.8358384,2021-01-25T23:59:59.999Z
21,2021-01-26T00:00:00.000Z,2021-01-26T23:59:59.999Z,2021-01-26T23:06:09.000Z,2021-01-26T14:51:10.000Z,0.00064736,0.00065589,0.00046545,0.000652,9.60085734,79836.35973023,2021-01-26T23:59:59.999Z
22,2021-01-27T00:00:00.000Z,2021-01-27T23:59:59.999Z,2021-01-27T00:00:11.000Z,2021-01-27T14:55:10.000Z,0.00065143,0.00065143,0.00058734,0.00060762,7.89474647,74402.58807764,2021-01-27T23:59:59.999Z
23,2021-01-28T00:00:00.000Z,2021-01-28T23:59:59.999Z,2021-01-28T15:36:08.000Z,2021-01-28T16:27:08.000Z,0.00060877,0.00064546,0.00031928,0.00033459,0.01,40970.7,2021-01-28T23:59:59.999Z
24,2021-01-29T00:00:00.000Z,2021-01-29T23:59:59.999Z,2021-01-29T14:00:14.000Z,2021-01-29T07:37:08.000Z,0.00033466,0.00038372,0.00032065,0.00034524,0.01,42274.16,2021-01-29T23:59:59.999Z
25,2021-01-30T00:00:00.000Z,2021-01-30T23:59:59.999Z,2021-01-30T22:40:12.000Z,2021-01-30T21:40:12.000Z,0.00051341,0.00069201,0.00051341,0.00068601,6.87,84001.9,2021-01-30T23:59:59.999Z
26,2021-01-31T00:00:00.000Z,2021-01-31T23:59:59.999Z,2021-01-31T00:09:08.000Z,2021-01-31T22:03:08.000Z,0.00068539,0.00068577,0.00048936,0.00049707,0.0,60865.22,2021-01-31T23:59:59.999Z
27,2021-02-01T00:00:00.000Z,2021-02-01T23:59:59.999Z,2021-02-01T06:45:10.000Z,2021-02-01T00:32:08.000Z,0.00049662,0.00102557,0.00048576,0.00067015,0.34,82059.55,2021-02-01T23:59:59.999Z
28,2021-02-02T00:00:00.000Z,2021-02-02T23:59:59.999Z,2021-02-02T20:13:08.000Z,2021-02-02T00:04:08.000Z,0.00067088,0.00071758,0.00066978,0.00071022,11.89,86965.6,2021-02-02T23:59:59.999Z
29,2021-02-03T00:00:00.000Z,2021-02-03T23:59:59.999Z,2021-02-03T04:15:09.000Z,2021-02-03T14:52:08.000Z,0.00071048,0.00073535,0.00054636,0.00056137,0.0,68738.97,2021-02-03T23:59:59.999Z
30,2021-02-04T00:00:00.000Z,2021-02-04T23:59:59.999Z,2021-02-04T14:00:14.000Z,2021-02-04T23:50:15.000Z,0.00056177,0.00075224,0.00036899,0.00036937,73.87,45228.62,2021-02-04T23:59:59.999Z
31,2021-02-05T00:00:00.000Z,2021-02-05T23:59:59.999Z,2021-02-05T14:03:09.000Z,2021-02-05T02:03:09.000Z,0.00036925,0.00038226,0.00036659,0.00038045,0.0,46586.17,2021-02-05T23:59:59.999Z
32,2021-02-06T00:00:00.000Z,2021-02-06T23:59:59.999Z,2021-02-06T16:04:08.000Z,2021-02-06T00:00:08.000Z,0.00038123,0.00040847,0.00038123,0.00039233,0.0,48040.28,2021-02-06T23:59:59.999Z
33,2021-02-07T00:00:00.000Z,2021-02-07T23:59:59.999Z,2021-02-07T09:57:09.000Z,2021-02-07T16:20:12.000Z,0.00039272,0.00039622,0.00037446,0.00038907,0.01,47641.86,2021-02-07T23:59:59.999Z
34,2021-02-08T00:00:00.000Z,2021-02-08T23:59:59.999Z,2021-02-08T23:59:08.000Z,2021-02-08T04:03:09.000Z,0.00038904,0.00046155,0.00038076,0.00046155,0.0,56516.0,2021-02-08T23:59:59.999Z
35,2021-02-09T00:00:00.000Z,2021-02-09T23:59:59.999Z,2021-02-09T07:03:08.000Z,2021-02-09T13:05:11.000Z,0.00046204,0.00048004,0.00045167,0.00046476,0.0,56908.97,2021-02-09T23:59:59.999Z
36,2021-02-10T00:00:00.000Z,2021-02-10T23:59:59.999Z,2021-02-10T10:23:08.000Z,2021-02-10T15:50:12.000Z,0.00046481,0.00047146,0.0004391,0.00044926,0.01,55011.97,2021-02-10T23:59:59.999Z
37,2021-02-11T00:00:00.000Z,2021-02-11T23:59:59.999Z,2021-02-11T20:34:08.000Z,2021-02-11T01:16:08.000Z,0.00044918,0.00048463,0.00044188,0.00047757,23.58,58477.97,2021-02-11T23:59:59.999Z
38,2021-02-12T00:00:00.000Z,2021-02-12T23:59:59.999Z,2021-02-12T13:17:08.000Z,2021-02-12T19:53:08.000Z,0.00143253,0.00144225,0.00094514,0.00095043,0.01,116378.93,2021-02-12T23:59:59.999Z
39,2021-02-13T00:00:00.000Z,2021-02-13T23:59:59.999Z,2021-02-13T03:12:08.000Z,2021-02-13T20:27:08.000Z,0.0009501,0.00096095,0.00070101,0.00070667,0.0,86530.95,2021-02-13T23:59:59.999Z
40,2021-02-14T00:00:00.000Z,2021-02-14T23:59:59.999Z,2021-02-14T12:18:08.000Z,2021-02-14T23:38:08.000Z,0.00070658,0.00074231,0.00048601,0.00048726,27.29,59665.12,2021-02-14T23:59:59.999Z
41,2021-02-15T00:00:00.000Z,2021-02-15T23:59:59.999Z,2021-02-15T20:29:08.000Z,2021-02-15T02:35:09.000Z,0.00048717,0.00073097,0.00046347,0.00071916,0.0,88060.41,2021-02-15T23:59:59.999Z
42,2021-02-16T00:00:00.000Z,2021-02-16T23:59:59.999Z,2021-02-16T12:37:08.000Z,2021-02-16T00:38:08.000Z,0.00071918,0.00075512,0.00070802,0.00073803,0.0,90371.48,2021-02-16T23:59:59.999Z
