,__type,TokenName,Symbol,ContractAddress,Balance,Price,Change24H,Value,Ens,Address,Followers
0,BlockEther.AssetResponseModel,Ethereum,ETH,-,3.684929621669014707,"$3,069.40 (1 ETH)", 2.19%,"$11,310.52 (3.684930 ETH)",woloski.eth,0x58a8d947adfefb332956c4e21c054aa3843ca16e,13037
1,BlockEther.AssetResponseModel,Ethereum Nam...,ENS,"
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72",195.998424527136223...,$25.286224 (0.008238 ETH), 10.35%,"$4,956.06 (1.614667 ETH)",woloski.eth,0x58a8d947adfefb332956c4e21c054aa3843ca16e,13037
2,BlockEther.AssetResponseModel,Rialto,XRL,"
0xb24754be79281553dc1adc160ddf5cd9b74361a4",5.000175907,-,--,-,woloski.eth,0x58a8d947adfefb332956c4e21c054aa3843ca16e,13037
0,BlockEther.AssetResponseModel,Ethereum,ETH,-,0.053193658689253814,"$3,069.40 (1 ETH)", 2.19%,$163.27 (0.053194 ETH),zengjiajun.eth,0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,2133
1,BlockEther.AssetResponseModel,DappRadar,RADAR,"
0x44709a920fccf795fbc57baa433cc3dd53c44dbe",8697,$0.020932 (0.000007 ETH), 11.19%,$182.05 (0.059311 ETH),zengjiajun.eth,0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,2133
0,BlockEther.AssetResponseModel,Ethereum,ETH,-,46.4818759593454097...,"$3,069.40 (1 ETH)", 2.19%,"$142,671.47 (46.481876 ETH)",mariano.eth,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,56818
1,BlockEther.AssetResponseModel,Immutable X,IMX,"
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff",109810.3,$3.88 (0.001264 ETH), 3.51%,"$426,063.96 (138.810179 ETH)",mariano.eth,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,56818
2,BlockEther.AssetResponseModel,Unisocks Edi...,SOCKS,"
0x23b608675a2b2fb1890d3abbd85c5775c51691d5",1.001042156925858222,"$80,876.00 (26.349124 ETH)", 1.32%,"$80,960.29 (26.376584 ETH)",mariano.eth,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,56818
3,BlockEther.AssetResponseModel,Bankless Tok...,BANK,"
0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198",565285.183947930005...,$0.067557 (0.000022 ETH), 6.88%,"$38,188.82 (12.441786 ETH)",mariano.eth,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,56818
4,BlockEther.AssetResponseModel,Gitcoin,GTC,"
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f",1481.90000000000013...,$10.61 (0.003457 ETH), 7.28%,"$15,722.96 (5.122486 ETH)",mariano.eth,0x72ba1965320ab5352fd6d68235cc3c5306a6ffa2,56818
